Category,Year,Month,precip_mm
India,1981,2,21.822521
India,1981,2,0.795876
India,1981,2,2.256437
Pakistan,1981,2,18.015757
Bangladesh,1981,2,52.463852
Nepal,1981,2,2.774078
SriLanka,1981,2,73.45702
Thailand,1981,2,26.621288
VietNam,1981,2,4.4846807
Indonesia,1981,2,517.7093
Philippines,1981,2,6.0068207
Myanmar,1981,2,0.7892883
Cambodia,1981,2,11.509182
China,1981,2,2.8302474
China,1981,2,6.446029
China,1981,2,64.21679
Japan,1981,2,164.53241
Kazakhstan,1981,2,16.594955
Iran,1981,2,56.798134
Turkiye,1981,2,43.421158
India,1981,3,119.02842
India,1981,3,0.27373517
India,1981,3,31.709242
Pakistan,1981,3,71.25429
Bangladesh,1981,3,106.881294
Nepal,1981,3,33.21304
SriLanka,1981,3,61.61455
Thailand,1981,3,36.169968
VietNam,1981,3,9.067151
Indonesia,1981,3,296.10156
Philippines,1981,3,0.058967322
Myanmar,1981,3,0.7127346
Cambodia,1981,3,13.902652
China,1981,3,19.446281
China,1981,3,28.579878
China,1981,3,137.82344
Japan,1981,3,80.50766
Kazakhstan,1981,3,44.106895
Iran,1981,3,82.808464
Turkiye,1981,3,24.24318
India,1981,4,0.0
India,1981,4,22.906527
India,1981,4,0.0
Pakistan,1981,4,0.0
Bangladesh,1981,4,318.08133
Nepal,1981,4,57.91595
SriLanka,1981,4,160.22394
Thailand,1981,4,79.44833
VietNam,1981,4,29.744328
Indonesia,1981,4,294.1944
Philippines,1981,4,73.28593
Myanmar,1981,4,14.908964
Cambodia,1981,4,104.18959
China,1981,4,7.8530865
China,1981,4,11.238428
China,1981,4,169.45372
Japan,1981,4,85.96792
Kazakhstan,1981,4,44.255623
Iran,1981,4,102.56664
Turkiye,1981,4,23.179995
India,1982,2,35.79862
India,1982,2,0.0
India,1982,2,0.9880181
Pakistan,1982,2,24.188633
Bangladesh,1982,2,15.244144
Nepal,1982,2,18.092472
SriLanka,1982,2,3.2239847
Thailand,1982,2,14.679105
VietNam,1982,2,0.0
Indonesia,1982,2,303.05093
Philippines,1982,2,0.0
Myanmar,1982,2,1.29979
Cambodia,1982,2,6.3514633
China,1982,2,14.006188
China,1982,2,0.124914184
China,1982,2,101.457924
Japan,1982,2,47.045338
Kazakhstan,1982,2,24.03937
Iran,1982,2,62.163086
Turkiye,1982,2,18.745129
India,1982,3,64.60435
India,1982,3,14.387431
India,1982,3,0.0
Pakistan,1982,3,54.956482
Bangladesh,1982,3,47.450645
Nepal,1982,3,0.0
SriLanka,1982,3,51.89617
Thailand,1982,3,16.331678
VietNam,1982,3,55.47769
Indonesia,1982,3,316.9705
Philippines,1982,3,41.674637
Myanmar,1982,3,0.5627103
Cambodia,1982,3,13.860439
China,1982,3,5.004674
China,1982,3,0.0
China,1982,3,124.50484
Japan,1982,3,73.07124
Kazakhstan,1982,3,25.775248
Iran,1982,3,109.65948
Turkiye,1982,3,51.84878
India,1982,4,26.672398
India,1982,4,0.0
India,1982,4,0.0
Pakistan,1982,4,7.5273666
Bangladesh,1982,4,194.94211
Nepal,1982,4,22.774641
SriLanka,1982,4,123.07129
Thailand,1982,4,80.7118
VietNam,1982,4,21.036543
Indonesia,1982,4,297.36633
Philippines,1982,4,73.968094
Myanmar,1982,4,1.4293134
Cambodia,1982,4,120.39456
China,1982,4,15.595877
China,1982,4,21.853153
China,1982,4,123.00525
Japan,1982,4,128.16531
Kazakhstan,1982,4,42.227634
Iran,1982,4,13.367083
Turkiye,1982,4,45.641953
India,1983,2,13.524166
India,1983,2,0.0
India,1983,2,0.5444727
Pakistan,1983,2,12.760846
Bangladesh,1983,2,32.8905
Nepal,1983,2,0.0
SriLanka,1983,2,3.2424998
Thailand,1983,2,6.2452626
VietNam,1983,2,0.0
Indonesia,1983,2,309.65576
Philippines,1983,2,0.0
Myanmar,1983,2,1.2997917
Cambodia,1983,2,0.825109
China,1983,2,0.0
China,1983,2,12.461481
China,1983,2,68.45328
