Year,Week,SMN,SMT,VCI,TCI,VHI,Category,Province,Month
1982,1,0.199,296.76,56.86,54.7,55.78,BGD,Dhaka,1
1982,2,0.195,297.18,51.97,48.62,50.3,BGD,Dhaka,1
1982,3,0.191,297.4,46.43,49.59,48.01,BGD,Dhaka,1
1982,4,0.19,297.69,42.5,50.39,46.44,BGD,Dhaka,1
1982,5,0.192,298.27,38.06,47.47,42.77,BGD,Dhaka,1
1982,6,0.195,298.92,34.46,45.11,39.78,BGD,Dhaka,2
1982,7,0.196,299.54,29.81,44.14,36.97,BGD,Dhaka,2
1982,8,0.201,300.16,26.94,43.68,35.31,BGD,Dhaka,2
1982,9,0.204,300.67,23.68,43.57,33.63,BGD,Dhaka,2
1982,10,0.206,301.18,21.84,41.74,31.79,BGD,Dhaka,3
1982,11,0.207,301.67,20.75,38.12,29.43,BGD,Dhaka,3
1982,12,0.205,301.76,18.68,38.08,28.38,BGD,Dhaka,3
1982,13,0.203,301.61,17.3,39.26,28.28,BGD,Dhaka,3
1982,14,0.202,301.25,17.85,39.48,28.67,BGD,Dhaka,4
1982,15,0.198,299.96,18.97,51.94,35.45,BGD,Dhaka,4
1982,16,0.196,298.83,20.84,60.56,40.7,BGD,Dhaka,4
1982,17,0.2,298.66,25.9,50.06,37.98,BGD,Dhaka,4
1982,18,0.202,298.01,30.07,47.73,38.9,BGD,Dhaka,4
1982,19,0.205,297.5,36.75,42.69,39.72,BGD,Dhaka,5
1982,20,0.205,296.51,41.87,38.7,40.29,BGD,Dhaka,5
1982,21,0.21,295.38,47.12,36.52,41.82,BGD,Dhaka,5
1982,22,0.21,294.04,48.8,34.53,41.66,BGD,Dhaka,5
1982,23,0.202,292.11,46.9,33.75,40.32,BGD,Dhaka,6
1982,24,0.192,290.66,45.71,28.78,37.25,BGD,Dhaka,6
1982,25,0.188,290.07,46.98,21.85,34.41,BGD,Dhaka,6
1982,26,0.187,289.55,49.6,17.02,33.31,BGD,Dhaka,6
1982,27,0.188,289.36,53.95,13.27,33.61,BGD,Dhaka,7
1982,28,0.186,288.55,55.35,14.26,34.81,BGD,Dhaka,7
