Category,ID,Latitude,Longitude,Date,MODIS_Tile,MYD13A2_061_Line_Y_1km,MYD13A2_061_Sample_X_1km,MYD13A2_061__1_km_16_days_NDVI,MYD13A2_061__1_km_16_days_VI_Quality,MYD13A2_061__1_km_16_days_VI_Quality_bitmask,MYD13A2_061__1_km_16_days_VI_Quality_MODLAND,MYD13A2_061__1_km_16_days_VI_Quality_MODLAND_Description,MYD13A2_061__1_km_16_days_VI_Quality_VI_Usefulness,MYD13A2_061__1_km_16_days_VI_Quality_VI_Usefulness_Description,MYD13A2_061__1_km_16_days_VI_Quality_Aerosol_Quantity,MYD13A2_061__1_km_16_days_VI_Quality_Aerosol_Quantity_Description,MYD13A2_061__1_km_16_days_VI_Quality_Adjacent_cloud_detected,MYD13A2_061__1_km_16_days_VI_Quality_Adjacent_cloud_detected_Description,MYD13A2_061__1_km_16_days_VI_Quality_Atmosphere_BRDF_Correction,MYD13A2_061__1_km_16_days_VI_Quality_Atmosphere_BRDF_Correction_Description,MYD13A2_061__1_km_16_days_VI_Quality_Mixed_Clouds,MYD13A2_061__1_km_16_days_VI_Quality_Mixed_Clouds_Description,MYD13A2_061__1_km_16_days_VI_Quality_Land/Water_Mask,MYD13A2_061__1_km_16_days_VI_Quality_Land/Water_Mask_Description,MYD13A2_061__1_km_16_days_VI_Quality_Possible_snow/ice,MYD13A2_061__1_km_16_days_VI_Quality_Possible_snow/ice_Description,MYD13A2_061__1_km_16_days_VI_Quality_Possible_shadow,MYD13A2_061__1_km_16_days_VI_Quality_Possible_shadow_Description
Bangladesh,5,24.0,90.0,2002-07-04,h26v06,719.0,266.0,0.2442,2062.0,0b0000100000001110,0b10,"Pixel produced, but most probably cloudy",0b0011,Decreasing quality (0011),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-07-20,h26v06,719.0,266.0,0.5132,3550.0,0b0000110111011110,0b10,"Pixel produced, but most probably cloudy",0b0111,Decreasing quality (0111),0b11,High,0b1,Yes,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-08-05,h26v06,719.0,266.0,0.0332,2058.0,0b0000100000001010,0b10,"Pixel produced, but most probably cloudy",0b0010,Decreasing quality (0010),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-08-21,h26v06,719.0,266.0,0.6288,36254.0,0b1000110110011110,0b10,"Pixel produced, but most probably cloudy",0b0111,Decreasing quality (0111),0b10,Average,0b1,Yes,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b1,Yes
Bangladesh,5,24.0,90.0,2002-09-06,h26v06,719.0,266.0,0.6428,2441.0,0b0000100110001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality (0010),0b10,Average,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-09-22,h26v06,719.0,266.0,0.7056,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-10-08,h26v06,719.0,266.0,0.7296,2185.0,0b0000100010001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality (0010),0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-10-24,h26v06,719.0,266.0,0.4967,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-11-09,h26v06,719.0,266.0,0.5003,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-11-25,h26v06,719.0,266.0,0.4727,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-12-11,h26v06,719.0,266.0,0.568,2185.0,0b0000100010001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality (0010),0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-12-27,h26v06,719.0,266.0,0.5772,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-01-09,h26v06,719.0,266.0,0.4646,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-01-25,h26v06,719.0,266.0,0.473,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-02-10,h26v06,719.0,266.0,0.3131,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-02-26,h26v06,719.0,266.0,0.3384,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-03-14,h26v06,719.0,266.0,0.5327,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-03-30,h26v06,719.0,266.0,0.5876,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-04-15,h26v06,719.0,266.0,0.6543,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
