Category,ID,Latitude,Longitude,Date,MODIS_Tile,VNP21A2_002_Line_Y_1km,VNP21A2_002_Sample_X_1km,VNP21A2_002_LST_Day_1KM,VNP21A2_002_QC_Day,VNP21A2_002_QC_Day_bitmask,VNP21A2_002_QC_Day_MODLAND,VNP21A2_002_QC_Day_MODLAND_Description,VNP21A2_002_QC_Day_Data_quality_flag,VNP21A2_002_QC_Day_Data_quality_flag_Description,VNP21A2_002_QC_Day_Emissivity_accuracy,VNP21A2_002_QC_Day_Emissivity_accuracy_Description,VNP21A2_002_QC_Day_LST_accuracy,VNP21A2_002_QC_Day_LST_accuracy_Description
Bangladesh,5,24.0,90.0,2012-01-25,h26v06,719.0,266.0,300.76,176.0,0b10110000,0b00,"Pixel produced, good quality, no further QA info necessary",0b00,"Good data quality of L1B bands 14, 15, 16",0b11,<0.01 (Excellent performance),0b10,1 - 1.5 K (Good performance)
Bangladesh,5,24.0,90.0,2012-02-02,h26v06,719.0,266.0,301.38,176.0,0b10110000,0b00,"Pixel produced, good quality, no further QA info necessary",0b00,"Good data quality of L1B bands 14, 15, 16",0b11,<0.01 (Excellent performance),0b10,1 - 1.5 K (Good performance)
Bangladesh,5,24.0,90.0,2012-02-10,h26v06,719.0,266.0,301.68,160.0,0b10100000,0b00,"Pixel produced, good quality, no further QA info necessary",0b00,"Good data quality of L1B bands 14, 15, 16",0b10,0.01 - 0.015 (Good performance),0b10,1 - 1.5 K (Good performance)
Bangladesh,5,24.0,90.0,2012-02-18,h26v06,719.0,266.0,302.56,176.0,0b10110000,0b00,"Pixel produced, good quality, no further QA info necessary",0b00,"Good data quality of L1B bands 14, 15, 16",0b11,<0.01 (Excellent performance),0b10,1 - 1.5 K (Good performance)
Bangladesh,5,24.0,90.0,2012-02-26,h26v06,719.0,266.0,303.78,176.0,0b10110000,0b00,"Pixel produced, good quality, no further QA info necessary",0b00,"Good data quality of L1B bands 14, 15, 16",0b11,<0.01 (Excellent performance),0b10,1 - 1.5 K (Good performance)
Bangladesh,5,24.0,90.0,2012-03-05,h26v06,719.0,266.0,302.46,160.0,0b10100000,0b00,"Pixel produced, good quality, no further QA info necessary",0b00,"Good data quality of L1B bands 14, 15, 16",0b10,0.01 - 0.015 (Good performance),0b10,1 - 1.5 K (Good performance)
Bangladesh,5,24.0,90.0,2012-03-13,h26v06,719.0,266.0,302.08,160.0,0b10100000,0b00,"Pixel produced, good quality, no further QA info necessary",0b00,"Good data quality of L1B bands 14, 15, 16",0b10,0.01 - 0.015 (Good performance),0b10,1 - 1.5 K (Good performance)
Bangladesh,5,24.0,90.0,2012-03-21,h26v06,719.0,266.0,304.08,160.0,0b10100000,0b00,"Pixel produced, good quality, no further QA info necessary",0b00,"Good data quality of L1B bands 14, 15, 16",0b10,0.01 - 0.015 (Good performance),0b10,1 - 1.5 K (Good performance)
Bangladesh,5,24.0,90.0,2012-03-29,h26v06,719.0,266.0,304.98,160.0,0b10100000,0b00,"Pixel produced, good quality, no further QA info necessary",0b00,"Good data quality of L1B bands 14, 15, 16",0b10,0.01 - 0.015 (Good performance),0b10,1 - 1.5 K (Good performance)
Bangladesh,5,24.0,90.0,2012-04-06,h26v06,719.0,266.0,302.46,81.0,0b01010001,0b01,Pixel produced but unreliable quality. Recommend more detailed analysis of other QC information,0b00,"Good data quality of L1B bands 14, 15, 16",0b01,0.015 - 0.02 (Marginal performance),0b01,1.5 - 2 K (Marginal performance)
