Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD13A2_061_Line_Y_1km,MOD13A2_061_Sample_X_1km,MOD13A2_061__1_km_16_days_NDVI,MOD13A2_061__1_km_16_days_VI_Quality,MOD13A2_061__1_km_16_days_VI_Quality_bitmask,MOD13A2_061__1_km_16_days_VI_Quality_MODLAND,MOD13A2_061__1_km_16_days_VI_Quality_MODLAND_Description,MOD13A2_061__1_km_16_days_VI_Quality_VI_Usefulness,MOD13A2_061__1_km_16_days_VI_Quality_VI_Usefulness_Description,MOD13A2_061__1_km_16_days_VI_Quality_Aerosol_Quantity,MOD13A2_061__1_km_16_days_VI_Quality_Aerosol_Quantity_Description,MOD13A2_061__1_km_16_days_VI_Quality_Adjacent_cloud_detected,MOD13A2_061__1_km_16_days_VI_Quality_Adjacent_cloud_detected_Description,MOD13A2_061__1_km_16_days_VI_Quality_Atmosphere_BRDF_Correction,MOD13A2_061__1_km_16_days_VI_Quality_Atmosphere_BRDF_Correction_Description,MOD13A2_061__1_km_16_days_VI_Quality_Mixed_Clouds,MOD13A2_061__1_km_16_days_VI_Quality_Mixed_Clouds_Description,MOD13A2_061__1_km_16_days_VI_Quality_Land/Water_Mask,MOD13A2_061__1_km_16_days_VI_Quality_Land/Water_Mask_Description,MOD13A2_061__1_km_16_days_VI_Quality_Possible_snow/ice,MOD13A2_061__1_km_16_days_VI_Quality_Possible_snow/ice_Description,MOD13A2_061__1_km_16_days_VI_Quality_Possible_shadow,MOD13A2_061__1_km_16_days_VI_Quality_Possible_shadow_Description
Bangladesh,5,24.0,90.0,2000-02-18,h26v06,719.0,266.0,0.3341,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2000-03-05,h26v06,719.0,266.0,0.4139,2116.0,0b0000100001000100,0b00,"VI produced, good quality",0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2000-03-21,h26v06,719.0,266.0,0.5404,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2000-04-06,h26v06,719.0,266.0,0.6206,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2000-04-22,h26v06,719.0,266.0,0.4631,2058.0,0b0000100000001010,0b10,"Pixel produced, but most probably cloudy",0b0010,Decreasing quality (0010),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2000-05-08,h26v06,719.0,266.0,0.5349,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2000-05-24,h26v06,719.0,266.0,0.5141,2441.0,0b0000100110001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality (0010),0b10,Average,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2000-06-09,h26v06,719.0,266.0,0.4942,2062.0,0b0000100000001110,0b10,"Pixel produced, but most probably cloudy",0b0011,Decreasing quality (0011),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2000-06-25,h26v06,719.0,266.0,0.1089,2062.0,0b0000100000001110,0b10,"Pixel produced, but most probably cloudy",0b0011,Decreasing quality (0011),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2000-07-11,h26v06,719.0,266.0,0.123,2062.0,0b0000100000001110,0b10,"Pixel produced, but most probably cloudy",0b0011,Decreasing quality (0011),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2000-07-27,h26v06,719.0,266.0,0.5682,2058.0,0b0000100000001010,0b10,"Pixel produced, but most probably cloudy",0b0010,Decreasing quality (0010),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2000-08-12,h26v06,719.0,266.0,0.5686,35994.0,0b1000110010011010,0b10,"Pixel produced, but most probably cloudy",0b0110,Decreasing quality (0110),0b10,Average,0b0,No,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b1,Yes
Bangladesh,5,24.0,90.0,2000-08-28,h26v06,719.0,266.0,0.4465,2058.0,0b0000100000001010,0b10,"Pixel produced, but most probably cloudy",0b0010,Decreasing quality (0010),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2000-09-13,h26v06,719.0,266.0,0.6811,2441.0,0b0000100110001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality (0010),0b10,Average,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2000-09-29,h26v06,719.0,266.0,0.6484,2441.0,0b0000100110001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality (0010),0b10,Average,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2000-10-15,h26v06,719.0,266.0,0.6483,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2000-10-31,h26v06,719.0,266.0,0.5687,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2000-11-16,h26v06,719.0,266.0,0.4632,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2000-12-02,h26v06,719.0,266.0,0.5079,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2000-12-18,h26v06,719.0,266.0,0.5421,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2001-01-01,h26v06,719.0,266.0,0.5791,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2001-01-17,h26v06,719.0,266.0,0.5798,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2001-02-02,h26v06,719.0,266.0,0.4498,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2001-02-18,h26v06,719.0,266.0,0.3393,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2001-03-06,h26v06,719.0,266.0,0.5382,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2001-03-22,h26v06,719.0,266.0,0.6125,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2001-04-07,h26v06,719.0,266.0,0.6728,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2001-04-23,h26v06,719.0,266.0,0.6216,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2001-05-09,h26v06,719.0,266.0,0.5448,2116.0,0b0000100001000100,0b00,"VI produced, good quality",0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2001-05-25,h26v06,719.0,266.0,0.4824,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2001-06-10,h26v06,719.0,266.0,0.5625,2114.0,0b0000100001000010,0b10,"Pixel produced, but most probably cloudy",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2001-06-26,h26v06,719.0,266.0,0.6699,2372.0,0b0000100101000100,0b00,"VI produced, good quality",0b0001,Lower quality,0b01,Low,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2001-07-12,h26v06,719.0,266.0,0.1044,2062.0,0b0000100000001110,0b10,"Pixel produced, but most probably cloudy",0b0011,Decreasing quality (0011),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2001-07-28,h26v06,719.0,266.0,0.1223,2058.0,0b0000100000001010,0b10,"Pixel produced, but most probably cloudy",0b0010,Decreasing quality (0010),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2001-08-13,h26v06,719.0,266.0,0.5903,2058.0,0b0000100000001010,0b10,"Pixel produced, but most probably cloudy",0b0010,Decreasing quality (0010),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2001-08-29,h26v06,719.0,266.0,0.1236,2058.0,0b0000100000001010,0b10,"Pixel produced, but most probably cloudy",0b0010,Decreasing quality (0010),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2001-09-14,h26v06,719.0,266.0,0.7205,2372.0,0b0000100101000100,0b00,"VI produced, good quality",0b0001,Lower quality,0b01,Low,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2001-09-30,h26v06,719.0,266.0,0.7378,35221.0,0b1000100110010101,0b01,"VI produced, but check other QA",0b0101,Decreasing quality (0101),0b10,Average,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b1,Yes
Bangladesh,5,24.0,90.0,2001-10-16,h26v06,719.0,266.0,0.6444,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2001-11-01,h26v06,719.0,266.0,0.439,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2001-11-17,h26v06,719.0,266.0,0.4673,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2001-12-03,h26v06,719.0,266.0,0.6076,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2001-12-19,h26v06,719.0,266.0,0.5804,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-01-01,h26v06,719.0,266.0,0.5764,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-01-17,h26v06,719.0,266.0,0.5259,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-02-02,h26v06,719.0,266.0,0.3741,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-02-18,h26v06,719.0,266.0,0.3917,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-03-06,h26v06,719.0,266.0,0.5616,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-03-22,h26v06,719.0,266.0,0.6696,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-04-07,h26v06,719.0,266.0,0.6205,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-04-23,h26v06,719.0,266.0,0.6174,2116.0,0b0000100001000100,0b00,"VI produced, good quality",0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-05-09,h26v06,719.0,266.0,0.492,2441.0,0b0000100110001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality (0010),0b10,Average,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-05-25,h26v06,719.0,266.0,0.5832,3222.0,0b0000110010010110,0b10,"Pixel produced, but most probably cloudy",0b0101,Decreasing quality (0101),0b10,Average,0b0,No,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-06-10,h26v06,719.0,266.0,0.7517,35294.0,0b1000100111011110,0b10,"Pixel produced, but most probably cloudy",0b0111,Decreasing quality (0111),0b11,High,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b1,Yes
Bangladesh,5,24.0,90.0,2002-06-26,h26v06,719.0,266.0,0.5059,2058.0,0b0000100000001010,0b10,"Pixel produced, but most probably cloudy",0b0010,Decreasing quality (0010),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-07-12,h26v06,719.0,266.0,0.1123,2058.0,0b0000100000001010,0b10,"Pixel produced, but most probably cloudy",0b0010,Decreasing quality (0010),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-07-28,h26v06,719.0,266.0,0.5363,2441.0,0b0000100110001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality (0010),0b10,Average,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-08-13,h26v06,719.0,266.0,0.11,2058.0,0b0000100000001010,0b10,"Pixel produced, but most probably cloudy",0b0010,Decreasing quality (0010),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-08-29,h26v06,719.0,266.0,0.6963,2441.0,0b0000100110001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality (0010),0b10,Average,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-09-14,h26v06,719.0,266.0,0.6493,3150.0,0b0000110001001110,0b10,"Pixel produced, but most probably cloudy",0b0011,Decreasing quality (0011),0b01,Low,0b0,No,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-09-30,h26v06,719.0,266.0,0.7109,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-10-16,h26v06,719.0,266.0,0.6284,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-11-01,h26v06,719.0,266.0,0.4738,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-11-17,h26v06,719.0,266.0,0.4767,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-12-03,h26v06,719.0,266.0,0.5415,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2002-12-19,h26v06,719.0,266.0,0.5657,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-01-01,h26v06,719.0,266.0,0.5657,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-01-17,h26v06,719.0,266.0,0.531,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-02-02,h26v06,719.0,266.0,0.4658,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-02-18,h26v06,719.0,266.0,0.3661,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-03-06,h26v06,719.0,266.0,0.4033,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-03-22,h26v06,719.0,266.0,0.5673,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-04-07,h26v06,719.0,266.0,0.6211,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-04-23,h26v06,719.0,266.0,0.6081,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-05-09,h26v06,719.0,266.0,0.5657,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-05-25,h26v06,719.0,266.0,0.4466,2372.0,0b0000100101000100,0b00,"VI produced, good quality",0b0001,Lower quality,0b01,Low,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-06-10,h26v06,719.0,266.0,0.4491,3098.0,0b0000110000011010,0b10,"Pixel produced, but most probably cloudy",0b0110,Decreasing quality (0110),0b00,Climatology,0b0,No,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-06-26,h26v06,719.0,266.0,0.5158,3554.0,0b0000110111100010,0b10,"Pixel produced, but most probably cloudy",0b1000,Decreasing quality (1000),0b11,High,0b1,Yes,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-07-12,h26v06,719.0,266.0,0.3887,2441.0,0b0000100110001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality (0010),0b10,Average,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-07-28,h26v06,719.0,266.0,0.4634,35221.0,0b1000100110010101,0b01,"VI produced, but check other QA",0b0101,Decreasing quality (0101),0b10,Average,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b1,Yes
Bangladesh,5,24.0,90.0,2003-08-13,h26v06,719.0,266.0,0.0357,2062.0,0b0000100000001110,0b10,"Pixel produced, but most probably cloudy",0b0011,Decreasing quality (0011),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-08-29,h26v06,719.0,266.0,0.5581,36326.0,0b1000110111100110,0b10,"Pixel produced, but most probably cloudy",0b1001,Decreasing quality (1001),0b11,High,0b1,Yes,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b1,Yes
Bangladesh,5,24.0,90.0,2003-09-14,h26v06,719.0,266.0,0.7512,3554.0,0b0000110111100010,0b10,"Pixel produced, but most probably cloudy",0b1000,Decreasing quality (1000),0b11,High,0b1,Yes,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-09-30,h26v06,719.0,266.0,0.7468,2257.0,0b0000100011010001,0b01,"VI produced, but check other QA",0b0100,Decreasing quality (0100),0b11,High,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
