Category,ID,Latitude,Longitude,Date,SMAP_Tile,SPL3SMP_E_006_Line_Y_9.00805km,SPL3SMP_E_006_Sample_X_9.00805km,SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture,SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag,SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_Recommended_Quality_Description,SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_Retrieval_Attempted_Description,SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_Retrieval_Successful_Description,SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_Retrieval_Successful_FT_Description,SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_Undefined_Description
Bangladesh,5,24.0,90.0,2015-03-31,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-04-01,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-04-02,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-04-03,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-04-04,h00v00,481.0,2892.0,0.260707,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-04-05,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-04-06,h00v00,481.0,2892.0,0.3432691,13.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-04-07,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-04-08,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-04-09,h00v00,481.0,2892.0,0.2824278,13.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was not successful,
