Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025
"2","'004","Afghanistan","6600","Country area","5110","Area","1000 ha","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65286.000000","65287.000000","65287.000000",
"2","'004","Afghanistan","6601","Land area","5110","Area","1000 ha","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000","65223.000000",
"2","'004","Afghanistan","6602","Agriculture","5110","Area","1000 ha","37750.000000","37800.000000","37850.000000","37905.000000","37910.000000","37955.000000","37979.000000","37980.000000","37996.000000","38006.000000","38036.000000","38048.000000","38049.200000","38050.300000","38050.300000","38050.000000","38050.000000","38050.000000","38049.000000","38049.000000","38053.000000","38054.000000","38054.000000","38054.000000","38054.000000","38054.000000","38045.000000","38040.000000","38040.000000","38040.000000","38030.000000","38030.000000","37934.000000","37813.000000","37763.000000","37757.000000","37795.000000","37868.000000","37764.000000","37794.000000","37795.330000","37787.390000","37884.170000","37923.870000","37916.120000","37910.000000","37911.290000","37912.570000","37912.860000","37914.140000","37913.430000","37913.710000","37910.000000","37910.000000","37910.000000","37910.000000","37910.000000","38010.000000","38010.000000","38075.000000","38313.000000","38313.000000","38116.000000","38082.000000",
"2","'004","Afghanistan","6610","Agricultural land","5110","Area","1000 ha","37750.000000","37800.000000","37850.000000","37905.000000","37910.000000","37955.000000","37979.000000","37980.000000","37996.000000","38006.000000","38036.000000","38048.000000","38049.200000","38050.300000","38050.300000","38050.000000","38050.000000","38050.000000","38049.000000","38049.000000","38053.000000","38054.000000","38054.000000","38054.000000","38054.000000","38054.000000","38045.000000","38040.000000","38040.000000","38040.000000","38030.000000","38030.000000","37934.000000","37813.000000","37763.000000","37757.000000","37795.000000","37868.000000","37764.000000","37794.000000","37795.330000","37787.390000","37884.170000","37923.870000","37916.120000","37910.000000","37911.290000","37912.570000","37912.860000","37914.140000","37913.430000","37913.710000","37910.000000","37910.000000","37910.000000","37910.000000","37910.000000","38010.000000","38010.000000","38075.000000","38313.000000","38313.000000","38116.000000","38082.000000",
"2","'004","Afghanistan","6610","Agricultural land","7209","Share in Land area","%","57.880000","57.960000","58.030000","58.120000","58.120000","58.190000","58.230000","58.230000","58.260000","58.270000","58.320000","58.340000","58.340000","58.340000","58.340000","58.340000","58.340000","58.340000","58.340000","58.340000","58.340000","58.340000","58.340000","58.340000","58.340000","58.340000","58.330000","58.320000","58.320000","58.320000","58.310000","58.310000","58.160000","57.970000","57.900000","57.890000","57.950000","58.060000","57.900000","57.950000","57.950000","57.940000","58.080000","58.140000","58.130000","58.120000","58.130000","58.130000","58.130000","58.130000","58.130000","58.130000","58.120000","58.120000","58.120000","58.120000","58.120000","58.280000","58.280000","58.380000","58.740000","58.740000","58.440000","58.390000",
"2","'004","Afghanistan","6610","Agricultural land","7278","Value of agricultural production (Int. $) per Area","USD_PPP/ha","67.980000","69.100000","69.550000","74.120000","77.340000","79.650000","87.020000","90.910000","92.470000","84.500000","78.960000","83.000000","90.620000","94.310000","97.480000","104.760000","94.160000","100.380000","98.590000","98.150000","97.810000","96.520000","93.930000","90.420000","84.210000","77.170000","79.250000","78.580000","78.060000","83.690000","96.710000","93.850000","99.160000","104.980000","109.680000","115.350000","123.250000","129.310000","128.750000","109.410000","99.470000","119.530000","121.870000","118.630000","132.570000","122.690000","134.040000","126.440000","146.580000","145.590000","139.030000","154.330000","150.410000","161.860000","152.650000","162.310000","158.330000","152.710000","172.380000","178.530000","179.170000","173.130000","185.120000","191.390000",
"2","'004","Afghanistan","6620","Cropland","5110","Area","1000 ha","7750.000000","7800.000000","7850.000000","7905.000000","7910.000000","7955.000000","7979.000000","7980.000000","7996.000000","8006.000000","8036.000000","8048.000000","8049.200000","8050.300000","8050.300000","8050.000000","8050.000000","8050.000000","8049.000000","8049.000000","8053.000000","8054.000000","8054.000000","8054.000000","8054.000000","8054.000000","8045.000000","8040.000000","8040.000000","8040.000000","8030.000000","8030.000000","7934.000000","7813.000000","7763.000000","7757.000000","7795.000000","7868.000000","7764.000000","7794.000000","7795.331000","7787.391000","7884.171000","7923.871000","7916.115000","7910.000000","7911.285700","7912.571400","7912.857100","7914.142900","7913.428600","7913.714300","7910.000000","7910.000000","7910.000000","7910.000000","7910.000000","8010.000000","8010.000000","8075.000000","8099.000000","8081.000000","8116.000000","8082.000000",
"2","'004","Afghanistan","6620","Cropland","7208","Share in Agricultural land","%","20.530000","20.630000","20.740000","20.850000","20.870000","20.960000","21.010000","21.010000","21.040000","21.070000","21.130000","21.150000","21.150000","21.160000","21.160000","21.160000","21.160000","21.160000","21.150000","21.150000","21.160000","21.160000","21.160000","21.160000","21.160000","21.160000","21.150000","21.140000","21.140000","21.140000","21.110000","21.110000","20.920000","20.660000","20.560000","20.540000","20.620000","20.780000","20.560000","20.620000","20.630000","20.610000","20.810000","20.890000","20.880000","20.870000","20.870000","20.870000","20.870000","20.870000","20.870000","20.870000","20.870000","20.870000","20.870000","20.870000","20.870000","21.070000","21.070000","21.210000","21.140000","21.090000","21.290000","21.220000",
"2","'004","Afghanistan","6620","Cropland","7209","Share in Land area","%","11.880000","11.960000","12.040000","12.120000","12.130000","12.200000","12.230000","12.230000","12.260000","12.270000","12.320000","12.340000","12.340000","12.340000","12.340000","12.340000","12.340000","12.340000","12.340000","12.340000","12.350000","12.350000","12.350000","12.350000","12.350000","12.350000","12.330000","12.330000","12.330000","12.330000","12.310000","12.310000","12.160000","11.980000","11.900000","11.890000","11.950000","12.060000","11.900000","11.950000","11.950000","11.940000","12.090000","12.150000","12.140000","12.130000","12.130000","12.130000","12.130000","12.130000","12.130000","12.130000","12.130000","12.130000","12.130000","12.130000","12.130000","12.280000","12.280000","12.380000","12.420000","12.390000","12.440000","12.390000",
"2","'004","Afghanistan","6620","Cropland","7277","Area per capita","ha/cap","0.840000","0.830000","0.820000","0.810000","0.790000","0.770000","0.760000","0.740000","0.730000","0.710000","0.690000","0.680000","0.660000","0.650000","0.630000","0.620000","0.600000","0.590000","0.590000","0.610000","0.670000","0.730000","0.740000","0.720000","0.700000","0.710000","0.710000","0.700000","0.680000","0.670000","0.660000","0.600000","0.530000","0.480000","0.450000","0.440000","0.420000","0.410000","0.390000","0.390000","0.380000","0.360000","0.350000","0.340000","0.320000","0.310000","0.310000","0.300000","0.290000","0.280000","0.270000","0.260000","0.250000","0.240000","0.230000","0.230000","0.220000","0.220000","0.210000","0.210000","0.200000","0.200000","0.200000","0.190000",
