Mean data for BGD  Province= 3: Dhaka,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.199,296.76, 56.86, 54.70, 55.78,
1982, 2, 0.195,297.18, 51.97, 48.62, 50.30,
1982, 3, 0.191,297.40, 46.43, 49.59, 48.01,
1982, 4, 0.190,297.69, 42.50, 50.39, 46.44,
1982, 5, 0.192,298.27, 38.06, 47.47, 42.77,
1982, 6, 0.195,298.92, 34.46, 45.11, 39.78,
1982, 7, 0.196,299.54, 29.81, 44.14, 36.97,
1982, 8, 0.201,300.16, 26.94, 43.68, 35.31,
1982, 9, 0.204,300.67, 23.68, 43.57, 33.63,
1982,10, 0.206,301.18, 21.84, 41.74, 31.79,
1982,11, 0.207,301.67, 20.75, 38.12, 29.43,
1982,12, 0.205,301.76, 18.68, 38.08, 28.38,
1982,13, 0.203,301.61, 17.30, 39.26, 28.28,
1982,14, 0.202,301.25, 17.85, 39.48, 28.67,
1982,15, 0.198,299.96, 18.97, 51.94, 35.45,
1982,16, 0.196,298.83, 20.84, 60.56, 40.70,
1982,17, 0.200,298.66, 25.90, 50.06, 37.98,
1982,18, 0.202,298.01, 30.07, 47.73, 38.90,
1982,19, 0.205,297.50, 36.75, 42.69, 39.72,
1982,20, 0.205,296.51, 41.87, 38.70, 40.29,
1982,21, 0.210,295.38, 47.12, 36.52, 41.82,
1982,22, 0.210,294.04, 48.80, 34.53, 41.66,
1982,23, 0.202,292.11, 46.90, 33.75, 40.32,
1982,24, 0.192,290.66, 45.71, 28.78, 37.25,
1982,25, 0.188,290.07, 46.98, 21.85, 34.41,
1982,26, 0.187,289.55, 49.60, 17.02, 33.31,
1982,27, 0.188,289.36, 53.95, 13.27, 33.61,
1982,28, 0.186,288.55, 55.35, 14.26, 34.81,
1982,29, 0.191,289.01, 59.41, 11.46, 35.43,
1982,30, 0.197,289.77, 63.08,  8.44, 35.76,
1982,31, 0.199,290.05, 62.77,  8.30, 35.53,
1982,32, 0.204,290.82, 65.08,  7.00, 36.04,
1982,33, 0.212,291.33, 67.11,  6.51, 36.81,
1982,34, 0.223,292.27, 69.20,  4.69, 36.94,
1982,35, 0.238,293.47, 72.10,  2.62, 37.36,
1982,36, 0.253,294.19, 72.83,  2.44, 37.64,
1982,37, 0.266,295.11, 72.82,  1.85, 37.34,
1982,38, 0.280,296.20, 72.63,  1.30, 36.97,
1982,39, 0.292,296.82, 70.77,  1.56, 36.17,
1982,40, 0.303,297.35, 69.03,  2.26, 35.65,
1982,41, 0.312,297.86, 67.10,  5.31, 36.20,
1982,42, 0.313,298.17, 62.54, 11.71, 37.13,
1982,43, 0.305,298.20, 57.35, 19.30, 38.33,
1982,44, 0.290,298.26, 49.94, 25.45, 37.70,
1982,45, 0.271,298.45, 44.45, 29.62, 37.04,
1982,46, 0.250,298.46, 38.48, 34.89, 36.69,
1982,47, 0.228,298.44, 32.93, 36.57, 34.75,
1982,48, 0.208,298.33, 28.69, 36.49, 32.59,
1982,49, 0.190,298.35, 23.78, 33.39, 28.58,
1982,50, 0.173,298.24, 19.25, 24.22, 21.73,
1982,51, 0.162,298.14, 18.00, 23.36, 20.68,
1982,52, 0.156,298.02, 17.84, 25.30, 21.57,
1983, 1, 0.155,298.09, 16.86, 23.92, 20.39,
1983, 2, 0.157,298.13, 18.51, 26.45, 22.48,
1983, 3, 0.160,298.15, 19.40, 31.74, 25.57,
1983, 4, 0.163,298.24, 18.84, 37.35, 28.09,
1983, 5, 0.168,298.39, 18.27, 44.45, 31.36,
1983, 6, 0.174,298.92, 16.99, 44.38, 30.68,
1983, 7, 0.178,299.45, 15.43, 45.28, 30.36,
1983, 8, 0.183,299.72, 14.00, 51.78, 32.89,
1983, 9, 0.190,300.08, 14.51, 54.99, 34.75,
1983,10, 0.195,300.51, 14.91, 54.78, 34.84,
1983,11, 0.197,300.46, 14.90, 60.23, 37.56,
1983,12, 0.201,300.36, 15.96, 62.58, 39.27,
1983,13, 0.204,300.36, 17.35, 59.65, 38.50,
1983,14, 0.205,300.26, 19.02, 54.71, 36.87,
1983,15, 0.205,299.91, 22.72, 52.49, 37.61,
1983,16, 0.204,299.17, 24.75, 55.11, 39.93,
1983,17, 0.203,298.13, 27.69, 56.57, 42.13,
