Mean data for BGD  Province= 4: Khulna,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.201,296.94, 49.43, 54.90, 52.16,
1982, 2, 0.195,297.57, 45.32, 43.58, 44.45,
1982, 3, 0.189,297.99, 39.09, 39.65, 39.37,
1982, 4, 0.187,298.47, 36.70, 37.76, 37.23,
1982, 5, 0.187,299.14, 34.54, 36.20, 35.37,
1982, 6, 0.186,299.86, 30.31, 36.79, 33.55,
1982, 7, 0.184,300.56, 25.84, 38.16, 32.00,
1982, 8, 0.183,301.29, 23.27, 40.84, 32.06,
1982, 9, 0.183,302.00, 22.27, 44.88, 33.57,
1982,10, 0.184,302.72, 23.32, 45.27, 34.29,
1982,11, 0.184,303.49, 24.78, 42.14, 33.46,
1982,12, 0.181,303.87, 24.71, 41.94, 33.32,
1982,13, 0.176,304.04, 23.93, 42.23, 33.08,
1982,14, 0.172,304.12, 23.90, 40.11, 32.01,
1982,15, 0.165,303.38, 24.06, 47.52, 35.79,
1982,16, 0.159,302.73, 23.89, 48.51, 36.20,
1982,17, 0.159,302.64, 27.21, 39.50, 33.36,
1982,18, 0.158,302.03, 29.79, 33.67, 31.73,
1982,19, 0.159,301.29, 33.12, 28.31, 30.72,
1982,20, 0.162,300.38, 37.56, 24.40, 30.98,
1982,21, 0.168,298.94, 42.84, 22.69, 32.77,
1982,22, 0.171,296.90, 46.55, 23.04, 34.80,
1982,23, 0.176,294.76, 51.50, 22.80, 37.15,
1982,24, 0.180,292.95, 57.00, 19.26, 38.13,
1982,25, 0.189,292.32, 63.05, 11.95, 37.50,
1982,26, 0.198,291.70, 67.78,  7.91, 37.85,
1982,27, 0.205,291.10, 71.92,  5.81, 38.86,
1982,28, 0.204,289.78, 71.09,  7.67, 39.38,
1982,29, 0.206,289.22, 70.71,  7.68, 39.19,
1982,30, 0.202,288.52, 67.81,  8.97, 38.39,
1982,31, 0.196,287.63, 61.85, 12.19, 37.02,
1982,32, 0.195,287.52, 58.22, 13.59, 35.90,
1982,33, 0.201,288.43, 56.15, 12.79, 34.47,
1982,34, 0.209,289.76, 54.54, 11.30, 32.92,
1982,35, 0.223,291.40, 55.57,  8.76, 32.17,
1982,36, 0.240,293.00, 57.57,  6.35, 31.96,
1982,37, 0.257,294.46, 58.62,  5.00, 31.81,
1982,38, 0.277,296.17, 60.33,  3.27, 31.80,
1982,39, 0.295,297.32, 60.64,  2.33, 31.48,
1982,40, 0.309,298.02, 60.21,  2.10, 31.15,
1982,41, 0.320,298.73, 59.77,  2.43, 31.10,
1982,42, 0.323,299.21, 57.44,  4.54, 30.99,
1982,43, 0.317,299.33, 53.43, 10.49, 31.96,
1982,44, 0.306,299.49, 48.86, 13.30, 31.08,
1982,45, 0.289,299.56, 45.09, 16.13, 30.61,
1982,46, 0.268,299.45, 40.59, 23.62, 32.10,
1982,47, 0.247,299.30, 37.99, 26.36, 32.18,
1982,48, 0.230,299.04, 39.24, 29.07, 34.16,
1982,49, 0.214,298.88, 37.69, 31.00, 34.35,
1982,50, 0.195,298.54, 30.28, 27.58, 28.93,
1982,51, 0.182,298.33, 28.39, 27.88, 28.13,
1982,52, 0.171,298.05, 25.26, 30.95, 28.10,
1983, 1, 0.167,297.97, 17.88, 32.81, 25.35,
1983, 2, 0.165,298.02, 17.85, 34.44, 26.14,
1983, 3, 0.164,298.15, 16.56, 37.05, 26.80,
1983, 4, 0.161,298.38, 14.37, 40.21, 27.29,
1983, 5, 0.161,298.64, 12.96, 46.13, 29.54,
1983, 6, 0.163,299.26, 12.69, 47.65, 30.17,
1983, 7, 0.164,300.08, 12.62, 46.71, 29.66,
1983, 8, 0.166,300.85, 12.95, 48.00, 30.47,
1983, 9, 0.170,301.83, 14.37, 47.07, 30.72,
1983,10, 0.169,302.83, 15.07, 43.09, 29.08,
1983,11, 0.166,303.38, 15.05, 43.54, 29.30,
1983,12, 0.164,303.61, 15.55, 45.56, 30.55,
1983,13, 0.161,303.74, 15.69, 46.11, 30.90,
1983,14, 0.159,303.70, 16.75, 45.30, 31.03,
1983,15, 0.159,303.44, 20.38, 46.72, 33.55,
1983,16, 0.159,302.91, 23.76, 46.04, 34.90,
1983,17, 0.160,301.94, 28.45, 48.10, 38.28,
1983,18, 0.166,300.89, 35.93, 48.24, 42.08,
1983,19, 0.173,299.75, 43.79, 46.71, 45.25,
1983,20, 0.184,298.85, 52.57, 39.08, 45.82,
1983,21, 0.203,298.81, 65.69, 24.24, 44.97,
1983,22, 0.217,298.16, 75.51, 14.54, 45.03,
1983,23, 0.221,296.49, 79.48, 12.41, 45.94,
1983,24, 0.219,293.86, 80.24, 14.68, 47.46,
1983,25, 0.221,291.98, 81.61, 13.29, 47.45,
1983,26, 0.226,290.75, 83.05, 10.94, 47.00,
1983,27, 0.223,288.36, 80.96, 15.08, 48.02,
