Mean data for BGD  Province= 5: Rajshahi,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.167,296.48, 55.05, 52.82, 53.94,
1982, 2, 0.162,297.01, 49.91, 42.09, 46.00,
1982, 3, 0.159,297.35, 45.15, 39.56, 42.36,
1982, 4, 0.160,297.79, 43.13, 37.84, 40.48,
1982, 5, 0.161,298.46, 39.38, 34.53, 36.96,
1982, 6, 0.162,299.16, 34.46, 33.34, 33.90,
1982, 7, 0.163,299.81, 28.45, 34.09, 31.27,
1982, 8, 0.164,300.63, 24.95, 32.69, 28.82,
1982, 9, 0.164,301.50, 21.23, 31.20, 26.21,
1982,10, 0.163,302.27, 18.57, 29.46, 24.02,
1982,11, 0.162,303.09, 16.67, 25.13, 20.90,
1982,12, 0.159,303.52, 14.61, 24.89, 19.75,
1982,13, 0.158,303.68, 13.10, 26.14, 19.62,
1982,14, 0.157,303.62, 11.98, 27.33, 19.65,
1982,15, 0.156,302.13, 11.97, 46.61, 29.29,
1982,16, 0.157,301.06, 12.76, 53.01, 32.88,
1982,17, 0.162,301.39, 14.65, 38.27, 26.46,
1982,18, 0.163,300.91, 15.00, 32.96, 23.98,
1982,19, 0.165,300.55, 15.72, 25.52, 20.62,
1982,20, 0.166,299.48, 21.52, 28.65, 25.09,
1982,21, 0.169,298.30, 26.15, 29.32, 27.74,
1982,22, 0.174,297.16, 31.92, 29.54, 30.73,
1982,23, 0.176,295.37, 37.15, 28.97, 33.06,
1982,24, 0.176,294.25, 42.57, 21.41, 31.99,
1982,25, 0.176,293.60, 47.20, 15.97, 31.58,
1982,26, 0.175,292.81, 50.93, 13.08, 32.01,
1982,27, 0.173,292.27, 53.85, 10.45, 32.15,
1982,28, 0.168,290.64, 54.55, 14.23, 34.39,
1982,29, 0.168,290.70, 57.18, 12.61, 34.90,
1982,30, 0.173,291.53, 60.99,  8.77, 34.88,
1982,31, 0.176,291.73, 60.32,  8.77, 34.55,
1982,32, 0.181,292.17, 59.33,  8.56, 33.94,
1982,33, 0.191,292.26, 58.20, 10.76, 34.48,
1982,34, 0.204,292.90, 57.00,  9.58, 33.29,
1982,35, 0.223,294.06, 56.86,  6.39, 31.62,
1982,36, 0.242,294.75, 56.90,  6.56, 31.73,
1982,37, 0.263,295.79, 58.22,  5.29, 31.75,
1982,38, 0.283,296.91, 58.99,  4.23, 31.61,
1982,39, 0.300,297.51, 58.08,  4.55, 31.31,
1982,40, 0.312,297.91, 56.34,  5.32, 30.83,
1982,41, 0.319,298.19, 52.90,  9.56, 31.23,
1982,42, 0.319,298.32, 50.00, 15.30, 32.65,
1982,43, 0.310,298.30, 46.91, 23.31, 35.11,
1982,44, 0.292,298.27, 41.06, 31.77, 36.41,
1982,45, 0.268,298.28, 37.07, 38.98, 38.03,
1982,46, 0.244,298.19, 36.66, 42.25, 39.46,
1982,47, 0.221,298.18, 37.81, 40.45, 39.13,
1982,48, 0.200,298.14, 40.33, 38.84, 39.58,
1982,49, 0.181,298.29, 36.80, 33.01, 34.90,
1982,50, 0.164,298.33, 35.84, 21.63, 28.73,
1982,51, 0.151,298.33, 33.10, 17.72, 25.41,
1982,52, 0.143,298.35, 30.31, 15.28, 22.80,
1983, 1, 0.139,298.45, 24.43, 12.79, 18.61,
1983, 2, 0.138,298.51, 24.79, 12.24, 18.51,
1983, 3, 0.138,298.54, 24.37, 15.05, 19.71,
1983, 4, 0.137,298.73, 21.90, 18.25, 20.08,
1983, 5, 0.138,298.93, 18.98, 24.73, 21.86,
1983, 6, 0.141,299.49, 16.75, 26.55, 21.65,
1983, 7, 0.143,300.05, 13.18, 29.02, 21.10,
1983, 8, 0.143,300.50, 10.41, 35.15, 22.78,
1983, 9, 0.144,301.01,  8.96, 40.37, 24.66,
1983,10, 0.143,301.59,  7.72, 41.59, 24.65,
1983,11, 0.142,301.90,  6.45, 44.97, 25.71,
1983,12, 0.142,302.10,  5.65, 47.38, 26.51,
1983,13, 0.143,302.33,  5.23, 45.66, 25.45,
1983,14, 0.145,302.41,  5.43, 43.29, 24.36,
1983,15, 0.146,302.05,  6.56, 47.01, 26.79,
1983,16, 0.148,301.30,  7.73, 49.27, 28.50,
1983,17, 0.153,300.26,  9.63, 51.97, 30.80,
1983,18, 0.164,299.29, 14.65, 53.22, 33.93,
1983,19, 0.177,298.75, 22.94, 49.01, 35.97,
1983,20, 0.192,298.39, 39.43, 41.44, 40.43,
1983,21, 0.209,298.22, 55.08, 30.27, 42.68,
1983,22, 0.225,297.98, 68.68, 22.34, 45.51,
1983,23, 0.231,297.03, 75.30, 16.25, 45.78,
1983,24, 0.231,295.13, 78.20, 15.70, 46.95,
1983,25, 0.232,293.94, 81.11, 13.99, 47.55,
1983,26, 0.235,293.68, 84.27,  8.60, 46.43,
1983,27, 0.228,292.33, 83.69, 10.11, 46.90,
1983,28, 0.217,291.24, 81.78, 11.98, 46.88,
1983,29, 0.206,290.42, 78.49, 14.46, 46.47,
1983,30, 0.194,289.45, 73.38, 18.03, 45.71,
1983,31, 0.182,288.29, 64.56, 24.03, 44.29,
1983,32, 0.178,288.09, 57.92, 27.18, 42.55,
1983,33, 0.182,288.80, 53.84, 27.27, 40.55,
1983,34, 0.185,289.18, 47.55, 28.92, 38.24,
1983,35, 0.191,289.44, 41.84, 32.98, 37.41,
1983,36, 0.199,289.57, 37.39, 39.24, 38.31,
1983,37, 0.209,289.52, 34.44, 49.15, 41.79,
1983,38, 0.228,290.53, 34.40, 54.93, 44.66,
1983,39, 0.249,291.80, 34.69, 58.63, 46.66,
1983,40, 0.272,292.76, 36.90, 64.48, 50.69,
1983,41, 0.296,294.15, 41.58, 66.33, 53.95,
1983,42, 0.313,295.38, 48.70, 64.75, 56.72,
1983,43, 0.318,295.78, 54.69, 70.50, 62.59,
1983,44, 0.312,295.79, 59.06, 82.93, 70.99,
1983,45, 0.301,296.34, 66.70, 84.92, 75.81,
1983,46, 0.280,296.72, 71.02, 79.55, 75.28,
1983,47, 0.254,296.38, 72.54, 85.24, 78.89,
1983,48, 0.232,296.16, 74.98, 85.04, 80.01,
1983,49, 0.212,295.90, 68.18, 86.54, 77.36,
1983,50, 0.194,295.53, 71.84, 86.52, 79.18,
1983,51, 0.182,295.19, 70.94, 88.88, 79.91,
1983,52, 0.176,294.87, 69.93, 90.73, 80.33,
1984, 1, 0.173,294.62, 67.44, 93.45, 80.44,
1984, 2, 0.174,294.49, 67.08, 94.79, 80.93,
1984, 3, 0.176,294.77, 66.58, 93.76, 80.17,
1984, 4, 0.180,295.20, 65.31, 92.04, 78.68,
1984, 5, 0.184,295.96, 63.46, 87.44, 75.45,
1984, 6, 0.187,296.77, 58.20, 82.39, 70.29,
1984, 7, 0.187,297.85, 50.48, 74.69, 62.59,
1984, 8, 0.187,299.16, 42.75, 62.68, 52.71,
1984, 9, 0.183,300.28, 34.14, 54.33, 44.23,
1984,10, 0.177,301.29, 27.07, 46.90, 36.98,
1984,11, 0.173,302.14, 22.41, 40.32, 31.36,
1984,12, 0.171,302.75, 19.57, 36.15, 27.86,
1984,13, 0.171,303.10, 18.04, 34.15, 26.10,
1984,14, 0.171,303.21, 17.69, 32.62, 25.15,
1984,15, 0.173,302.75, 19.03, 38.74, 28.89,
1984,16, 0.172,301.40, 19.28, 48.45, 33.87,
1984,17, 0.169,299.96, 18.06, 56.59, 37.32,
1984,18, 0.170,299.19, 18.54, 55.33, 36.93,
1984,19, 0.171,298.18, 19.14, 57.73, 38.44,
1984,20, 0.173,297.27, 27.11, 55.66, 41.39,
1984,21, 0.172,295.11, 29.74, 63.45, 46.60,
1984,22, 0.170,293.36, 32.32, 63.37, 47.84,
1984,23, 0.169,291.93, 36.49, 52.15, 44.32,
1984,24, 0.166,289.94, 39.85, 46.78, 43.32,
1984,25, 0.164,288.79, 42.94, 39.90, 41.42,
1984,26, 0.162,287.76, 45.59, 33.82, 39.71,
1984,27, 0.159,286.88, 47.79, 29.76, 38.78,
1984,28, 0.159,286.17, 51.10, 27.61, 39.35,
1984,29, 0.156,284.96, 52.18, 30.12, 41.15,
1984,30, 0.155,284.63, 53.41, 30.49, 41.95,
1984,31, 0.162,285.51, 55.80, 28.06, 41.93,
1984,32, 0.168,286.20, 55.05, 27.95, 41.50,
1984,33, 0.179,287.17, 55.02, 27.09, 41.06,
1984,34, 0.185,286.47, 50.17, 34.79, 42.48,
1984,35, 0.196,287.29, 46.70, 36.63, 41.66,
1984,36, 0.210,288.62, 44.65, 36.02, 40.34,
1984,37, 0.227,289.92, 44.75, 37.35, 41.05,
1984,38, 0.247,291.55, 45.46, 35.12, 40.29,
1984,39, 0.262,292.81, 44.68, 34.58, 39.63,
1984,40, 0.271,293.71, 41.42, 39.19, 40.30,
1984,41, 0.278,295.06, 37.46, 40.80, 39.13,
1984,42, 0.279,296.10, 34.12, 41.47, 37.79,
1984,43, 0.275,296.94, 32.31, 39.51, 35.91,
1984,44, 0.268,297.79, 32.51, 31.55, 32.03,
1984,45, 0.258,298.50, 36.99, 24.47, 30.73,
1984,46, 0.245,298.91, 45.63, 18.51, 32.07,
1984,47, 0.233,299.06, 57.44, 14.63, 36.04,
1984,48, 0.222,299.11, 69.10, 12.80, 40.95,
1984,49, 0.220,299.05, 78.77, 13.38, 46.07,
1984,50,-1.000, -1.00, -1.00, -1.00, -1.00,
1984,51,-1.000, -1.00, -1.00, -1.00, -1.00,
1984,52,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 1,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 2,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 3,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 4,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 5,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 6,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 7,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 8,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 9, 0.167,305.10, 23.20,  1.87, 12.54,
1985,10, 0.171,305.75, 22.30,  2.06, 12.18,
1985,11, 0.169,305.90, 19.65,  2.90, 11.27,
1985,12, 0.169,306.01, 17.97,  3.99, 10.98,
1985,13, 0.168,305.93, 16.78,  6.14, 11.46,
1985,14, 0.168,305.67, 15.95,  9.18, 12.56,
1985,15, 0.168,305.12, 16.24, 11.98, 14.11,
1985,16, 0.169,304.17, 17.44, 15.38, 16.41,
1985,17, 0.177,302.90, 21.33, 20.17, 20.75,
1985,18, 0.184,301.16, 25.62, 29.98, 27.80,
1985,19, 0.192,299.50, 32.15, 39.57, 35.86,
1985,20, 0.201,298.03, 44.16, 45.97, 45.07,
1985,21, 0.208,296.65, 54.13, 47.52, 50.82,
1985,22, 0.215,295.70, 62.39, 44.17, 53.28,
1985,23, 0.218,293.99, 67.21, 40.36, 53.78,
1985,24, 0.214,292.11, 68.96, 36.52, 52.74,
1985,25, 0.209,290.84, 67.85, 32.58, 50.22,
1985,26, 0.196,288.87, 62.86, 33.20, 48.03,
1985,27, 0.178,286.61, 56.21, 35.44, 45.83,
1985,28, 0.158,284.64, 48.32, 38.02, 43.17,
1985,29, 0.147,283.96, 43.92, 38.36, 41.14,
1985,30, 0.144,284.04, 43.27, 38.12, 40.69,
1985,31, 0.145,284.57, 42.48, 37.61, 40.04,
1985,32, 0.146,284.47, 39.87, 40.98, 40.42,
1985,33, 0.156,285.12, 40.31, 43.32, 41.82,
1985,34, 0.172,285.85, 40.94, 45.82, 43.38,
1985,35, 0.194,287.42, 43.48, 44.23, 43.86,
1985,36, 0.219,288.50, 46.65, 45.71, 46.18,
1985,37, 0.247,290.22, 51.95, 44.59, 48.27,
1985,38, 0.274,292.36, 55.94, 41.14, 48.54,
1985,39, 0.297,293.83, 58.88, 40.30, 49.59,
1985,40, 0.315,294.79, 60.59, 40.65, 50.62,
1985,41, 0.327,295.88, 61.37, 39.91, 50.64,
1985,42, 0.330,296.80, 60.88, 39.38, 50.13,
1985,43, 0.322,297.41, 58.81, 38.20, 48.50,
1985,44, 0.303,297.85, 53.66, 36.12, 44.89,
1985,45, 0.276,297.86, 47.20, 45.04, 46.12,
1985,46, 0.249,297.88, 45.11, 47.45, 46.28,
1985,47, 0.223,297.97, 44.14, 43.08, 43.61,
1985,48, 0.199,298.03, 42.23, 37.81, 40.02,
1985,49, 0.179,297.95, 36.28, 36.32, 36.30,
1985,50, 0.165,297.89, 38.49, 25.66, 32.07,
1985,51, 0.155,297.83, 38.83, 23.69, 31.26,
1985,52, 0.151,297.93, 41.39, 20.57, 30.98,
1986, 1, 0.152,298.07, 42.10, 17.92, 30.01,
1986, 2, 0.154,298.32, 44.59, 14.84, 29.72,
1986, 3, 0.156,298.63, 45.12, 13.23, 29.18,
1986, 4, 0.157,298.98, 43.56, 13.78, 28.67,
1986, 5, 0.159,299.44, 40.58, 14.86, 27.72,
1986, 6, 0.161,300.08, 35.96, 15.51, 25.74,
