Mean data for CHN  Province= 10: Hebei,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.094,273.65, 33.95, 41.62, 37.78,
1982, 2, 0.095,273.76, 36.85, 46.39, 41.62,
1982, 3, 0.097,274.55, 39.84, 47.91, 43.87,
1982, 4, 0.099,275.86, 42.07, 46.87, 44.47,
1982, 5, 0.100,277.20, 42.73, 46.70, 44.71,
1982, 6, 0.100,278.79, 41.28, 46.07, 43.67,
1982, 7, 0.101,280.69, 38.36, 43.68, 41.02,
1982, 8, 0.105,282.51, 38.17, 42.24, 40.20,
1982, 9, 0.108,284.42, 38.91, 40.38, 39.65,
1982,10, 0.112,286.33, 38.66, 38.55, 38.60,
1982,11, 0.116,288.04, 38.19, 39.72, 38.96,
1982,12, 0.121,289.81, 37.22, 39.50, 38.36,
1982,13, 0.128,291.84, 34.26, 37.56, 35.91,
1982,14, 0.137,293.83, 32.34, 34.57, 33.45,
1982,15, 0.147,295.47, 32.02, 33.37, 32.70,
1982,16, 0.155,296.65, 28.21, 36.93, 32.57,
1982,17, 0.160,297.33, 21.01, 43.66, 32.34,
1982,18, 0.170,298.38, 19.04, 45.17, 32.10,
1982,19, 0.181,299.62, 17.97, 43.37, 30.67,
1982,20, 0.192,300.78, 17.95, 43.99, 30.97,
1982,21, 0.204,301.90, 20.07, 40.84, 30.46,
1982,22, 0.214,302.48, 21.61, 39.73, 30.67,
1982,23, 0.221,302.34, 22.99, 42.87, 32.93,
1982,24, 0.232,301.60, 26.25, 50.14, 38.20,
1982,25, 0.249,301.22, 30.33, 53.00, 41.66,
1982,26, 0.269,301.04, 34.58, 52.82, 43.70,
1982,27, 0.290,300.82, 38.01, 51.32, 44.67,
1982,28, 0.312,300.37, 41.19, 50.07, 45.63,
1982,29, 0.333,299.66, 44.14, 51.38, 47.76,
1982,30, 0.351,298.79, 46.52, 56.39, 51.46,
1982,31, 0.368,298.18, 48.96, 59.89, 54.42,
1982,32, 0.381,297.84, 51.51, 60.02, 55.77,
1982,33, 0.388,297.72, 53.20, 56.96, 55.08,
