Mean data for CHN  Province= 11: Heilongjiang,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.110,257.19, 76.62, 39.28, 57.95,
1982, 2, 0.110,257.26, 77.90, 41.42, 59.66,
1982, 3, 0.109,257.83, 77.31, 41.40, 59.36,
1982, 4, 0.108,259.08, 75.65, 37.26, 56.45,
1982, 5, 0.106,260.95, 72.93, 30.56, 51.74,
1982, 6, 0.105,263.04, 69.46, 24.85, 47.16,
1982, 7, 0.104,265.25, 66.53, 21.99, 44.26,
1982, 8, 0.103,267.31, 63.47, 23.89, 43.68,
1982, 9, 0.102,269.35, 60.69, 27.27, 43.98,
1982,10, 0.103,271.46, 58.72, 29.47, 44.09,
1982,11, 0.105,273.59, 57.29, 31.68, 44.49,
1982,12, 0.111,275.94, 57.04, 33.28, 45.16,
1982,13, 0.117,278.74, 56.31, 33.29, 44.80,
1982,14, 0.126,281.69, 55.22, 32.48, 43.85,
1982,15, 0.136,284.28, 54.05, 32.18, 43.12,
1982,16, 0.151,286.52, 55.44, 34.12, 44.78,
1982,17, 0.172,288.39, 58.35, 39.20, 48.78,
1982,18, 0.196,289.98, 59.25, 46.02, 52.64,
1982,19, 0.230,291.52, 60.70, 51.75, 56.23,
1982,20, 0.271,293.23, 63.72, 50.69, 57.20,
1982,21, 0.315,294.68, 66.63, 45.26, 55.95,
1982,22, 0.358,295.77, 70.17, 39.38, 54.77,
1982,23, 0.397,296.71, 72.84, 33.87, 53.35,
1982,24, 0.428,297.50, 73.21, 29.32, 51.26,
1982,25, 0.446,297.84, 70.00, 27.29, 48.65,
1982,26, 0.456,297.81, 64.57, 27.72, 46.14,
1982,27, 0.463,297.60, 58.83, 28.09, 43.46,
1982,28, 0.466,297.17, 53.29, 29.22, 41.26,
1982,29, 0.469,296.78, 50.82, 28.61, 39.72,
1982,30, 0.476,296.33, 51.96, 28.77, 40.37,
1982,31, 0.480,295.76, 53.74, 30.05, 41.89,
1982,32, 0.483,295.16, 55.79, 31.86, 43.83,
1982,33, 0.479,294.41, 57.37, 36.01, 46.69,
1982,34, 0.465,293.25, 56.82, 44.21, 50.51,
1982,35, 0.444,291.90, 55.31, 52.11, 53.71,
1982,36, 0.414,290.51, 53.26, 56.35, 54.81,
1982,37, 0.379,289.24, 52.27, 53.87, 53.07,
1982,38, 0.337,287.80, 50.98, 51.75, 51.37,
1982,39, 0.294,285.91, 49.34, 50.87, 50.10,
1982,40, 0.251,283.57, 47.20, 52.15, 49.67,
1982,41, 0.212,280.82, 44.65, 56.19, 50.42,
1982,42, 0.179,277.54, 41.89, 61.34, 51.61,
1982,43, 0.154,273.91, 41.03, 64.45, 52.74,
1982,44, 0.133,270.80, 40.06, 62.72, 51.39,
1982,45, 0.118,267.88, 38.96, 60.73, 49.84,
1982,46, 0.107,265.10, 38.77, 58.67, 48.72,
1982,47, 0.099,262.44, 38.51, 59.55, 49.03,
1982,48, 0.095,260.27, 39.27, 59.84, 49.56,
1982,49, 0.090,258.53, 38.05, 58.02, 48.03,
1982,50, 0.086,257.26, 34.73, 54.61, 44.67,
1982,51, 0.083,256.11, 32.78, 54.15, 43.47,
1982,52, 0.080,255.13, 29.75, 55.06, 42.41,
1983, 1, 0.077,254.69, 26.16, 59.17, 42.67,
1983, 2, 0.076,254.93, 24.66, 59.50, 42.08,
1983, 3, 0.076,255.42, 25.65, 60.28, 42.96,
1983, 4, 0.076,256.08, 26.92, 61.06, 43.99,
1983, 5, 0.075,257.37, 26.82, 59.00, 42.91,
1983, 6, 0.075,259.06, 27.18, 56.50, 41.84,
1983, 7, 0.075,260.79, 27.55, 56.74, 42.15,
1983, 8, 0.075,262.99, 27.01, 55.88, 41.45,
1983, 9, 0.076,265.88, 27.78, 50.72, 39.25,
1983,10, 0.076,268.65, 26.24, 47.42, 36.83,
1983,11, 0.076,271.27, 24.36, 45.97, 35.16,
1983,12, 0.080,273.76, 23.96, 46.38, 35.17,
1983,13, 0.087,276.48, 24.30, 47.09, 35.70,
1983,14, 0.096,279.23, 24.17, 48.92, 36.55,
1983,15, 0.106,281.60, 23.62, 52.16, 37.89,
1983,16, 0.117,283.31, 22.12, 59.91, 41.01,
1983,17, 0.130,284.91, 19.25, 68.35, 43.80,
1983,18, 0.151,286.96, 20.88, 72.39, 46.63,
1983,19, 0.178,288.92, 22.14, 75.56, 48.85,
1983,20, 0.206,289.85, 22.39, 82.37, 52.38,
1983,21, 0.238,290.45, 23.35, 86.62, 54.99,
1983,22, 0.266,290.59, 23.58, 89.63, 56.61,
1983,23, 0.295,290.54, 24.91, 91.54, 58.23,
1983,24, 0.324,290.41, 26.55, 93.40, 59.98,
1983,25, 0.356,290.77, 29.52, 93.20, 61.36,
1983,26, 0.391,291.50, 34.05, 91.55, 62.80,
1983,27, 0.418,292.03, 37.35, 89.59, 63.47,
1983,28, 0.436,292.22, 39.45, 87.28, 63.36,
1983,29, 0.451,292.20, 43.00, 85.54, 64.27,
1983,30, 0.465,292.27, 47.79, 82.11, 64.95,
1983,31, 0.477,292.43, 53.13, 76.99, 65.06,
1983,32, 0.479,292.39, 55.34, 73.75, 64.54,
1983,33, 0.470,292.02, 54.35, 73.30, 63.83,
1983,34, 0.452,291.60, 51.54, 70.08, 60.81,
1983,35, 0.419,290.45, 43.57, 73.52, 58.54,
1983,36, 0.384,288.84, 38.41, 79.28, 58.85,
1983,37, 0.346,287.05, 35.40, 83.21, 59.31,
1983,38, 0.311,285.54, 36.66, 80.80, 58.73,
1983,39, 0.273,283.56, 36.93, 80.12, 58.52,
1983,40, 0.237,281.36, 37.27, 79.04, 58.16,
1983,41, 0.201,279.18, 36.11, 76.20, 56.16,
1983,42, 0.177,276.95, 40.34, 68.80, 54.57,
1983,43, 0.158,274.52, 45.34, 60.03, 52.69,
1983,44, 0.140,271.71, 45.76, 55.94, 50.85,
1983,45, 0.122,268.64, 42.80, 54.91, 48.85,
1983,46, 0.108,265.27, 38.71, 56.95, 47.83,
1983,47, 0.097,262.72, 35.59, 56.28, 45.94,
1983,48, 0.090,260.36, 33.76, 57.83, 45.79,
1983,49, 0.086,258.26, 33.64, 58.79, 46.21,
1983,50, 0.085,256.61, 34.67, 58.04, 46.36,
1983,51, 0.085,255.46, 37.80, 57.88, 47.84,
1983,52, 0.085,254.27, 39.48, 61.41, 50.45,
1984, 1, 0.086,253.26, 41.61, 72.68, 57.15,
1984, 2, 0.090,252.84, 48.78, 78.84, 63.81,
1984, 3, 0.092,252.83, 53.65, 83.75, 68.70,
1984, 4, 0.091,253.12, 53.61, 86.90, 70.26,
1984, 5, 0.091,253.82, 53.48, 88.78, 71.13,
1984, 6, 0.089,255.25, 51.13, 88.08, 69.60,
1984, 7, 0.088,257.09, 47.58, 85.56, 66.57,
1984, 8, 0.084,259.48, 41.02, 81.66, 61.34,
1984, 9, 0.082,261.91, 36.33, 77.70, 57.01,
1984,10, 0.080,264.45, 32.79, 73.67, 53.23,
1984,11, 0.080,267.15, 28.92, 70.37, 49.65,
1984,12, 0.081,269.73, 24.86, 69.76, 47.31,
1984,13, 0.086,272.65, 23.44, 69.96, 46.70,
1984,14, 0.098,275.83, 26.02, 70.55, 48.29,
1984,15, 0.114,279.11, 31.66, 69.64, 50.65,
1984,16, 0.131,282.37, 36.37, 67.17, 51.77,
1984,17, 0.152,285.46, 40.75, 63.82, 52.29,
1984,18, 0.179,288.10, 46.00, 62.55, 54.27,
1984,19, 0.212,290.22, 49.15, 63.83, 56.49,
1984,20, 0.255,291.49, 54.74, 67.21, 60.97,
1984,21, 0.303,292.42, 60.90, 67.44, 64.17,
1984,22, 0.351,293.27, 67.52, 63.32, 65.42,
1984,23, 0.396,293.91, 73.77, 59.96, 66.87,
1984,24, 0.431,294.23, 76.90, 58.99, 67.94,
1984,25, 0.460,294.23, 78.55, 60.93, 69.74,
1984,26, 0.480,294.27, 78.06, 63.31, 70.68,
1984,27, 0.491,294.11, 74.38, 66.40, 70.39,
1984,28, 0.496,293.75, 69.93, 69.13, 69.53,
1984,29, 0.503,293.73, 69.07, 65.99, 67.53,
1984,30, 0.504,293.70, 67.22, 62.62, 64.92,
1984,31, 0.502,293.68, 65.92, 58.92, 62.42,
1984,32, 0.492,293.27, 61.86, 60.72, 61.29,
1984,33, 0.475,292.51, 57.08, 66.25, 61.67,
1984,34, 0.451,291.59, 50.91, 71.60, 61.26,
1984,35, 0.421,290.65, 43.98, 72.57, 58.27,
1984,36, 0.388,289.50, 40.07, 72.74, 56.40,
1984,37, 0.354,287.96, 39.02, 73.83, 56.42,
1984,38, 0.315,286.01, 37.95, 77.20, 57.58,
1984,39, 0.273,283.53, 35.87, 82.37, 59.12,
1984,40, 0.227,280.83, 29.86, 86.05, 57.96,
1984,41, 0.192,278.52, 27.87, 83.21, 55.54,
1984,42, 0.165,276.06, 29.65, 77.04, 53.35,
1984,43, 0.142,273.20, 29.64, 71.58, 50.61,
1984,44, 0.124,270.46, 30.33, 66.26, 48.29,
1984,45, 0.110,268.75, 30.54, 53.78, 42.16,
1984,46, 0.099,266.90, 30.27, 43.90, 37.08,
1984,47, 0.091,265.32, 29.32, 35.52, 32.42,
1984,48, 0.084,264.02, 27.92, 27.94, 27.93,
1984,49, 0.085,262.27, 32.44, 26.43, 29.43,
1984,50,-1.000, -1.00, -1.00, -1.00, -1.00,
1984,51,-1.000, -1.00, -1.00, -1.00, -1.00,
1984,52,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 1,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 2,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 3,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 4,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 5,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 6,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 7,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 8,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 9, 0.089,270.25, 43.53, 22.01, 32.77,
1985,10, 0.091,270.79, 44.38, 34.04, 39.21,
1985,11, 0.097,272.84, 47.19, 36.50, 41.85,
1985,12, 0.105,275.23, 51.05, 37.95, 44.50,
1985,13, 0.114,277.84, 54.08, 39.51, 46.79,
1985,14, 0.124,280.49, 54.79, 41.52, 48.15,
1985,15, 0.135,283.07, 54.12, 42.33, 48.23,
1985,16, 0.149,285.73, 54.00, 41.52, 47.76,
1985,17, 0.171,288.32, 56.38, 40.19, 48.29,
1985,18, 0.203,290.72, 63.65, 39.42, 51.54,
1985,19, 0.249,292.70, 72.77, 40.76, 56.76,
1985,20, 0.291,294.20, 74.04, 41.76, 57.90,
1985,21, 0.330,295.26, 73.86, 39.96, 56.91,
1985,22, 0.361,295.79, 71.39, 39.46, 55.42,
1985,23, 0.387,295.75, 68.27, 43.39, 55.83,
1985,24, 0.411,295.58, 65.98, 47.24, 56.61,
1985,25, 0.431,295.54, 63.97, 48.90, 56.44,
1985,26, 0.451,295.52, 63.11, 50.53, 56.82,
1985,27, 0.462,295.17, 59.11, 54.33, 56.72,
1985,28, 0.465,294.74, 52.96, 57.03, 54.99,
1985,29, 0.460,294.29, 46.27, 59.29, 52.78,
1985,30, 0.455,293.67, 41.79, 63.86, 52.83,
1985,31, 0.452,293.25, 40.51, 66.04, 53.28,
1985,32, 0.448,293.07, 39.62, 64.92, 52.27,
1985,33, 0.439,292.80, 38.38, 62.53, 50.45,
1985,34, 0.429,292.38, 38.85, 58.97, 48.91,
1985,35, 0.410,291.37, 37.76, 60.85, 49.30,
1985,36, 0.384,290.15, 36.96, 62.28, 49.62,
1985,37, 0.350,288.94, 36.38, 59.36, 47.87,
1985,38, 0.310,287.54, 34.43, 56.84, 45.63,
1985,39, 0.269,286.03, 32.79, 51.85, 42.32,
1985,40, 0.231,284.04, 31.81, 49.23, 40.52,
1985,41, 0.198,281.73, 31.22, 48.21, 39.71,
1985,42, 0.168,278.81, 30.22, 49.94, 40.08,
1985,43, 0.145,276.01, 30.43, 46.55, 38.49,
1985,44, 0.126,273.19, 30.49, 43.34, 36.91,
1985,45, 0.109,270.20, 27.79, 42.07, 34.93,
1985,46, 0.098,266.56, 26.15, 46.73, 36.44,
1985,47, 0.089,263.23, 25.15, 52.32, 38.74,
1985,48, 0.083,260.11, 24.22, 59.72, 41.97,
1985,49, 0.079,257.45, 23.18, 65.42, 44.30,
1985,50, 0.075,255.54, 20.08, 67.39, 43.73,
1985,51, 0.073,254.24, 19.20, 68.99, 44.10,
1985,52, 0.072,253.42, 18.25, 69.22, 43.73,
1986, 1, 0.072,253.19, 18.77, 73.71, 46.24,
1986, 2, 0.073,253.35, 21.83, 74.23, 48.03,
1986, 3, 0.074,253.76, 24.63, 75.30, 49.97,
1986, 4, 0.075,254.83, 27.23, 72.01, 49.62,
1986, 5, 0.075,256.64, 28.48, 65.08, 46.78,
1986, 6, 0.074,258.95, 27.84, 57.11, 42.47,
1986, 7, 0.073,261.17, 26.47, 52.79, 39.63,
1986, 8, 0.073,263.75, 25.74, 48.42, 37.08,
1986, 9, 0.073,266.30, 24.99, 46.18, 35.58,
1986,10, 0.072,268.79, 23.83, 45.04, 34.43,
1986,11, 0.076,271.53, 24.08, 43.13, 33.61,
1986,12, 0.083,274.26, 26.31, 42.68, 34.49,
1986,13, 0.092,276.51, 27.63, 47.07, 37.35,
1986,14, 0.102,279.00, 28.35, 50.87, 39.61,
1986,15, 0.116,281.63, 30.86, 52.36, 41.61,
1986,16, 0.133,284.13, 35.00, 54.28, 44.64,
1986,17, 0.153,286.80, 38.08, 53.80, 45.94,
1986,18, 0.174,289.33, 38.40, 53.04, 45.72,
1986,19, 0.203,291.64, 39.57, 51.56, 45.57,
1986,20, 0.241,293.73, 43.75, 46.52, 45.13,
1986,21, 0.288,295.42, 50.44, 38.52, 44.48,
1986,22, 0.337,296.46, 58.53, 32.77, 45.65,
1986,23, 0.377,297.05, 63.38, 30.84, 47.11,
1986,24, 0.409,297.38, 65.08, 30.26, 47.67,
1986,25, 0.430,296.86, 63.69, 35.81, 49.75,
1986,26, 0.443,295.93, 59.13, 45.81, 52.47,
1986,27, 0.454,295.41, 55.10, 51.06, 53.08,
1986,28, 0.462,294.95, 51.90, 53.74, 52.82,
1986,29, 0.465,294.41, 49.79, 56.82, 53.30,
1986,30, 0.467,294.02, 48.63, 58.34, 53.48,
1986,31, 0.469,293.78, 49.91, 57.86, 53.89,
1986,32, 0.466,293.47, 49.17, 58.45, 53.81,
1986,33, 0.460,293.34, 49.01, 53.83, 51.42,
1986,34, 0.443,293.11, 46.12, 47.14, 46.63,
1986,35, 0.421,292.49, 43.31, 42.42, 42.86,
1986,36, 0.390,291.76, 39.90, 37.37, 38.64,
1986,37, 0.350,290.67, 35.32, 34.85, 35.09,
1986,38, 0.308,289.24, 31.91, 34.28, 33.10,
1986,39, 0.270,287.47, 32.62, 33.58, 33.10,
1986,40, 0.235,285.25, 33.86, 34.43, 34.14,
1986,41, 0.201,282.50, 33.65, 39.17, 36.41,
1986,42, 0.170,279.26, 31.97, 45.00, 38.49,
1986,43, 0.148,276.10, 33.46, 45.42, 39.44,
1986,44, 0.129,272.85, 33.99, 45.99, 39.99,
1986,45, 0.112,269.80, 32.01, 45.64, 38.82,
1986,46, 0.100,266.98, 29.85, 44.08, 36.96,
1986,47, 0.089,264.50, 26.76, 43.46, 35.11,
1986,48, 0.083,262.22, 25.58, 44.54, 35.06,
1986,49, 0.078,260.17, 23.91, 45.59, 34.75,
1986,50, 0.076,258.00, 22.32, 49.66, 35.99,
1986,51, 0.077,255.89, 25.13, 57.61, 41.37,
1986,52, 0.079,254.16, 29.03, 65.41, 47.22,
1987, 1, 0.080,253.25, 31.03, 75.14, 53.09,
1987, 2, 0.080,253.27, 31.39, 76.74, 54.07,
1987, 3, 0.080,253.97, 32.44, 74.65, 53.55,
1987, 4, 0.081,255.16, 33.89, 69.85, 51.87,
1987, 5, 0.082,256.52, 36.54, 66.67, 51.60,
1987, 6, 0.083,258.09, 38.58, 65.37, 51.98,
1987, 7, 0.083,259.80, 38.10, 65.51, 51.81,
1987, 8, 0.084,261.63, 38.21, 67.25, 52.73,
1987, 9, 0.086,263.78, 40.41, 66.78, 53.59,
1987,10, 0.087,266.24, 40.40, 64.63, 52.52,
1987,11, 0.089,268.98, 39.16, 61.65, 50.41,
1987,12, 0.092,271.84, 36.69, 59.54, 48.12,
1987,13, 0.096,274.32, 33.23, 62.10, 47.66,
1987,14, 0.100,276.78, 27.03, 66.36, 46.69,
1987,15, 0.106,279.40, 21.28, 68.82, 45.05,
1987,16, 0.117,282.07, 19.30, 70.40, 44.85,
1987,17, 0.130,284.64, 18.26, 71.47, 44.86,
1987,18, 0.147,287.08, 16.87, 71.81, 44.34,
1987,19, 0.171,289.43, 17.11, 70.77, 43.94,
1987,20, 0.201,291.61, 19.55, 65.14, 42.34,
