Mean data for CHN  Province= 12: Henan,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.095,282.11, 25.12, 36.60, 30.86,
1982, 2, 0.089,281.40, 22.26, 42.52, 32.39,
1982, 3, 0.084,281.59, 20.28, 39.94, 30.11,
1982, 4, 0.078,281.37, 16.39, 45.86, 31.13,
1982, 5, 0.075,281.17, 14.58, 53.13, 33.85,
1982, 6, 0.075,281.48, 12.48, 60.27, 36.37,
1982, 7, 0.082,283.09, 11.38, 60.06, 35.72,
1982, 8, 0.098,285.59, 14.16, 52.30, 33.23,
1982, 9, 0.117,287.90, 18.60, 43.30, 30.95,
1982,10, 0.137,289.80, 23.81, 35.53, 29.67,
1982,11, 0.159,291.78, 28.54, 27.08, 27.81,
1982,12, 0.181,293.41, 30.74, 22.63, 26.68,
1982,13, 0.201,294.75, 31.25, 21.32, 26.28,
1982,14, 0.217,295.30, 29.65, 26.39, 28.02,
1982,15, 0.230,296.18, 26.85, 27.83, 27.34,
1982,16, 0.241,297.30, 24.56, 26.66, 25.61,
1982,17, 0.249,298.18, 23.64, 26.83, 25.23,
1982,18, 0.255,298.94, 25.54, 26.77, 26.15,
1982,19, 0.251,299.46, 25.26, 29.00, 27.13,
1982,20, 0.242,300.02, 23.69, 31.73, 27.71,
1982,21, 0.230,300.70, 22.76, 31.97, 27.37,
1982,22, 0.215,300.76, 19.89, 37.94, 28.92,
1982,23, 0.209,301.11, 20.76, 39.63, 30.19,
1982,24, 0.211,301.45, 22.47, 38.38, 30.43,
1982,25, 0.214,301.13, 22.70, 41.92, 32.31,
1982,26, 0.221,300.56, 23.35, 45.09, 34.22,
1982,27, 0.231,299.74, 23.52, 48.17, 35.85,
1982,28, 0.241,298.57, 22.93, 55.80, 39.36,
1982,29, 0.260,297.79, 25.52, 60.22, 42.87,
1982,30, 0.287,297.67, 31.73, 58.87, 45.30,
1982,31, 0.307,297.54, 35.14, 58.90, 47.02,
1982,32, 0.318,297.19, 36.69, 61.81, 49.25,
1982,33, 0.316,296.69, 36.52, 67.33, 51.92,
1982,34, 0.310,296.32, 37.00, 70.91, 53.95,
1982,35, 0.298,295.76, 37.48, 70.77, 54.12,
1982,36, 0.283,295.65, 36.26, 68.32, 52.29,
1982,37, 0.269,295.82, 38.03, 61.93, 49.98,
1982,38, 0.255,296.02, 43.20, 55.90, 49.55,
1982,39, 0.239,296.14, 49.59, 48.52, 49.06,
1982,40, 0.222,295.92, 54.77, 43.03, 48.90,
1982,41, 0.204,295.02, 56.76, 43.43, 50.09,
1982,42, 0.190,294.20, 59.22, 39.32, 49.27,
1982,43, 0.177,293.15, 59.62, 36.86, 48.24,
1982,44, 0.164,291.88, 55.29, 36.95, 46.12,
1982,45, 0.158,290.14, 53.85, 41.10, 47.48,
1982,46, 0.154,287.98, 51.63, 48.76, 50.20,
1982,47, 0.153,285.87, 50.50, 54.63, 52.57,
1982,48, 0.151,284.03, 49.56, 57.36, 53.46,
1982,49, 0.148,282.56, 47.64, 59.59, 53.61,
1982,50, 0.143,281.46, 44.20, 62.19, 53.20,
1982,51, 0.140,280.65, 43.47, 60.05, 51.76,
1982,52, 0.136,280.26, 42.88, 56.34, 49.61,
1983, 1, 0.133,280.00, 41.50, 61.59, 51.55,
1983, 2, 0.133,280.06, 42.41, 56.27, 49.34,
1983, 3, 0.132,280.73, 43.77, 47.28, 45.53,
1983, 4, 0.133,281.74, 45.18, 41.98, 43.58,
1983, 5, 0.134,282.62, 45.18, 40.92, 43.05,
1983, 6, 0.135,283.30, 44.53, 45.66, 45.09,
1983, 7, 0.140,283.97, 43.01, 53.47, 48.24,
1983, 8, 0.147,284.82, 42.08, 61.18, 51.63,
1983, 9, 0.157,286.03, 41.36, 63.89, 52.63,
1983,10, 0.167,287.94, 39.86, 55.99, 47.92,
1983,11, 0.175,289.36, 36.17, 53.02, 44.60,
1983,12, 0.187,290.63, 32.67, 51.19, 41.93,
1983,13, 0.201,291.44, 29.69, 55.52, 42.60,
1983,14, 0.214,291.98, 26.61, 62.69, 44.65,
1983,15, 0.226,292.77, 23.10, 65.41, 44.26,
1983,16, 0.237,293.88, 21.13, 63.97, 42.55,
1983,17, 0.246,294.88, 20.87, 64.68, 42.78,
1983,18, 0.247,295.43, 20.71, 67.18, 43.95,
1983,19, 0.242,295.96, 20.82, 67.91, 44.37,
1983,20, 0.241,297.28, 23.39, 61.89, 42.64,
1983,21, 0.232,297.98, 23.22, 62.01, 42.61,
1983,22, 0.224,298.31, 24.70, 64.88, 44.79,
1983,23, 0.221,298.67, 28.06, 66.40, 47.23,
1983,24, 0.222,298.43, 30.75, 70.28, 50.51,
1983,25, 0.225,297.66, 31.53, 75.96, 53.74,
1983,26, 0.237,296.98, 35.16, 77.93, 56.54,
1983,27, 0.261,296.85, 42.38, 74.42, 58.40,
1983,28, 0.289,297.26, 48.49, 67.67, 58.08,
1983,29, 0.315,297.52, 53.11, 61.15, 57.13,
1983,30, 0.336,297.37, 55.60, 59.36, 57.48,
1983,31, 0.352,296.87, 57.17, 63.18, 60.18,
1983,32, 0.366,296.85, 60.66, 63.15, 61.91,
1983,33, 0.377,297.63, 66.70, 53.08, 59.89,
1983,34, 0.374,297.76, 68.79, 51.53, 60.16,
1983,35, 0.363,297.48, 70.67, 50.21, 60.44,
1983,36, 0.349,297.51, 71.22, 46.36, 58.79,
1983,37, 0.330,297.48, 71.91, 42.53, 57.22,
1983,38, 0.293,296.29, 65.80, 52.73, 59.27,
1983,39, 0.258,295.09, 61.30, 60.82, 61.06,
1983,40, 0.232,294.14, 60.74, 64.01, 62.38,
1983,41, 0.207,292.82, 58.70, 69.61, 64.15,
1983,42, 0.185,291.36, 54.64, 72.65, 63.64,
1983,43, 0.166,289.73, 50.43, 77.04, 63.73,
1983,44, 0.152,288.09, 45.22, 82.16, 63.69,
1983,45, 0.143,287.01, 42.88, 80.87, 61.87,
1983,46, 0.137,286.32, 42.09, 70.63, 56.36,
1983,47, 0.131,285.60, 39.00, 58.58, 48.79,
1983,48, 0.123,284.44, 35.93, 52.25, 44.09,
1983,49, 0.118,283.37, 34.12, 49.79, 41.96,
