Mean data for CHN  Province= 14: Hunan,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.124,284.28, 55.07, 21.38, 38.22,
1982, 2, 0.106,282.87, 49.99, 28.39, 39.19,
1982, 3, 0.088,281.62, 40.39, 35.68, 38.04,
1982, 4, 0.065,280.00, 27.07, 48.34, 37.71,
1982, 5, 0.050,278.76, 20.11, 58.34, 39.23,
1982, 6, 0.043,278.01, 17.45, 63.17, 40.31,
1982, 7, 0.042,278.38, 15.82, 64.14, 39.98,
1982, 8, 0.052,280.64, 21.16, 56.93, 39.04,
1982, 9, 0.063,282.30, 26.31, 52.62, 39.47,
1982,10, 0.069,283.71, 27.38, 48.57, 37.97,
1982,11, 0.082,285.22, 31.61, 42.53, 37.07,
1982,12, 0.097,286.50, 35.41, 39.41, 37.41,
1982,13, 0.111,287.80, 38.51, 36.61, 37.56,
1982,14, 0.121,288.50, 39.42, 36.33, 37.88,
1982,15, 0.131,288.97, 38.32, 37.86, 38.09,
1982,16, 0.152,290.29, 40.51, 35.72, 38.11,
1982,17, 0.174,291.77, 42.55, 32.02, 37.29,
1982,18, 0.187,292.65, 41.07, 29.76, 35.42,
1982,19, 0.194,292.75, 36.62, 33.10, 34.86,
1982,20, 0.197,292.50, 30.04, 37.86, 33.95,
1982,21, 0.199,292.04, 23.91, 44.47, 34.19,
1982,22, 0.189,289.27, 15.89, 64.21, 40.05,
1982,23, 0.184,287.61, 12.00, 73.19, 42.59,
1982,24, 0.193,287.58, 12.20, 73.08, 42.64,
1982,25, 0.209,288.15, 14.22, 70.64, 42.43,
1982,26, 0.224,288.85, 16.73, 67.50, 42.11,
1982,27, 0.236,289.44, 18.34, 66.21, 42.28,
1982,28, 0.245,290.00, 18.24, 67.81, 43.03,
1982,29, 0.253,290.62, 17.66, 72.28, 44.97,
1982,30, 0.248,290.19, 15.05, 80.94, 48.00,
1982,31, 0.246,290.37, 14.55, 82.12, 48.34,
1982,32, 0.247,291.02, 14.18, 80.54, 47.36,
1982,33, 0.243,290.98, 12.54, 83.47, 48.00,
1982,34, 0.238,290.88, 12.68, 84.95, 48.81,
1982,35, 0.225,290.24, 11.84, 87.24, 49.54,
1982,36, 0.220,290.09, 12.87, 88.88, 50.88,
1982,37, 0.225,290.80, 17.74, 85.52, 51.63,
1982,38, 0.235,291.52, 27.17, 74.96, 51.06,
1982,39, 0.239,291.85, 37.89, 60.57, 49.23,
1982,40, 0.234,291.69, 44.25, 52.28, 48.27,
1982,41, 0.231,291.64, 50.23, 45.76, 47.99,
1982,42, 0.217,290.89, 50.26, 44.86, 47.56,
1982,43, 0.196,288.79, 44.87, 60.08, 52.48,
1982,44, 0.181,287.78, 41.34, 62.12, 51.73,
1982,45, 0.164,287.29, 36.74, 55.12, 45.93,
1982,46, 0.149,286.25, 33.71, 51.42, 42.57,
1982,47, 0.136,285.25, 31.25, 47.50, 39.38,
1982,48, 0.130,284.65, 32.41, 44.86, 38.64,
1982,49, 0.125,283.99, 35.43, 44.86, 40.15,
1982,50, 0.123,283.31, 37.17, 42.22, 39.70,
1982,51, 0.121,282.53, 39.16, 41.21, 40.19,
1982,52, 0.112,281.64, 40.63, 40.34, 40.49,
1983, 1, 0.090,279.80, 34.23, 51.45, 42.84,
1983, 2, 0.077,278.62, 29.65, 55.22, 42.43,
1983, 3, 0.070,278.64, 27.72, 53.09, 40.41,
1983, 4, 0.071,278.83, 32.58, 53.92, 43.25,
1983, 5, 0.072,279.53, 36.72, 51.74, 44.23,
1983, 6, 0.071,280.24, 38.59, 48.60, 43.60,
1983, 7, 0.066,279.84, 33.43, 54.67, 44.05,
1983, 8, 0.063,279.94, 28.67, 59.18, 43.93,
1983, 9, 0.063,280.25, 26.41, 61.88, 44.14,
1983,10, 0.072,281.60, 28.46, 58.52, 43.49,
1983,11, 0.083,283.60, 31.27, 50.45, 40.86,
1983,12, 0.092,285.19, 32.02, 45.64, 38.83,
1983,13, 0.100,286.70, 31.72, 42.10, 36.91,
1983,14, 0.104,286.86, 29.88, 45.76, 37.82,
1983,15, 0.116,287.70, 29.87, 46.37, 38.12,
1983,16, 0.134,289.12, 30.55, 44.04, 37.30,
