Mean data for CHN  Province= 17: Jilin,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.121,264.61, 75.88, 26.05, 50.96,
1982, 2, 0.120,264.66, 75.40, 27.57, 51.49,
1982, 3, 0.120,265.18, 75.04, 27.77, 51.41,
1982, 4, 0.121,266.31, 74.10, 26.81, 50.46,
1982, 5, 0.121,267.96, 72.26, 24.64, 48.45,
1982, 6, 0.121,269.80, 70.39, 22.24, 46.32,
1982, 7, 0.123,271.85, 70.65, 20.25, 45.45,
1982, 8, 0.125,273.83, 69.67, 21.75, 45.71,
1982, 9, 0.125,275.67, 67.88, 25.26, 46.57,
1982,10, 0.127,277.59, 66.87, 27.49, 47.18,
1982,11, 0.129,279.47, 63.27, 30.43, 46.85,
1982,12, 0.130,281.17, 55.58, 35.35, 45.47,
1982,13, 0.133,283.44, 50.82, 36.38, 43.60,
1982,14, 0.139,286.28, 47.74, 34.01, 40.88,
1982,15, 0.145,288.40, 43.28, 35.40, 39.34,
1982,16, 0.155,289.98, 40.61, 39.75, 40.18,
1982,17, 0.169,291.28, 37.57, 44.91, 41.24,
1982,18, 0.187,292.37, 36.27, 51.58, 43.93,
1982,19, 0.213,293.50, 38.86, 57.85, 48.35,
1982,20, 0.247,295.14, 45.92, 53.87, 49.89,
1982,21, 0.285,296.83, 53.32, 43.68, 48.50,
1982,22, 0.320,297.98, 57.91, 35.74, 46.83,
1982,23, 0.350,298.79, 61.09, 30.38, 45.74,
1982,24, 0.376,299.34, 60.94, 27.11, 44.03,
1982,25, 0.390,299.09, 55.90, 29.14, 42.52,
1982,26, 0.402,299.00, 51.98, 28.00, 39.99,
1982,27, 0.415,299.08, 50.37, 24.58, 37.47,
1982,28, 0.423,298.59, 47.19, 26.42, 36.81,
1982,29, 0.432,298.08, 45.75, 26.40, 36.07,
1982,30, 0.443,297.50, 45.47, 29.54, 37.51,
1982,31, 0.451,296.81, 44.71, 32.20, 38.45,
1982,32, 0.458,296.36, 45.45, 33.28, 39.36,
1982,33, 0.458,295.97, 46.26, 33.22, 39.74,
1982,34, 0.455,295.36, 46.61, 34.62, 40.61,
1982,35, 0.445,294.37, 47.76, 39.09, 43.42,
1982,36, 0.428,293.34, 48.55, 44.23, 46.39,
1982,37, 0.404,292.72, 50.10, 39.75, 44.92,
1982,38, 0.368,292.05, 48.31, 32.28, 40.29,
1982,39, 0.326,290.99, 46.22, 26.60, 36.41,
1982,40, 0.282,289.32, 44.33, 24.64, 34.49,
1982,41, 0.244,287.04, 45.31, 26.15, 35.73,
1982,42, 0.212,283.89, 47.07, 35.41, 41.24,
1982,43, 0.187,280.64, 51.58, 43.27, 47.43,
1982,44, 0.163,277.60, 50.95, 47.77, 49.36,
1982,45, 0.143,274.77, 47.88, 49.31, 48.60,
1982,46, 0.127,272.04, 45.82, 48.06, 46.94,
1982,47, 0.115,269.40, 44.20, 49.74, 46.97,
1982,48, 0.108,266.83, 44.23, 54.91, 49.57,
1982,49, 0.100,264.60, 41.75, 57.64, 49.69,
1982,50, 0.094,263.17, 35.75, 54.10, 44.93,
1982,51, 0.088,261.97, 31.77, 54.94, 43.36,
1982,52, 0.084,260.86, 28.17, 57.77, 42.97,
1983, 1, 0.082,260.31, 24.50, 63.46, 43.98,
1983, 2, 0.081,260.57, 23.44, 63.79, 43.62,
1983, 3, 0.081,261.13, 24.53, 64.55, 44.54,
1983, 4, 0.082,261.65, 25.87, 69.65, 47.76,
1983, 5, 0.083,262.79, 26.54, 71.41, 48.98,
1983, 6, 0.085,264.44, 27.64, 69.99, 48.82,
1983, 7, 0.087,266.24, 28.49, 69.15, 48.82,
1983, 8, 0.089,268.53, 28.52, 65.95, 47.24,
1983, 9, 0.091,271.16, 28.91, 60.87, 44.89,
1983,10, 0.093,274.06, 28.36, 54.73, 41.55,
1983,11, 0.096,277.30, 26.77, 46.90, 36.84,
1983,12, 0.102,280.28, 25.34, 41.91, 33.62,
1983,13, 0.111,283.20, 25.95, 38.39, 32.17,
1983,14, 0.121,286.04, 27.66, 36.09, 31.88,
1983,15, 0.132,288.38, 27.61, 35.65, 31.63,
1983,16, 0.144,289.82, 25.96, 41.21, 33.59,
1983,17, 0.160,290.91, 25.07, 48.55, 36.81,
1983,18, 0.184,292.20, 27.23, 53.89, 40.56,
1983,19, 0.212,293.26, 29.36, 61.03, 45.20,
1983,20, 0.243,293.69, 33.35, 69.15, 51.25,
1983,21, 0.272,293.97, 37.46, 73.15, 55.30,
1983,22, 0.299,294.35, 41.69, 73.70, 57.69,
1983,23, 0.320,294.41, 41.62, 77.40, 59.51,
1983,24, 0.333,294.12, 36.97, 82.49, 59.73,
1983,25, 0.349,293.81, 34.84, 85.14, 59.99,
1983,26, 0.373,294.04, 38.84, 83.76, 61.30,
1983,27, 0.390,294.01, 39.45, 81.83, 60.64,
