Mean data for IDN  Province= 11: Jawa Tengah,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.180,276.93, 43.12, 38.66, 40.89,
1982, 2, 0.177,276.67, 41.80, 37.04, 39.42,
1982, 3, 0.170,275.27, 40.41, 38.27, 39.34,
1982, 4, 0.179,276.51, 43.02, 34.52, 38.77,
1982, 5, 0.190,278.36, 45.84, 30.59, 38.22,
1982, 6, 0.195,279.14, 47.20, 28.97, 38.08,
1982, 7, 0.197,279.26, 46.61, 30.69, 38.65,
1982, 8, 0.200,279.53, 46.24, 32.95, 39.59,
1982, 9, 0.211,281.15, 47.64, 32.02, 39.83,
1982,10, 0.220,282.54, 47.87, 31.65, 39.76,
1982,11, 0.226,283.01, 47.39, 32.78, 40.09,
1982,12, 0.238,284.16, 50.49, 31.58, 41.03,
1982,13, 0.251,285.43, 54.07, 30.95, 42.51,
1982,14, 0.263,286.94, 57.27, 29.42, 43.34,
1982,15, 0.273,288.26, 59.25, 27.07, 43.16,
1982,16, 0.285,289.46, 62.55, 25.57, 44.06,
1982,17, 0.305,291.83, 67.12, 18.47, 42.79,
1982,18, 0.318,293.81, 68.34, 12.99, 40.66,
1982,19, 0.318,294.64, 63.70, 13.83, 38.77,
1982,20, 0.312,295.09, 56.15, 15.89, 36.02,
1982,21, 0.303,295.55, 47.58, 17.55, 32.56,
1982,22, 0.295,296.18, 39.65, 17.62, 28.63,
1982,23, 0.288,296.40, 34.14, 21.74, 27.94,
1982,24, 0.286,296.74, 30.91, 24.50, 27.71,
1982,25, 0.285,297.32, 29.30, 22.31, 25.81,
1982,26, 0.279,297.61, 26.94, 22.74, 24.84,
1982,27, 0.267,297.78, 23.14, 24.27, 23.71,
1982,28, 0.257,297.93, 20.99, 25.33, 23.16,
1982,29, 0.253,298.36, 22.18, 23.17, 22.67,
1982,30, 0.252,298.90, 24.13, 20.65, 22.39,
1982,31, 0.251,299.42, 25.90, 20.39, 23.14,
1982,32, 0.246,299.68, 26.71, 22.68, 24.69,
1982,33, 0.241,300.24, 28.74, 21.16, 24.95,
1982,34, 0.234,300.92, 30.28, 17.90, 24.09,
1982,35, 0.223,301.28, 29.55, 17.16, 23.35,
1982,36, 0.214,301.61, 29.92, 16.12, 23.02,
1982,37, 0.200,301.47, 27.97, 17.22, 22.60,
1982,38, 0.183,300.96, 24.53, 18.54, 21.53,
1982,39, 0.168,300.39, 21.78, 19.28, 20.53,
1982,40, 0.153,299.88, 19.26, 18.31, 18.78,
1982,41, 0.142,299.38, 18.93, 15.86, 17.40,
1982,42, 0.134,298.81, 18.88, 13.17, 16.02,
1982,43, 0.127,297.84, 19.28, 11.75, 15.52,
1982,44, 0.121,296.56, 19.57, 11.65, 15.61,
1982,45, 0.118,294.81, 20.34, 12.38, 16.36,
1982,46, 0.117,292.65, 20.94, 14.25, 17.60,
1982,47, 0.115,290.28, 20.73, 16.70, 18.72,
1982,48, 0.114,287.44, 20.93, 18.80, 19.86,
1982,49, 0.115,284.01, 21.84, 21.69, 21.77,
1982,50, 0.115,280.23, 20.74, 31.73, 26.23,
1982,51, 0.113,276.60, 18.71, 38.60, 28.66,
1982,52, 0.116,274.45, 18.53, 42.61, 30.57,
1983, 1, 0.128,274.96, 20.28, 42.32, 31.30,
1983, 2, 0.144,276.63, 26.83, 36.27, 31.55,
1983, 3, 0.163,278.95, 34.81, 28.35, 31.58,
1983, 4, 0.187,281.32, 43.12, 22.18, 32.65,
1983, 5, 0.206,282.56, 48.59, 19.42, 34.01,
1983, 6, 0.221,283.22, 53.86, 17.39, 35.63,
1983, 7, 0.225,282.33, 53.94, 20.73, 37.34,
1983, 8, 0.227,281.96, 53.79, 23.60, 38.70,
1983, 9, 0.228,282.13, 52.26, 25.54, 38.90,
1983,10, 0.226,281.86, 48.46, 30.00, 39.23,
1983,11, 0.221,281.19, 44.41, 35.19, 39.80,
1983,12, 0.214,280.54, 39.44, 41.58, 40.51,
1983,13, 0.209,280.59, 35.25, 47.64, 41.44,
1983,14, 0.203,281.02, 30.38, 55.51, 42.95,
1983,15, 0.195,281.40, 24.67, 64.33, 44.50,
1983,16, 0.191,281.94, 20.48, 69.21, 44.84,
1983,17, 0.196,283.31, 18.03, 71.85, 44.94,
