Mean data for IDN  Province= 12: Jawa Timur,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.179,275.88, 42.50, 42.46, 42.48,
1982, 2, 0.183,276.11, 44.05, 38.81, 41.43,
1982, 3, 0.190,276.54, 46.32, 36.25, 41.28,
1982, 4, 0.205,278.29, 49.95, 32.02, 40.99,
1982, 5, 0.222,280.33, 53.78, 27.65, 40.71,
1982, 6, 0.229,281.09, 55.34, 26.31, 40.83,
1982, 7, 0.231,281.34, 54.23, 27.96, 41.10,
1982, 8, 0.234,281.50, 53.47, 29.92, 41.70,
1982, 9, 0.244,282.83, 55.15, 28.24, 41.70,
1982,10, 0.257,284.42, 57.03, 25.71, 41.37,
1982,11, 0.269,285.66, 58.70, 24.32, 41.51,
1982,12, 0.284,287.18, 62.24, 22.62, 42.43,
1982,13, 0.299,288.56, 65.86, 22.23, 44.05,
1982,14, 0.316,290.23, 69.91, 20.67, 45.29,
1982,15, 0.331,291.86, 73.19, 17.92, 45.55,
1982,16, 0.346,292.97, 76.51, 16.22, 46.36,
1982,17, 0.362,294.36, 79.40, 13.12, 46.26,
1982,18, 0.369,295.41, 79.30, 11.00, 45.15,
1982,19, 0.365,295.75, 75.08, 12.43, 43.75,
1982,20, 0.355,295.97, 67.61, 14.84, 41.22,
1982,21, 0.347,296.33, 61.40, 16.51, 38.96,
1982,22, 0.339,296.72, 55.45, 17.45, 36.45,
1982,23, 0.332,296.99, 50.09, 20.45, 35.27,
1982,24, 0.327,297.40, 45.94, 21.23, 33.59,
1982,25, 0.321,297.89, 42.66, 19.30, 30.98,
1982,26, 0.311,298.22, 38.44, 19.55, 29.00,
1982,27, 0.296,298.31, 33.04, 21.97, 27.51,
1982,28, 0.283,298.42, 29.44, 23.45, 26.45,
1982,29, 0.277,298.87, 29.11, 21.31, 25.21,
1982,30, 0.273,299.32, 29.45, 19.44, 24.44,
1982,31, 0.267,299.62, 28.98, 20.29, 24.64,
1982,32, 0.258,299.72, 27.71, 23.51, 25.61,
1982,33, 0.251,300.05, 28.04, 23.38, 25.71,
1982,34, 0.245,300.46, 29.28, 22.78, 26.03,
1982,35, 0.238,300.71, 29.22, 23.87, 26.55,
1982,36, 0.231,301.05, 30.06, 22.91, 26.48,
1982,37, 0.222,301.17, 29.79, 22.79, 26.29,
1982,38, 0.214,301.23, 29.45, 22.24, 25.84,
1982,39, 0.205,301.11, 28.87, 21.97, 25.42,
1982,40, 0.194,300.88, 28.84, 20.44, 24.64,
1982,41, 0.186,300.81, 30.33, 16.92, 23.63,
1982,42, 0.178,300.18, 30.03, 14.89, 22.46,
1982,43, 0.169,299.29, 30.26, 13.78, 22.02,
1982,44, 0.161,298.57, 29.54, 12.56, 21.05,
1982,45, 0.150,296.90, 28.21, 13.19, 20.70,
1982,46, 0.141,294.67, 26.45, 15.46, 20.95,
1982,47, 0.132,292.22, 24.15, 18.33, 21.24,
1982,48, 0.125,289.21, 22.28, 20.57, 21.43,
1982,49, 0.122,285.69, 21.84, 24.24, 23.04,
1982,50, 0.117,281.25, 18.62, 34.04, 26.33,
1982,51, 0.114,277.69, 17.17, 40.24, 28.71,
1982,52, 0.123,276.66, 19.69, 40.44, 30.07,
1983, 1, 0.140,277.64, 23.95, 37.28, 30.62,
1983, 2, 0.161,279.42, 33.35, 30.19, 31.77,
1983, 3, 0.182,280.97, 41.43, 25.45, 33.44,
1983, 4, 0.207,282.87, 48.30, 21.29, 34.80,
1983, 5, 0.225,284.40, 52.52, 17.75, 35.14,
1983, 6, 0.236,284.86, 55.25, 16.68, 35.96,
1983, 7, 0.240,284.90, 55.32, 17.90, 36.61,
1983, 8, 0.244,285.23, 55.07, 18.77, 36.92,
1983, 9, 0.244,285.55, 53.56, 19.11, 36.34,
1983,10, 0.241,285.84, 50.69, 20.50, 35.60,
1983,11, 0.229,285.05, 44.47, 25.27, 34.87,
1983,12, 0.216,284.24, 37.53, 31.14, 34.34,
1983,13, 0.203,283.59, 30.33, 38.19, 34.26,
1983,14, 0.186,282.47, 20.50, 49.60, 35.05,
1983,15, 0.173,281.68, 13.14, 62.03, 37.58,
1983,16, 0.167,281.30,  9.73, 71.69, 40.71,
1983,17, 0.171,281.80,  8.41, 78.88, 43.65,
1983,18, 0.180,282.60,  8.70, 84.28, 46.49,
1983,19, 0.198,284.04, 11.20, 85.33, 48.26,
1983,20, 0.222,286.07, 17.24, 81.74, 49.49,
1983,21, 0.248,288.02, 24.85, 77.74, 51.30,
1983,22, 0.270,289.65, 31.88, 76.71, 54.30,
1983,23, 0.294,291.42, 40.31, 72.58, 56.44,
1983,24, 0.313,292.70, 47.57, 69.82, 58.69,
1983,25, 0.327,293.84, 53.48, 65.14, 59.31,
1983,26, 0.334,294.66, 57.92, 62.34, 60.13,
1983,27, 0.333,294.96, 58.29, 63.22, 60.76,
1983,28, 0.331,295.53, 59.66, 59.60, 59.63,
