Mean data for IND  Province= 5: Bihar,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.215,296.11, 55.10, 37.06, 46.08,
1982, 2, 0.219,296.32, 47.82, 34.71, 41.26,
1982, 3, 0.224,296.45, 40.75, 38.15, 39.45,
1982, 4, 0.231,296.71, 35.72, 43.28, 39.50,
1982, 5, 0.237,297.30, 30.93, 44.68, 37.81,
1982, 6, 0.240,297.91, 26.20, 48.01, 37.10,
1982, 7, 0.239,298.58, 21.97, 53.88, 37.93,
1982, 8, 0.236,299.56, 19.77, 57.45, 38.61,
1982, 9, 0.229,300.71, 18.92, 58.75, 38.84,
1982,10, 0.217,302.04, 19.50, 57.27, 38.38,
1982,11, 0.203,303.62, 21.41, 52.43, 36.92,
1982,12, 0.189,305.08, 24.15, 49.28, 36.72,
1982,13, 0.175,306.27, 27.31, 49.86, 38.58,
1982,14, 0.161,307.21, 29.55, 49.01, 39.28,
1982,15, 0.149,307.76, 33.35, 52.48, 42.92,
1982,16, 0.137,307.80, 30.83, 53.90, 42.36,
1982,17, 0.128,307.71, 28.94, 51.51, 40.22,
1982,18, 0.123,307.82, 28.96, 43.55, 36.26,
1982,19, 0.119,307.68, 27.44, 34.61, 31.02,
1982,20, 0.116,306.83, 27.78, 39.23, 33.51,
1982,21, 0.114,305.23, 27.96, 39.44, 33.70,
1982,22, 0.116,303.07, 29.99, 41.75, 35.87,
1982,23, 0.119,300.52, 33.29, 43.19, 38.24,
1982,24, 0.124,298.74, 37.91, 38.01, 37.96,
1982,25, 0.131,297.66, 43.31, 29.61, 36.46,
1982,26, 0.137,296.48, 47.54, 21.23, 34.38,
1982,27, 0.141,295.44, 49.71, 15.35, 32.53,
1982,28, 0.145,294.41, 50.19, 13.74, 31.97,
1982,29, 0.151,293.61, 50.81, 13.44, 32.13,
1982,30, 0.160,292.94, 51.90, 14.12, 33.01,
1982,31, 0.172,293.07, 52.66, 13.13, 32.90,
1982,32, 0.181,293.16, 50.35, 14.16, 32.26,
1982,33, 0.193,293.43, 48.42, 15.59, 32.01,
1982,34, 0.206,293.73, 46.23, 17.09, 31.66,
1982,35, 0.221,294.29, 44.67, 17.71, 31.19,
1982,36, 0.239,294.93, 44.68, 19.44, 32.06,
1982,37, 0.258,296.07, 45.78, 17.76, 31.77,
1982,38, 0.272,297.57, 45.14, 14.21, 29.67,
1982,39, 0.280,298.36, 43.27, 14.03, 28.65,
1982,40, 0.285,298.70, 41.62, 17.43, 29.52,
1982,41, 0.286,298.92, 40.18, 24.36, 32.27,
1982,42, 0.284,299.02, 40.05, 30.07, 35.06,
1982,43, 0.274,298.90, 39.36, 38.38, 38.87,
1982,44, 0.258,298.83, 37.38, 44.45, 40.92,
1982,45, 0.236,298.53, 33.00, 51.06, 42.03,
1982,46, 0.220,298.24, 34.32, 52.92, 43.62,
1982,47, 0.207,298.08, 39.01, 49.48, 44.24,
1982,48, 0.198,297.71, 44.65, 48.69, 46.67,
1982,49, 0.191,297.51, 49.08, 44.10, 46.59,
1982,50, 0.186,297.24, 48.47, 30.88, 39.68,
1982,51, 0.183,296.92, 46.92, 29.52, 38.22,
1982,52, 0.182,296.78, 41.90, 27.72, 34.81,
1983, 1, 0.188,296.69, 28.41, 29.38, 28.90,
1983, 2, 0.196,296.65, 27.07, 31.33, 29.20,
1983, 3, 0.207,296.81, 25.96, 33.43, 29.69,
1983, 4, 0.217,297.18, 24.21, 35.30, 29.76,
1983, 5, 0.228,297.62, 23.62, 39.29, 31.45,
1983, 6, 0.237,298.28, 23.96, 42.01, 32.98,
1983, 7, 0.241,298.96, 23.03, 48.60, 35.82,
1983, 8, 0.238,299.78, 21.13, 55.80, 38.47,
1983, 9, 0.229,300.73, 19.15, 60.75, 39.95,
1983,10, 0.213,301.89, 16.52, 62.06, 39.29,
1983,11, 0.195,302.99, 14.33, 65.26, 39.79,
1983,12, 0.175,303.70, 11.52, 73.24, 42.38,
1983,13, 0.155,304.32,  8.55, 79.88, 44.22,
1983,14, 0.139,304.74,  7.54, 84.47, 46.00,
1983,15, 0.129,304.95, 12.52, 87.49, 50.01,
1983,16, 0.122,305.01, 14.26, 87.90, 51.08,
1983,17, 0.118,304.71, 17.99, 87.55, 52.77,
1983,18, 0.119,304.27, 23.36, 84.49, 53.93,
1983,19, 0.122,303.97, 29.42, 75.46, 52.44,
1983,20, 0.127,303.64, 37.03, 67.77, 52.40,
1983,21, 0.134,303.60, 43.80, 54.46, 49.13,
1983,22, 0.139,303.13, 47.87, 41.99, 44.93,
1983,23, 0.140,302.01, 48.45, 32.15, 40.30,
1983,24, 0.137,300.55, 47.16, 25.81, 36.49,
1983,25, 0.138,298.97, 47.99, 21.60, 34.80,
1983,26, 0.142,297.45, 51.00, 15.21, 33.11,
1983,27, 0.145,295.60, 52.24, 13.55, 32.89,
1983,28, 0.149,294.14, 53.24, 13.72, 33.48,
1983,29, 0.157,293.33, 55.39, 13.69, 34.54,
1983,30, 0.165,292.57, 56.57, 15.20, 35.88,
1983,31, 0.171,291.66, 53.66, 19.66, 36.66,
1983,32, 0.182,291.46, 52.64, 22.52, 37.58,
1983,33, 0.198,292.14, 52.66, 22.91, 37.79,
1983,34, 0.212,292.70, 50.32, 24.18, 37.25,
1983,35, 0.224,292.83, 46.44, 29.14, 37.79,
1983,36, 0.233,292.66, 41.90, 38.49, 40.19,
1983,37, 0.246,293.09, 39.77, 46.99, 43.38,
1983,38, 0.266,294.10, 42.01, 53.81, 47.91,
1983,39, 0.286,295.12, 46.87, 55.68, 51.27,
1983,40, 0.300,295.70, 51.29, 59.98, 55.63,
1983,41, 0.310,296.38, 56.07, 64.19, 60.13,
1983,42, 0.315,297.02, 61.23, 65.10, 63.16,
1983,43, 0.311,297.18, 65.42, 70.68, 68.05,
1983,44, 0.298,296.80, 67.01, 83.75, 75.38,
1983,45, 0.281,296.83, 69.20, 84.22, 76.71,
1983,46, 0.257,296.90, 66.67, 79.04, 72.86,
1983,47, 0.233,296.58, 63.12, 78.32, 70.72,
1983,48, 0.216,296.10, 62.79, 77.81, 70.30,
1983,49, 0.204,295.52, 63.05, 77.46, 70.25,
1983,50, 0.198,295.08, 60.85, 69.87, 65.36,
1983,51, 0.201,294.70, 63.33, 69.42, 66.37,
1983,52, 0.208,294.38, 63.65, 71.68, 67.67,
1984, 1, 0.218,294.08, 57.83, 78.69, 68.26,
1984, 2, 0.232,293.96, 59.60, 84.50, 72.05,
1984, 3, 0.247,294.15, 60.07, 87.73, 73.90,
1984, 4, 0.262,294.52, 60.31, 90.62, 75.47,
1984, 5, 0.275,295.08, 61.13, 91.29, 76.21,
1984, 6, 0.285,295.71, 61.47, 92.44, 76.95,
1984, 7, 0.289,296.63, 60.81, 92.45, 76.63,
1984, 8, 0.287,297.88, 59.77, 89.81, 74.79,
1984, 9, 0.278,299.38, 58.17, 84.77, 71.47,
1984,10, 0.262,301.06, 55.15, 76.64, 65.90,
1984,11, 0.240,302.74, 50.70, 69.36, 60.03,
1984,12, 0.217,304.17, 47.45, 65.60, 56.53,
1984,13, 0.192,305.23, 42.10, 66.46, 54.28,
1984,14, 0.172,306.15, 39.20, 64.56, 51.88,
1984,15, 0.156,306.62, 39.87, 66.55, 53.21,
1984,16, 0.142,306.62, 36.11, 68.09, 52.10,
1984,17, 0.131,306.25, 32.57, 68.89, 50.73,
1984,18, 0.124,305.65, 30.29, 68.65, 49.47,
1984,19, 0.119,304.79, 27.97, 66.50, 47.24,
1984,20, 0.118,303.62, 29.16, 68.47, 48.81,
1984,21, 0.115,301.47, 27.36, 74.32, 50.84,
1984,22, 0.113,299.24, 25.85, 76.10, 50.97,
1984,23, 0.112,297.12, 26.80, 71.01, 48.91,
1984,24, 0.113,294.80, 28.85, 66.07, 47.46,
1984,25, 0.117,293.06, 33.18, 56.88, 45.03,
1984,26, 0.121,291.00, 36.62, 48.83, 42.73,
1984,27, 0.126,289.60, 40.04, 41.18, 40.61,
1984,28, 0.130,288.08, 40.86, 38.82, 39.84,
1984,29, 0.135,287.10, 41.84, 37.32, 39.58,
1984,30, 0.147,286.87, 45.67, 35.18, 40.43,
1984,31, 0.164,287.46, 50.51, 32.29, 41.40,
1984,32, 0.180,288.12, 53.13, 31.60, 42.36,
1984,33, 0.197,288.92, 54.47, 32.62, 43.54,
1984,34, 0.210,289.00, 52.15, 39.48, 45.81,
1984,35, 0.226,289.74, 50.53, 42.89, 46.71,
