Mean data for IND  Province= 13: Haryana,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.229,294.67, 37.99, 32.02, 35.01,
1982, 2, 0.249,294.02, 36.54, 39.90, 38.22,
1982, 3, 0.269,293.50, 34.86, 49.38, 42.12,
1982, 4, 0.292,293.30, 34.23, 57.00, 45.61,
1982, 5, 0.315,293.23, 33.98, 66.81, 50.39,
1982, 6, 0.336,293.31, 34.99, 78.67, 56.83,
1982, 7, 0.354,293.66, 37.55, 87.00, 62.28,
1982, 8, 0.368,294.39, 41.38, 89.39, 65.39,
1982, 9, 0.375,295.37, 46.69, 90.36, 68.52,
1982,10, 0.373,296.50, 53.16, 92.35, 72.76,
1982,11, 0.361,297.91, 59.39, 91.76, 75.58,
1982,12, 0.342,299.47, 66.29, 88.63, 77.46,
1982,13, 0.311,301.23, 71.23, 86.13, 78.68,
1982,14, 0.269,303.31, 72.13, 82.78, 77.46,
1982,15, 0.222,304.48, 67.77, 86.17, 76.97,
1982,16, 0.179,305.68, 57.84, 88.60, 73.22,
1982,17, 0.147,306.85, 51.54, 90.32, 70.93,
1982,18, 0.125,307.30, 45.92, 92.78, 69.35,
1982,19, 0.110,307.60, 44.98, 92.98, 68.98,
1982,20, 0.100,308.06, 45.21, 87.18, 66.20,
1982,21, 0.094,308.51, 48.28, 74.40, 61.34,
1982,22, 0.091,308.58, 48.51, 60.83, 54.67,
1982,23, 0.089,308.42, 46.20, 50.36, 48.28,
1982,24, 0.088,307.77, 41.05, 43.90, 42.47,
1982,25, 0.088,306.51, 34.81, 40.73, 37.77,
1982,26, 0.091,305.16, 30.15, 39.73, 34.94,
1982,27, 0.096,303.64, 26.45, 41.58, 34.01,
1982,28, 0.104,301.40, 23.32, 47.93, 35.63,
1982,29, 0.119,299.67, 24.39, 53.76, 39.07,
1982,30, 0.139,298.52, 27.61, 55.68, 41.64,
1982,31, 0.163,297.72, 31.67, 57.27, 44.47,
1982,32, 0.192,297.57, 37.75, 55.43, 46.59,
1982,33, 0.224,298.14, 45.35, 49.59, 47.47,
1982,34, 0.251,299.19, 51.22, 41.45, 46.33,
1982,35, 0.267,300.21, 53.18, 36.30, 44.74,
1982,36, 0.276,301.51, 53.14, 31.30, 42.22,
1982,37, 0.274,302.41, 50.11, 32.40, 41.25,
1982,38, 0.262,302.96, 44.25, 36.87, 40.56,
1982,39, 0.244,303.54, 37.76, 36.22, 36.99,
1982,40, 0.228,303.82, 34.08, 36.37, 35.23,
1982,41, 0.210,303.96, 31.13, 36.31, 33.72,
1982,42, 0.193,304.11, 30.42, 32.53, 31.47,
1982,43, 0.179,303.94, 31.80, 29.68, 30.74,
1982,44, 0.163,303.65, 31.23, 26.69, 28.96,
1982,45, 0.151,303.02, 29.12, 24.96, 27.04,
1982,46, 0.139,302.22, 24.30, 20.87, 22.59,
1982,47, 0.133,301.44, 21.87, 15.90, 18.89,
1982,48, 0.132,300.56, 20.77, 11.87, 16.32,
1982,49, 0.134,299.73, 18.65, 10.47, 14.56,
1982,50, 0.137,298.72, 11.70,  5.38,  8.54,
1982,51, 0.142,297.54,  8.70,  7.53,  8.11,
1982,52, 0.150,296.76,  6.58,  9.89,  8.23,
1983, 1, 0.164,296.01,  4.07, 14.33,  9.20,
1983, 2, 0.180,295.41,  3.39, 20.23, 11.81,
1983, 3, 0.199,294.97,  3.12, 26.87, 14.99,
1983, 4, 0.221,294.76,  3.40, 33.16, 18.28,
1983, 5, 0.246,294.81,  4.51, 38.25, 21.38,
1983, 6, 0.270,295.19,  6.50, 42.95, 24.73,
1983, 7, 0.291,295.72,  9.50, 48.43, 28.97,
1983, 8, 0.308,296.34, 14.32, 54.70, 34.51,
1983, 9, 0.316,297.18, 19.46, 60.00, 39.73,
1983,10, 0.312,298.35, 23.35, 62.93, 43.14,
1983,11, 0.301,299.48, 27.65, 68.17, 47.91,
1983,12, 0.280,300.60, 30.93, 73.84, 52.38,
1983,13, 0.248,301.70, 30.89, 80.92, 55.91,
1983,14, 0.212,302.87, 28.27, 87.04, 57.65,
1983,15, 0.181,304.37, 32.56, 86.92, 59.74,
1983,16, 0.156,306.09, 33.43, 84.61, 59.02,
1983,17, 0.137,307.59, 37.45, 83.47, 60.46,
1983,18, 0.123,308.77, 43.56, 80.16, 61.86,
1983,19, 0.113,309.65, 50.14, 75.85, 62.99,
1983,20, 0.106,310.01, 54.75, 71.55, 63.15,
1983,21, 0.103,309.99, 61.38, 63.57, 62.48,
1983,22, 0.102,309.65, 65.05, 53.84, 59.45,
1983,23, 0.102,308.98, 63.31, 46.98, 55.14,
1983,24, 0.103,307.51, 59.88, 45.73, 52.80,
1983,25, 0.110,306.27, 57.71, 42.57, 50.14,
1983,26, 0.116,304.63, 52.38, 43.39, 47.89,
1983,27, 0.123,302.42, 46.60, 49.79, 48.20,
1983,28, 0.134,300.55, 43.39, 54.02, 48.71,
1983,29, 0.151,298.97, 43.64, 58.74, 51.19,
1983,30, 0.169,297.10, 44.01, 65.62, 54.82,
1983,31, 0.189,295.34, 44.87, 73.49, 59.18,
1983,32, 0.207,293.99, 44.19, 81.06, 62.62,
