Mean data for IND  Province= 20: Madhya Pradesh,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.251,298.81, 34.89, 69.49, 52.19,
1982, 2, 0.245,298.99, 30.91, 73.08, 51.99,
1982, 3, 0.240,299.17, 29.27, 77.41, 53.34,
1982, 4, 0.239,299.57, 30.83, 80.71, 55.77,
1982, 5, 0.237,300.29, 32.40, 82.04, 57.22,
1982, 6, 0.234,301.37, 35.15, 80.68, 57.91,
1982, 7, 0.232,302.78, 39.08, 78.10, 58.59,
1982, 8, 0.226,304.28, 42.08, 77.20, 59.64,
1982, 9, 0.218,305.77, 44.91, 79.16, 62.04,
1982,10, 0.207,307.23, 47.34, 81.38, 64.36,
1982,11, 0.194,308.73, 49.53, 82.76, 66.14,
1982,12, 0.181,310.19, 51.23, 83.80, 67.52,
1982,13, 0.166,311.47, 50.89, 84.63, 67.76,
1982,14, 0.151,312.43, 47.56, 86.71, 67.14,
1982,15, 0.137,312.94, 42.39, 90.22, 66.31,
1982,16, 0.123,313.04, 35.38, 92.75, 64.06,
1982,17, 0.111,312.77, 28.75, 93.79, 61.27,
1982,18, 0.103,312.47, 26.53, 92.00, 59.26,
1982,19, 0.099,312.31, 28.30, 84.47, 56.39,
1982,20, 0.097,312.09, 31.29, 71.84, 51.56,
1982,21, 0.093,310.78, 31.82, 63.45, 47.63,
1982,22, 0.091,308.81, 32.50, 56.88, 44.69,
1982,23, 0.088,306.05, 31.36, 53.74, 42.55,
1982,24, 0.087,303.81, 32.01, 46.07, 39.04,
1982,25, 0.087,301.68, 31.15, 37.14, 34.15,
1982,26, 0.088,298.91, 30.51, 31.73, 31.12,
1982,27, 0.088,295.45, 27.60, 30.99, 29.29,
1982,28, 0.088,291.59, 23.12, 34.63, 28.88,
1982,29, 0.088,287.95, 19.00, 40.15, 29.57,
1982,30, 0.090,284.34, 15.53, 46.81, 31.17,
1982,31, 0.098,282.13, 14.39, 51.90, 33.15,
1982,32, 0.111,281.37, 13.60, 56.82, 35.21,
1982,33, 0.130,282.89, 14.12, 57.46, 35.79,
1982,34, 0.157,285.03, 16.12, 58.37, 37.25,
1982,35, 0.190,287.85, 19.79, 57.75, 38.77,
1982,36, 0.222,290.27, 23.79, 58.31, 41.05,
1982,37, 0.252,293.13, 27.59, 55.69, 41.64,
