Mean data for IND  Province= 33: Uttar Pradesh,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.263,294.94, 57.31, 45.92, 51.61,
1982, 2, 0.273,294.70, 52.04, 52.12, 52.08,
1982, 3, 0.284,294.46, 47.74, 63.34, 55.54,
1982, 4, 0.297,294.41, 44.79, 73.90, 59.34,
1982, 5, 0.308,294.70, 42.02, 80.43, 61.22,
1982, 6, 0.315,295.10, 39.32, 85.48, 62.40,
1982, 7, 0.318,295.79, 38.00, 88.42, 63.21,
1982, 8, 0.316,296.89, 37.35, 89.03, 63.19,
1982, 9, 0.307,298.11, 37.09, 88.95, 63.02,
1982,10, 0.293,299.49, 38.09, 87.67, 62.88,
1982,11, 0.275,301.05, 40.88, 85.19, 63.04,
1982,12, 0.253,302.69, 44.98, 81.48, 63.23,
1982,13, 0.228,304.35, 47.11, 78.37, 62.74,
1982,14, 0.202,305.80, 46.42, 77.58, 62.00,
1982,15, 0.178,306.85, 46.43, 78.84, 62.63,
1982,16, 0.157,307.46, 40.80, 81.37, 61.08,
1982,17, 0.142,307.73, 37.55, 82.54, 60.04,
1982,18, 0.132,308.11, 39.38, 79.17, 59.27,
1982,19, 0.125,308.28, 40.28, 73.93, 57.11,
1982,20, 0.121,308.21, 41.75, 68.83, 55.29,
1982,21, 0.120,307.77, 43.95, 62.55, 53.25,
1982,22, 0.120,306.80, 46.44, 55.70, 51.07,
1982,23, 0.121,305.41, 47.85, 50.06, 48.95,
1982,24, 0.120,304.11, 47.40, 43.54, 45.47,
1982,25, 0.121,303.11, 44.93, 35.99, 40.46,
1982,26, 0.124,301.85, 42.94, 28.27, 35.60,
1982,27, 0.125,300.03, 37.33, 23.69, 30.51,
1982,28, 0.127,297.73, 30.43, 24.80, 27.61,
1982,29, 0.135,295.87, 27.35, 26.65, 27.00,
1982,30, 0.148,294.33, 26.85, 30.22, 28.53,
1982,31, 0.165,293.62, 26.74, 31.90, 29.32,
1982,32, 0.177,293.02, 24.52, 35.12, 29.82,
1982,33, 0.193,293.17, 23.70, 36.25, 29.97,
1982,34, 0.213,293.80, 24.85, 36.98, 30.91,
1982,35, 0.233,294.61, 26.53, 38.56, 32.54,
1982,36, 0.252,295.45, 29.10, 40.87, 34.98,
1982,37, 0.266,296.77, 30.90, 39.50, 35.20,
1982,38, 0.273,298.48, 30.54, 34.03, 32.28,
1982,39, 0.273,299.79, 29.98, 30.37, 30.18,
1982,40, 0.267,300.30, 28.86, 34.40, 31.63,
1982,41, 0.258,300.62, 28.10, 39.73, 33.92,
1982,42, 0.251,301.33, 32.17, 35.10, 33.64,
1982,43, 0.245,301.60, 39.67, 33.65, 36.66,
1982,44, 0.236,301.59, 45.41, 31.62, 38.51,
1982,45, 0.223,301.11, 47.07, 31.62, 39.35,
1982,46, 0.215,300.51, 49.17, 28.88, 39.02,
1982,47, 0.211,300.05, 52.85, 23.39, 38.12,
1982,48, 0.210,299.32, 55.65, 22.31, 38.98,
1982,49, 0.209,298.59, 56.53, 21.80, 39.17,
1982,50, 0.211,297.72, 50.78, 17.68, 34.23,
1982,51, 0.213,296.73, 46.81, 23.39, 35.10,
1982,52, 0.218,296.17, 41.45, 26.34, 33.89,
1983, 1, 0.229,295.66, 27.65, 33.60, 30.62,
1983, 2, 0.241,295.24, 24.83, 42.57, 33.70,
1983, 3, 0.257,295.18, 24.08, 49.54, 36.81,
1983, 4, 0.273,295.27, 24.42, 56.71, 40.56,
1983, 5, 0.290,295.55, 26.53, 63.07, 44.80,
1983, 6, 0.303,296.15, 29.08, 65.04, 47.06,
1983, 7, 0.310,296.89, 30.97, 68.48, 49.73,
1983, 8, 0.310,297.82, 32.23, 73.10, 52.66,
1983, 9, 0.303,298.91, 32.85, 75.25, 54.05,
1983,10, 0.286,300.33, 31.64, 73.42, 52.53,
1983,11, 0.263,301.66, 30.35, 75.41, 52.88,
1983,12, 0.236,302.63, 28.17, 82.56, 55.36,
1983,13, 0.205,303.61, 23.78, 87.88, 55.83,
1983,14, 0.177,304.62, 18.43, 91.23, 54.83,
1983,15, 0.158,305.57, 21.34, 92.59, 56.97,
1983,16, 0.143,306.40, 21.95, 92.36, 57.16,
1983,17, 0.132,306.83, 24.67, 91.67, 58.17,
1983,18, 0.125,307.10, 30.01, 89.47, 59.74,
1983,19, 0.122,307.18, 36.24, 85.07, 60.66,
1983,20, 0.121,307.19, 43.00, 78.36, 60.68,
1983,21, 0.123,307.46, 49.49, 65.74, 57.62,
1983,22, 0.125,307.13, 52.75, 53.46, 53.10,
1983,23, 0.125,306.26, 53.59, 43.91, 48.75,
1983,24, 0.124,304.72, 52.48, 39.11, 45.80,
1983,25, 0.129,303.16, 53.76, 34.61, 44.18,
1983,26, 0.137,301.48, 55.33, 29.26, 42.29,
1983,27, 0.143,298.81, 52.44, 30.03, 41.23,
1983,28, 0.151,296.44, 49.51, 32.79, 41.15,
1983,29, 0.162,294.86, 47.81, 34.24, 41.02,
