Mean data for IRN  Province= 6: Fars,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.079,289.87, 33.54, 43.86, 38.70,
1982, 2, 0.078,288.99, 31.13, 48.90, 40.01,
1982, 3, 0.079,288.44, 30.65, 52.68, 41.66,
1982, 4, 0.081,288.04, 30.26, 59.59, 44.92,
1982, 5, 0.084,287.76, 30.73, 67.79, 49.26,
1982, 6, 0.087,287.74, 30.47, 74.50, 52.48,
1982, 7, 0.091,288.20, 29.64, 79.12, 54.38,
1982, 8, 0.096,289.12, 29.34, 81.39, 55.36,
1982, 9, 0.102,290.22, 29.53, 83.43, 56.48,
1982,10, 0.107,291.34, 30.35, 85.15, 57.75,
1982,11, 0.114,292.90, 32.50, 84.16, 58.33,
1982,12, 0.123,294.48, 35.10, 83.59, 59.35,
1982,13, 0.130,296.10, 36.71, 82.09, 59.40,
1982,14, 0.134,298.26, 37.03, 78.38, 57.70,
1982,15, 0.134,300.30, 35.91, 75.99, 55.95,
1982,16, 0.132,302.25, 33.54, 74.08, 53.81,
1982,17, 0.126,303.93, 29.59, 72.93, 51.26,
1982,18, 0.121,305.75, 27.56, 69.21, 48.38,
1982,19, 0.117,307.72, 27.46, 64.91, 46.19,
1982,20, 0.115,309.89, 28.90, 62.84, 45.87,
1982,21, 0.113,311.79, 31.21, 60.07, 45.64,
1982,22, 0.113,313.17, 35.36, 59.83, 47.59,
1982,23, 0.111,314.07, 37.98, 62.08, 50.03,
1982,24, 0.107,314.80, 38.37, 63.68, 51.02,
1982,25, 0.104,315.15, 40.45, 67.38, 53.92,
1982,26, 0.102,315.51, 44.04, 67.27, 55.66,
1982,27, 0.101,315.87, 47.72, 64.60, 56.16,
1982,28, 0.097,315.99, 48.10, 62.82, 55.46,
1982,29, 0.093,315.88, 44.55, 63.01, 53.78,
1982,30, 0.088,315.66, 38.42, 62.67, 50.55,
1982,31, 0.083,315.39, 33.52, 62.31, 47.92,
1982,32, 0.080,314.84, 28.32, 64.82, 46.57,
1982,33, 0.078,314.25, 24.42, 67.31, 45.87,
1982,34, 0.078,313.51, 22.90, 69.37, 46.13,
1982,35, 0.079,312.66, 24.27, 70.31, 47.29,
1982,36, 0.079,311.75, 23.31, 70.34, 46.82,
