Mean data for IRN  Province= 8: Golestan,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.106,282.19, 45.91, 52.03, 48.97,
1982, 2, 0.105,281.90, 43.27, 53.06, 48.17,
1982, 3, 0.106,281.87, 40.89, 51.56, 46.23,
1982, 4, 0.107,281.59, 37.26, 53.52, 45.39,
1982, 5, 0.108,281.40, 34.88, 55.48, 45.18,
1982, 6, 0.112,281.56, 33.08, 57.34, 45.21,
1982, 7, 0.119,282.70, 32.34, 54.10, 43.22,
1982, 8, 0.131,284.46, 33.12, 50.12, 41.62,
1982, 9, 0.145,286.17, 33.42, 47.98, 40.70,
1982,10, 0.160,288.21, 33.90, 43.82, 38.86,
1982,11, 0.177,290.60, 34.72, 37.51, 36.11,
1982,12, 0.194,292.48, 34.71, 34.01, 34.36,
1982,13, 0.213,294.28, 36.23, 31.81, 34.02,
1982,14, 0.231,296.44, 37.28, 28.92, 33.10,
1982,15, 0.244,298.57, 37.49, 24.19, 30.84,
1982,16, 0.252,300.33, 37.96, 20.80, 29.38,
1982,17, 0.257,301.50, 39.03, 20.66, 29.84,
1982,18, 0.251,302.06, 36.42, 25.62, 31.02,
1982,19, 0.243,302.57, 35.04, 30.62, 32.83,
1982,20, 0.232,302.96, 34.30, 42.22, 38.26,
1982,21, 0.219,303.31, 32.22, 49.86, 41.04,
1982,22, 0.208,303.76, 31.20, 58.08, 44.64,
1982,23, 0.196,303.93, 29.85, 66.06, 47.96,
1982,24, 0.190,304.23, 31.33, 69.09, 50.21,
1982,25, 0.191,304.83, 35.31, 67.19, 51.25,
1982,26, 0.193,305.37, 37.91, 67.45, 52.68,
1982,27, 0.190,305.72, 37.42, 67.75, 52.59,
1982,28, 0.181,305.75, 35.03, 69.33, 52.18,
1982,29, 0.173,305.69, 33.05, 69.49, 51.27,
1982,30, 0.167,305.67, 31.96, 68.13, 50.05,
1982,31, 0.162,305.31, 31.79, 69.59, 50.69,
1982,32, 0.166,305.20, 35.00, 67.97, 51.48,
1982,33, 0.173,305.01, 37.12, 66.91, 52.01,
1982,34, 0.178,305.08, 37.80, 63.61, 50.71,
1982,35, 0.181,305.37, 38.86, 57.75, 48.30,
1982,36, 0.178,304.46, 37.92, 59.99, 48.96,
1982,37, 0.169,303.13, 33.85, 63.60, 48.73,
1982,38, 0.160,302.02, 29.00, 64.71, 46.86,
1982,39, 0.151,300.55, 25.64, 66.44, 46.04,
1982,40, 0.146,298.83, 26.48, 67.31, 46.89,
1982,41, 0.140,296.92, 27.66, 66.71, 47.19,
1982,42, 0.134,294.84, 25.63, 66.96, 46.29,
1982,43, 0.129,293.32, 28.78, 64.49, 46.63,
1982,44, 0.125,291.63, 31.92, 61.06, 46.49,
1982,45, 0.115,289.53, 32.26, 61.32, 46.79,
