Mean data for IRN  Province= 23: Razavi Khorasan,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.044,278.42, 38.83, 52.59, 45.71,
1982, 2, 0.042,276.54, 38.09, 56.96, 47.52,
1982, 3, 0.041,276.42, 39.53, 55.65, 47.59,
1982, 4, 0.041,276.80, 39.24, 55.83, 47.53,
1982, 5, 0.041,277.13, 37.86, 59.19, 48.52,
1982, 6, 0.041,277.50, 34.78, 66.95, 50.86,
1982, 7, 0.043,278.74, 32.25, 74.13, 53.19,
1982, 8, 0.046,281.34, 31.26, 73.57, 52.42,
1982, 9, 0.050,283.43, 30.37, 73.88, 52.12,
1982,10, 0.054,286.02, 29.71, 72.04, 50.87,
1982,11, 0.059,289.25, 29.89, 66.64, 48.27,
1982,12, 0.067,292.50, 33.76, 60.78, 47.27,
1982,13, 0.076,295.91, 38.36, 53.21, 45.78,
1982,14, 0.083,298.68, 40.14, 48.75, 44.45,
1982,15, 0.088,300.98, 41.78, 45.22, 43.50,
1982,16, 0.095,303.66, 44.26, 38.77, 41.52,
1982,17, 0.099,306.00, 45.72, 34.27, 40.00,
1982,18, 0.102,307.42, 46.19, 35.60, 40.89,
1982,19, 0.102,308.37, 45.50, 39.95, 42.72,
1982,20, 0.100,309.23, 45.39, 47.33, 46.36,
1982,21, 0.099,310.44, 45.93, 51.81, 48.87,
1982,22, 0.098,311.56, 46.38, 55.70, 51.04,
1982,23, 0.094,312.50, 45.55, 58.25, 51.90,
1982,24, 0.090,313.17, 43.75, 62.72, 53.23,
1982,25, 0.089,313.93, 46.36, 64.75, 55.56,
1982,26, 0.089,314.63, 49.73, 65.80, 57.77,
1982,27, 0.086,314.89, 49.19, 69.08, 59.13,
1982,28, 0.084,314.75, 47.90, 73.74, 60.82,
1982,29, 0.082,315.06, 46.32, 72.68, 59.50,
1982,30, 0.080,315.26, 43.66, 70.91, 57.28,
1982,31, 0.079,314.93, 42.24, 73.15, 57.70,
1982,32, 0.079,314.37, 42.39, 75.58, 58.98,
1982,33, 0.078,313.58, 41.59, 78.82, 60.21,
1982,34, 0.078,312.63, 41.06, 80.78, 60.92,
1982,35, 0.078,311.74, 40.23, 80.16, 60.20,
1982,36, 0.075,310.64, 38.17, 80.17, 59.17,
1982,37, 0.071,308.80, 32.39, 85.60, 58.99,
1982,38, 0.064,306.71, 24.73, 88.39, 56.56,
1982,39, 0.059,304.73, 19.42, 87.53, 53.47,
1982,40, 0.054,302.22, 15.33, 87.82, 51.57,
1982,41, 0.050,299.33, 13.25, 87.36, 50.30,
1982,42, 0.046,296.34, 11.38, 86.95, 49.16,
1982,43, 0.044,293.31, 10.81, 87.93, 49.37,
1982,44, 0.044,290.62, 14.14, 86.18, 50.16,
1982,45, 0.044,288.18, 19.03, 82.77, 50.90,
1982,46, 0.043,285.86, 21.39, 79.66, 50.52,
1982,47, 0.042,283.97, 25.09, 75.59, 50.34,
1982,48, 0.042,282.08, 27.39, 71.46, 49.43,
1982,49, 0.042,280.63, 29.90, 67.45, 48.68,
1982,50, 0.041,279.32, 29.34, 64.89, 47.12,
1982,51, 0.040,278.51, 28.00, 61.12, 44.56,
1982,52, 0.040,278.24, 28.36, 56.82, 42.59,
1983, 1, 0.040,278.09, 29.67, 54.48, 42.07,
1983, 2, 0.040,278.26, 31.66, 49.52, 40.59,
