Mean data for JPN  Province= 2: Akita,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.062,263.41, 39.27, 50.00, 44.64,
1982, 2, 0.060,262.93, 43.02, 49.04, 46.03,
1982, 3, 0.057,262.41, 44.17, 49.34, 46.75,
1982, 4, 0.054,262.09, 42.84, 50.92, 46.88,
1982, 5, 0.050,261.84, 36.83, 54.14, 45.49,
1982, 6, 0.049,262.31, 33.42, 54.24, 43.83,
1982, 7, 0.050,263.48, 34.32, 51.48, 42.90,
1982, 8, 0.051,264.79, 33.02, 48.40, 40.71,
1982, 9, 0.053,266.13, 29.02, 49.10, 39.06,
1982,10, 0.061,268.55, 30.37, 45.47, 37.92,
1982,11, 0.073,271.36, 33.02, 41.09, 37.06,
1982,12, 0.090,273.80, 36.10, 41.48, 38.79,
1982,13, 0.114,276.55, 44.23, 39.05, 41.64,
1982,14, 0.136,278.93, 46.24, 38.43, 42.33,
1982,15, 0.151,280.18, 41.10, 47.66, 44.38,
1982,16, 0.183,282.57, 43.00, 46.19, 44.59,
1982,17, 0.223,285.40, 45.93, 38.76, 42.35,
1982,18, 0.249,286.50, 43.19, 41.72, 42.46,
1982,19, 0.271,287.21, 38.19, 46.83, 42.51,
1982,20, 0.301,287.91, 36.73, 51.32, 44.03,
1982,21, 0.348,288.97, 43.24, 50.22, 46.73,
1982,22, 0.398,289.99, 53.37, 47.04, 50.20,
1982,23, 0.431,291.14, 59.61, 40.34, 49.98,
1982,24, 0.457,291.93, 64.45, 35.97, 50.21,
1982,25, 0.480,292.67, 71.00, 29.78, 50.39,
1982,26, 0.497,293.43, 77.32, 22.46, 49.89,
1982,27, 0.494,293.35, 75.48, 24.10, 49.79,
1982,28, 0.476,292.23, 68.59, 35.65, 52.12,
1982,29, 0.469,292.56, 65.35, 35.24, 50.30,
1982,30, 0.449,292.94, 57.46, 35.29, 46.37,
1982,31, 0.425,292.44, 48.31, 43.96, 46.13,
1982,32, 0.410,292.11, 39.91, 52.42, 46.16,
1982,33, 0.415,292.05, 39.57, 55.61, 47.59,
1982,34, 0.432,292.11, 44.25, 54.33, 49.29,
1982,35, 0.432,291.80, 45.04, 54.73, 49.88,
1982,36, 0.426,291.33, 47.33, 51.50, 49.41,
1982,37, 0.417,290.67, 49.11, 47.95, 48.53,
1982,38, 0.410,290.10, 51.86, 42.38, 47.12,
1982,39, 0.399,289.45, 54.18, 37.15, 45.67,
1982,40, 0.381,288.69, 56.40, 31.78, 44.09,
1982,41, 0.362,287.66, 58.23, 30.38, 44.31,
1982,42, 0.339,286.35, 62.17, 28.48, 45.32,
1982,43, 0.308,284.89, 62.79, 27.55, 45.17,
1982,44, 0.272,283.40, 62.11, 24.45, 43.28,
1982,45, 0.231,281.32, 57.84, 23.76, 40.80,
1982,46, 0.189,278.90, 50.94, 25.85, 38.40,
1982,47, 0.152,275.67, 43.63, 33.74, 38.68,
1982,48, 0.118,272.21, 33.96, 42.29, 38.13,
1982,49, 0.093,269.72, 27.81, 49.08, 38.44,
1982,50, 0.077,267.50, 25.70, 46.65, 36.17,
1982,51, 0.068,265.66, 27.33, 48.65, 37.99,
1982,52, 0.061,264.04, 27.34, 50.71, 39.02,
1983, 1, 0.054,262.77, 25.78, 53.04, 39.41,
1983, 2, 0.051,261.84, 25.43, 54.91, 40.17,
1983, 3, 0.048,260.65, 27.01, 59.69, 43.35,
1983, 4, 0.047,259.84, 28.71, 64.85, 46.78,
1983, 5, 0.044,259.53, 24.66, 68.91, 46.78,
1983, 6, 0.043,259.63, 21.05, 71.83, 46.44,
1983, 7, 0.043,260.41, 21.38, 71.96, 46.67,
1983, 8, 0.044,261.23, 21.03, 72.90, 46.96,
1983, 9, 0.048,262.79, 21.37, 71.97, 46.67,
1983,10, 0.054,265.41, 23.28, 66.80, 45.04,
1983,11, 0.066,268.47, 27.29, 60.84, 44.07,
1983,12, 0.087,271.95, 34.58, 54.00, 44.29,
1983,13, 0.114,276.12, 44.48, 42.21, 43.35,
1983,14, 0.148,280.12, 53.93, 30.85, 42.39,
1983,15, 0.184,283.52, 59.39, 23.61, 41.50,
1983,16, 0.222,285.91, 62.45, 20.80, 41.62,
1983,17, 0.260,287.56, 62.77, 21.53, 42.15,
1983,18, 0.299,288.67, 63.13, 22.77, 42.95,
1983,19, 0.338,289.60, 64.53, 24.09, 44.31,
1983,20, 0.374,290.29, 66.48, 27.85, 47.17,
1983,21, 0.406,290.48, 67.43, 34.56, 50.99,
1983,22, 0.424,290.38, 64.01, 42.41, 53.21,
