Mean data for JPN  Province= 12: Hokkaido,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.089,261.24, 41.00, 46.94, 43.97,
1982, 2, 0.084,260.56, 42.91, 46.72, 44.82,
1982, 3, 0.079,259.98, 42.51, 48.67, 45.59,
1982, 4, 0.076,260.02, 43.77, 48.07, 45.92,
1982, 5, 0.073,260.41, 43.53, 47.05, 45.29,
1982, 6, 0.071,260.78, 41.57, 48.02, 44.80,
1982, 7, 0.067,261.48, 38.70, 48.23, 43.46,
1982, 8, 0.063,261.98, 34.06, 50.97, 42.52,
1982, 9, 0.060,262.66, 29.25, 53.53, 41.39,
1982,10, 0.060,263.99, 26.06, 52.36, 39.21,
1982,11, 0.059,264.83, 21.49, 56.33, 38.91,
1982,12, 0.062,266.13, 18.56, 58.44, 38.50,
1982,13, 0.072,268.36, 20.39, 56.43, 38.41,
1982,14, 0.084,270.59, 22.38, 55.79, 39.09,
1982,15, 0.098,272.86, 20.72, 56.71, 38.71,
1982,16, 0.121,275.23, 21.67, 58.52, 40.10,
1982,17, 0.155,278.06, 25.59, 58.00, 41.79,
1982,18, 0.195,280.55, 30.13, 58.61, 44.37,
1982,19, 0.240,282.60, 33.48, 60.92, 47.20,
1982,20, 0.294,284.74, 39.11, 60.02, 49.56,
1982,21, 0.353,286.58, 46.42, 57.30, 51.86,
1982,22, 0.404,288.12, 51.83, 54.08, 52.96,
1982,23, 0.456,289.78, 62.11, 44.88, 53.49,
1982,24, 0.498,290.76, 70.95, 39.79, 55.37,
1982,25, 0.526,291.74, 75.93, 32.45, 54.19,
1982,26, 0.541,292.62, 78.90, 23.88, 51.39,
1982,27, 0.541,292.63, 77.22, 24.58, 50.90,
1982,28, 0.530,292.45, 72.49, 28.79, 50.64,
1982,29, 0.530,293.02, 72.53, 23.13, 47.83,
1982,30, 0.518,293.07, 68.77, 23.91, 46.34,
1982,31, 0.512,292.97, 67.05, 26.07, 46.56,
1982,32, 0.512,292.84, 67.42, 26.51, 46.96,
1982,33, 0.517,292.66, 69.70, 27.02, 48.36,
1982,34, 0.523,292.40, 73.36, 25.81, 49.58,
1982,35, 0.512,291.51, 70.89, 30.13, 50.51,
1982,36, 0.503,290.66, 70.00, 32.95, 51.48,
1982,37, 0.495,290.01, 71.47, 30.06, 50.77,
1982,38, 0.481,289.10, 71.42, 28.58, 50.00,
1982,39, 0.461,288.18, 70.41, 25.43, 47.92,
1982,40, 0.433,287.11, 69.06, 22.48, 45.77,
1982,41, 0.400,285.83, 66.65, 22.31, 44.48,
1982,42, 0.365,284.54, 64.79, 21.96, 43.38,
1982,43, 0.324,282.80, 60.16, 23.95, 42.06,
1982,44, 0.288,280.72, 58.71, 24.01, 41.36,
1982,45, 0.253,278.31, 57.12, 25.63, 41.37,
1982,46, 0.221,275.59, 54.53, 30.23, 42.38,
1982,47, 0.191,272.66, 52.38, 35.05, 43.72,
1982,48, 0.162,270.06, 48.33, 38.62, 43.48,
1982,49, 0.139,267.92, 44.44, 39.98, 42.21,
