Mean data for JPN  Province= 29: Niigata,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.056,265.45, 47.61, 33.94, 40.77,
1982, 2, 0.050,263.30, 48.23, 38.17, 43.20,
1982, 3, 0.043,261.20, 46.64, 43.25, 44.95,
1982, 4, 0.040,260.27, 46.80, 45.39, 46.10,
1982, 5, 0.036,259.54, 41.37, 48.04, 44.71,
1982, 6, 0.033,259.83, 37.86, 47.09, 42.48,
1982, 7, 0.034,260.90, 39.95, 44.15, 42.05,
1982, 8, 0.034,262.13, 36.99, 41.39, 39.19,
1982, 9, 0.035,263.55, 34.37, 40.10, 37.23,
1982,10, 0.041,265.91, 36.78, 37.35, 37.06,
1982,11, 0.048,268.46, 35.41, 37.00, 36.21,
1982,12, 0.061,271.28, 36.73, 37.60, 37.16,
1982,13, 0.080,274.44, 39.37, 35.92, 37.64,
1982,14, 0.101,277.34, 41.05, 36.01, 38.53,
1982,15, 0.120,279.24, 38.06, 41.63, 39.85,
1982,16, 0.149,281.73, 38.52, 44.62, 41.57,
1982,17, 0.198,285.00, 44.51, 40.91, 42.71,
1982,18, 0.244,286.92, 48.07, 42.51, 45.29,
1982,19, 0.295,288.49, 51.93, 43.41, 47.67,
1982,20, 0.339,289.66, 54.37, 46.42, 50.40,
1982,21, 0.383,290.53, 59.48, 48.63, 54.05,
1982,22, 0.414,290.97, 63.11, 46.97, 55.04,
1982,23, 0.435,291.52, 66.49, 40.41, 53.45,
1982,24, 0.454,292.01, 70.80, 32.87, 51.83,
1982,25, 0.467,292.68, 74.99, 24.26, 49.63,
1982,26, 0.467,293.01, 75.48, 19.76, 47.62,
1982,27, 0.450,292.62, 71.66, 20.58, 46.12,
1982,28, 0.417,291.38, 61.36, 29.48, 45.42,
1982,29, 0.395,291.28, 52.04, 35.06, 43.55,
1982,30, 0.381,291.55, 42.82, 40.75, 41.78,
1982,31, 0.364,291.14, 31.26, 53.61, 42.43,
1982,32, 0.356,291.20, 24.68, 62.96, 43.82,
1982,33, 0.359,291.36, 25.35, 66.11, 45.73,
1982,34, 0.365,291.42, 28.37, 63.38, 45.87,
1982,35, 0.353,290.82, 27.40, 66.84, 47.12,
1982,36, 0.347,290.38, 31.18, 65.84, 48.51,
1982,37, 0.345,290.40, 37.14, 56.53, 46.84,
1982,38, 0.342,290.20, 42.28, 48.62, 45.45,
1982,39, 0.337,289.79, 44.74, 44.07, 44.40,
1982,40, 0.334,289.31, 49.68, 39.17, 44.42,
1982,41, 0.328,288.44, 55.56, 40.22, 47.89,
1982,42, 0.312,287.48, 58.12, 37.29, 47.70,
1982,43, 0.283,286.20, 57.21, 35.29, 46.25,
1982,44, 0.245,284.76, 52.89, 34.79, 43.84,
1982,45, 0.200,283.19, 44.16, 33.35, 38.76,
1982,46, 0.163,281.11, 39.30, 34.07, 36.68,
1982,47, 0.130,278.28, 33.08, 39.01, 36.05,
1982,48, 0.101,275.40, 25.86, 41.89, 33.87,
1982,49, 0.081,272.92, 23.30, 44.10, 33.70,
1982,50, 0.065,270.56, 22.31, 41.41, 31.86,
1982,51, 0.052,267.92, 21.72, 42.47, 32.09,
1982,52, 0.042,265.07, 21.82, 44.84, 33.33,
1983, 1, 0.036,262.78, 22.02, 45.80, 33.91,
1983, 2, 0.030,261.07, 17.88, 47.83, 32.85,
1983, 3, 0.026,259.55, 16.01, 50.56, 33.28,
1983, 4, 0.024,257.88, 17.51, 56.47, 36.99,
1983, 5, 0.022,256.72, 13.98, 60.92, 37.45,
1983, 6, 0.020,256.08,  9.20, 63.97, 36.58,
1983, 7, 0.019,255.79,  7.49, 66.29, 36.89,
1983, 8, 0.018,255.95,  7.28, 66.90, 37.09,
1983, 9, 0.020,256.90,  9.02, 66.63, 37.82,
1983,10, 0.025,259.28, 13.65, 63.20, 38.42,
1983,11, 0.034,261.92, 18.89, 61.95, 40.42,
1983,12, 0.046,264.94, 23.46, 60.84, 42.15,
1983,13, 0.065,268.33, 29.14, 56.96, 43.05,
1983,14, 0.092,272.99, 35.94, 49.86, 42.90,
1983,15, 0.128,278.08, 43.20, 41.12, 42.16,
1983,16, 0.175,282.62, 51.11, 33.98, 42.54,
1983,17, 0.232,285.84, 59.30, 31.35, 45.32,
1983,18, 0.286,288.12, 64.70, 30.54, 47.62,
1983,19, 0.334,289.57, 67.03, 31.54, 49.28,
1983,20, 0.373,290.60, 67.61, 35.60, 51.60,
1983,21, 0.403,291.05, 67.34, 42.97, 55.16,
1983,22, 0.423,290.99, 66.46, 46.63, 56.55,
1983,23, 0.420,290.34, 59.79, 51.40, 55.59,
1983,24, 0.413,289.86, 54.53, 50.52, 52.53,
1983,25, 0.400,289.86, 51.50, 43.42, 47.46,
1983,26, 0.388,289.56, 49.16, 40.06, 44.61,
1983,27, 0.381,289.57, 49.19, 37.57, 43.38,
1983,28, 0.382,290.02, 49.58, 37.15, 43.37,
1983,29, 0.397,291.00, 52.78, 36.63, 44.71,
1983,30, 0.409,291.73, 53.22, 39.48, 46.35,
1983,31, 0.419,292.44, 53.85, 41.60, 47.73,
1983,32, 0.424,293.16, 54.71, 41.89, 48.30,
1983,33, 0.424,293.55, 55.02, 40.75, 47.89,
1983,34, 0.411,293.58, 50.35, 37.52, 43.93,
1983,35, 0.393,293.06, 46.17, 38.96, 42.57,
1983,36, 0.364,291.68, 39.78, 50.49, 45.13,
1983,37, 0.351,291.05, 41.14, 49.45, 45.29,
1983,38, 0.334,290.33, 40.91, 47.10, 44.00,
1983,39, 0.309,289.27, 35.17, 50.11, 42.64,
1983,40, 0.280,288.13, 28.36, 54.22, 41.29,
1983,41, 0.250,286.51, 22.47, 64.04, 43.25,
1983,42, 0.221,284.84, 17.23, 67.35, 42.29,
1983,43, 0.187,283.02, 13.03, 69.39, 41.21,
1983,44, 0.159,281.38, 11.72, 67.63, 39.67,
1983,45, 0.139,279.54, 13.57, 65.81, 39.69,
