Mean data for JPN  Province= 45: Yamagata,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.056,262.84, 48.45, 43.28, 45.86,
1982, 2, 0.051,261.57, 50.89, 44.99, 47.94,
1982, 3, 0.046,260.60, 49.93, 47.49, 48.71,
1982, 4, 0.043,260.15, 49.27, 49.63, 49.45,
1982, 5, 0.039,259.72, 41.42, 52.15, 46.79,
1982, 6, 0.036,260.02, 35.02, 53.26, 44.14,
1982, 7, 0.035,261.06, 33.03, 51.50, 42.26,
1982, 8, 0.034,262.04, 28.16, 50.41, 39.28,
1982, 9, 0.035,263.00, 23.93, 51.75, 37.84,
1982,10, 0.039,265.01, 23.67, 49.66, 36.67,
1982,11, 0.046,267.54, 22.78, 47.57, 35.17,
1982,12, 0.058,270.33, 25.52, 46.88, 36.20,
1982,13, 0.079,273.65, 33.10, 44.33, 38.71,
1982,14, 0.102,276.78, 37.32, 42.32, 39.82,
1982,15, 0.118,278.61, 34.04, 47.64, 40.84,
1982,16, 0.148,280.98, 36.17, 49.92, 43.04,
1982,17, 0.196,284.30, 42.95, 44.68, 43.82,
1982,18, 0.241,286.16, 46.92, 44.75, 45.83,
1982,19, 0.286,287.49, 49.65, 48.65, 49.15,
1982,20, 0.333,288.74, 52.60, 52.82, 52.71,
1982,21, 0.391,289.98, 61.88, 49.93, 55.90,
1982,22, 0.431,290.71, 67.18, 46.71, 56.95,
1982,23, 0.452,291.28, 67.98, 41.82, 54.90,
1982,24, 0.470,291.77, 70.06, 36.42, 53.24,
1982,25, 0.484,292.44, 73.58, 28.75, 51.17,
1982,26, 0.488,292.78, 74.50, 23.81, 49.15,
1982,27, 0.467,292.17, 68.28, 27.72, 48.00,
1982,28, 0.425,290.59, 53.08, 42.68, 47.88,
1982,29, 0.413,290.86, 45.48, 47.78, 46.63,
1982,30, 0.399,291.28, 36.20, 51.70, 43.95,
1982,31, 0.379,290.92, 25.11, 61.74, 43.42,
1982,32, 0.366,290.82, 19.63, 67.33, 43.48,
1982,33, 0.370,290.78, 21.46, 69.44, 45.45,
1982,34, 0.381,290.89, 25.08, 69.18, 47.13,
1982,35, 0.368,290.10, 22.18, 74.17, 48.17,
1982,36, 0.362,289.53, 23.86, 72.81, 48.34,
1982,37, 0.365,289.59, 29.76, 62.02, 45.89,
1982,38, 0.368,289.49, 36.11, 50.36, 43.23,
1982,39, 0.360,289.12, 38.16, 42.78, 40.47,
1982,40, 0.349,288.51, 40.97, 37.29, 39.13,
1982,41, 0.337,287.54, 44.81, 36.53, 40.67,
1982,42, 0.324,286.60, 53.32, 30.50, 41.91,
1982,43, 0.299,285.36, 57.94, 27.24, 42.59,
1982,44, 0.269,284.26, 61.28, 21.72, 41.50,
1982,45, 0.236,282.84, 61.85, 17.03, 39.44,
1982,46, 0.203,280.75, 62.06, 18.00, 40.03,
1982,47, 0.167,277.97, 58.53, 24.52, 41.52,
1982,48, 0.131,274.53, 48.97, 32.69, 40.83,
1982,49, 0.105,272.03, 42.47, 40.80, 41.64,
1982,50, 0.085,269.69, 41.27, 34.46, 37.86,
1982,51, 0.070,267.45, 40.69, 36.48, 38.58,
1982,52, 0.058,265.29, 39.17, 39.09, 39.13,
1983, 1, 0.050,263.79, 38.54, 38.93, 38.74,
1983, 2, 0.043,262.22, 33.42, 42.46, 37.94,
1983, 3, 0.038,260.82, 30.13, 47.18, 38.66,
1983, 4, 0.035,259.41, 30.58, 54.55, 42.57,
1983, 5, 0.031,257.99, 23.31, 62.51, 42.91,
1983, 6, 0.027,256.80, 14.55, 71.52, 43.04,
1983, 7, 0.025,256.05, 11.22, 78.80, 45.01,
1983, 8, 0.024,255.71,  9.75, 83.13, 46.44,
1983, 9, 0.026,256.51, 10.19, 83.64, 46.91,
1983,10, 0.030,258.72, 12.40, 79.91, 46.16,
1983,11, 0.039,261.64, 16.34, 75.48, 45.91,
1983,12, 0.053,265.28, 21.43, 70.59, 46.01,
1983,13, 0.074,269.82, 30.30, 62.35, 46.32,
1983,14, 0.104,275.06, 39.33, 49.68, 44.50,
1983,15, 0.141,279.89, 47.23, 38.94, 43.08,
1983,16, 0.186,283.97, 55.03, 30.12, 42.58,
1983,17, 0.235,286.65, 59.80, 27.28, 43.54,
1983,18, 0.286,288.29, 64.05, 27.63, 45.84,
1983,19, 0.333,289.84, 66.51, 27.24, 46.87,
1983,20, 0.373,290.78, 66.82, 31.98, 49.40,
1983,21, 0.404,290.89, 65.95, 40.62, 53.28,
1983,22, 0.419,290.61, 61.59, 48.13, 54.86,
1983,23, 0.406,289.58, 48.21, 59.44, 53.82,
1983,24, 0.393,288.79, 37.76, 65.05, 51.41,
1983,25, 0.378,288.64, 32.04, 60.56, 46.30,
1983,26, 0.366,288.34, 29.27, 56.62, 42.95,
1983,27, 0.363,288.58, 30.30, 54.04, 42.17,
1983,28, 0.367,289.13, 31.56, 54.02, 42.79,
1983,29, 0.390,290.28, 36.59, 52.24, 44.41,
1983,30, 0.407,291.10, 39.38, 53.06, 46.22,
1983,31, 0.414,291.86, 40.24, 51.83, 46.04,
1983,32, 0.421,292.55, 43.54, 47.56, 45.55,
1983,33, 0.422,292.77, 44.57, 46.56, 45.56,
1983,34, 0.419,292.75, 43.62, 46.26, 44.94,
1983,35, 0.410,292.21, 42.19, 47.53, 44.86,
1983,36, 0.388,290.57, 36.13, 60.01, 48.07,
1983,37, 0.384,289.57, 38.90, 62.37, 50.64,
1983,38, 0.381,289.01, 43.12, 56.55, 49.83,
1983,39, 0.370,288.19, 43.68, 54.98, 49.33,
1983,40, 0.348,286.96, 41.52, 59.03, 50.27,
1983,41, 0.320,285.28, 36.48, 68.10, 52.29,
1983,42, 0.286,283.81, 32.03, 65.96, 48.99,
1983,43, 0.245,282.45, 27.05, 62.32, 44.68,
1983,44, 0.205,280.74, 24.25, 57.81, 41.03,
1983,45, 0.173,278.66, 25.27, 53.43, 39.35,
1983,46, 0.144,275.97, 26.73, 52.96, 39.85,
1983,47, 0.119,272.84, 26.50, 56.54, 41.52,
1983,48, 0.096,269.13, 24.20, 62.98, 43.59,
1983,49, 0.077,265.42, 21.23, 71.90, 46.57,
1983,50, 0.067,262.26, 24.45, 73.35, 48.90,
1983,51, 0.064,260.29, 34.13, 73.78, 53.96,
1983,52, 0.060,258.50, 41.96, 74.25, 58.11,
1984, 1, 0.055,256.59, 48.84, 76.93, 62.88,
1984, 2, 0.052,254.63, 55.20, 82.21, 68.71,
1984, 3, 0.050,253.59, 60.59, 85.33, 72.96,
1984, 4, 0.047,253.79, 62.18, 85.36, 73.77,
1984, 5, 0.045,253.59, 58.86, 86.88, 72.87,
1984, 6, 0.044,253.94, 56.72, 87.56, 72.14,
1984, 7, 0.043,255.15, 55.28, 84.46, 69.87,
1984, 8, 0.042,256.24, 50.11, 81.69, 65.90,
1984, 9, 0.040,257.25, 38.89, 81.30, 60.09,
1984,10, 0.038,258.56, 29.31, 81.82, 55.56,
1984,11, 0.041,260.64, 22.45, 81.73, 52.09,
1984,12, 0.043,263.24, 14.85, 82.24, 48.55,
1984,13, 0.045,265.68,  9.56, 84.66, 47.11,
1984,14, 0.052,268.05,  6.47, 87.30, 46.88,
1984,15, 0.065,271.24,  4.73, 88.04, 46.39,
1984,16, 0.083,274.82,  4.26, 87.31, 45.79,
1984,17, 0.109,278.61,  4.29, 85.00, 44.65,
1984,18, 0.128,280.68,  3.34, 86.70, 45.02,
1984,19, 0.159,283.04,  3.55, 85.86, 44.71,
1984,20, 0.203,286.01,  4.62, 77.24, 40.93,
1984,21, 0.242,287.40,  5.54, 73.98, 39.76,
1984,22, 0.280,288.13,  8.01, 71.19, 39.60,
1984,23, 0.324,289.55, 15.00, 57.37, 36.18,
1984,24, 0.374,290.81, 30.17, 44.07, 37.12,
1984,25, 0.405,291.36, 42.29, 36.85, 39.57,
1984,26, 0.419,291.42, 49.08, 33.29, 41.18,
1984,27, 0.433,291.57, 55.96, 31.74, 43.85,
1984,28, 0.454,292.17, 63.72, 29.52, 46.62,
1984,29, 0.476,292.84, 69.68, 29.45, 49.56,
1984,30, 0.498,293.69, 75.44, 28.04, 51.74,
1984,31, 0.508,293.75, 77.78, 31.94, 54.86,
1984,32, 0.520,294.25, 82.63, 28.14, 55.38,
1984,33, 0.519,294.20, 81.95, 29.79, 55.87,
1984,34, 0.504,293.02, 77.10, 42.42, 59.76,
1984,35, 0.492,292.26, 74.29, 46.78, 60.53,
1984,36, 0.482,291.51, 73.13, 47.89, 60.51,
1984,37, 0.466,290.50, 71.72, 50.20, 60.96,
1984,38, 0.448,289.55, 70.34, 49.96, 60.15,
1984,39, 0.436,288.67, 72.15, 49.70, 60.92,
1984,40, 0.415,287.59, 72.67, 51.38, 62.02,
1984,41, 0.375,285.91, 65.18, 60.54, 62.86,
1984,42, 0.331,284.81, 56.04, 53.64, 54.84,
1984,43, 0.293,284.61, 54.30, 36.16, 45.23,
1984,44, 0.252,284.39, 51.12, 20.17, 35.64,
1984,45, 0.209,282.94, 45.92, 15.89, 30.90,
1984,46, 0.178,282.08, 46.65,  8.58, 27.62,
1984,47, 0.159,281.29, 52.28,  4.84, 28.56,
1984,48, 0.143,279.95, 57.40,  4.01, 30.71,
1984,49, 0.145,280.73, 72.06,  0.90, 36.48,
1984,50,-1.000, -1.00, -1.00, -1.00, -1.00,
1984,51,-1.000, -1.00, -1.00, -1.00, -1.00,
1984,52,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 1,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 2,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 3,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 4,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 5,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 6,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 7,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 8,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 9, 0.042,265.82, 36.55, 36.94, 36.75,
1985,10, 0.045,266.11, 33.66, 44.05, 38.86,
1985,11, 0.051,267.48, 29.59, 47.85, 38.72,
1985,12, 0.061,269.57, 28.67, 50.41, 39.54,
1985,13, 0.076,272.36, 31.59, 49.91, 40.75,
1985,14, 0.098,275.56, 35.58, 46.83, 41.20,
1985,15, 0.127,278.84, 39.63, 44.31, 41.97,
1985,16, 0.164,282.14, 44.06, 40.66, 42.36,
1985,17, 0.214,285.22, 50.18, 36.11, 43.15,
1985,18, 0.267,287.23, 56.31, 34.39, 45.35,
1985,19, 0.322,288.76, 62.23, 35.60, 48.91,
1985,20, 0.378,290.21, 68.65, 36.44, 52.55,
1985,21, 0.417,290.74, 71.01, 40.86, 55.93,
1985,22, 0.443,290.88, 70.92, 44.30, 57.61,
1985,23, 0.455,290.84, 67.89, 45.72, 56.81,
1985,24, 0.449,290.14, 60.56, 51.57, 56.07,
1985,25, 0.437,289.03, 54.64, 55.91, 55.28,
1985,26, 0.429,288.31, 52.25, 55.55, 53.90,
1985,27, 0.433,288.84, 54.87, 51.32, 53.09,
1985,28, 0.451,290.62, 61.01, 42.75, 51.88,
1985,29, 0.474,292.62, 67.45, 32.58, 50.01,
1985,30, 0.497,294.27, 73.51, 22.95, 48.23,
1985,31, 0.507,294.63, 75.91, 22.98, 49.45,
1985,32, 0.521,295.19, 81.54, 17.75, 49.65,
1985,33, 0.534,295.87, 86.70, 10.74, 48.72,
1985,34, 0.531,295.64, 86.88, 10.67, 48.77,
1985,35, 0.524,295.01, 85.98, 11.52, 48.75,
1985,36, 0.510,293.99, 83.50, 15.48, 49.49,
1985,37, 0.487,292.58, 79.35, 21.68, 50.51,
1985,38, 0.458,291.23, 73.56, 27.05, 50.31,
1985,39, 0.426,289.52, 66.59, 37.75, 52.17,
1985,40, 0.393,287.97, 61.11, 46.07, 53.59,
