Mean data for KAZ  Province= 7: North Kazakhstan,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.042,250.11, 54.87, 43.29, 49.08,
1982, 2, 0.043,249.79, 62.41, 37.54, 49.97,
1982, 3, 0.044,249.71, 71.63, 33.77, 52.70,
1982, 4, 0.043,250.24, 79.01, 31.03, 55.02,
1982, 5, 0.041,250.69, 81.65, 30.12, 55.89,
1982, 6, 0.038,251.20, 79.47, 31.58, 55.52,
1982, 7, 0.033,252.28, 73.94, 32.76, 53.35,
1982, 8, 0.028,253.97, 66.41, 31.59, 49.00,
1982, 9, 0.024,255.91, 58.27, 32.09, 45.18,
1982,10, 0.021,258.13, 51.22, 33.52, 42.37,
1982,11, 0.021,260.45, 46.21, 37.71, 41.96,
1982,12, 0.024,263.24, 41.85, 42.91, 42.38,
1982,13, 0.030,267.11, 37.13, 44.95, 41.04,
1982,14, 0.040,272.47, 35.75, 38.82, 37.28,
1982,15, 0.055,279.04, 37.52, 27.56, 32.54,
1982,16, 0.075,284.82, 38.17, 20.79, 29.48,
1982,17, 0.100,289.72, 40.24, 19.05, 29.64,
1982,18, 0.127,293.01, 40.47, 23.44, 31.96,
1982,19, 0.154,294.94, 39.84, 33.40, 36.62,
1982,20, 0.180,296.55, 37.61, 42.11, 39.86,
1982,21, 0.205,298.44, 37.80, 45.46, 41.63,
1982,22, 0.228,300.19, 38.13, 44.85, 41.49,
1982,23, 0.249,301.52, 37.55, 42.95, 40.25,
1982,24, 0.267,302.53, 36.18, 39.42, 37.80,
1982,25, 0.285,302.90, 36.40, 36.35, 36.37,
1982,26, 0.298,302.75, 35.83, 37.10, 36.46,
1982,27, 0.309,302.40, 36.25, 38.76, 37.51,
1982,28, 0.312,301.60, 35.87, 43.67, 39.77,
1982,29, 0.306,300.93, 34.12, 47.70, 40.91,
1982,30, 0.292,300.25, 32.04, 48.99, 40.52,
1982,31, 0.277,299.09, 30.28, 52.76, 41.52,
1982,32, 0.261,298.27, 30.03, 52.78, 41.40,
1982,33, 0.247,297.86, 31.33, 46.17, 38.75,
1982,34, 0.230,297.21, 32.41, 40.09, 36.25,
1982,35, 0.213,296.58, 33.95, 31.98, 32.97,
1982,36, 0.190,294.79, 33.13, 30.07, 31.60,
1982,37, 0.162,292.13, 29.50, 33.36, 31.43,
1982,38, 0.134,288.67, 24.12, 39.30, 31.71,
1982,39, 0.105,284.66, 16.48, 47.92, 32.20,
1982,40, 0.082,280.75, 11.43, 52.46, 31.95,
1982,41, 0.066,276.14,  8.17, 59.14, 33.65,
1982,42, 0.052,271.18,  5.50, 67.60, 36.55,
1982,43, 0.041,267.00,  3.67, 71.85, 37.76,
1982,44, 0.033,263.53,  3.16, 73.75, 38.45,
1982,45, 0.026,261.19,  2.90, 68.40, 35.65,
1982,46, 0.022,259.41,  3.66, 56.96, 30.31,
1982,47, 0.020,258.06,  5.87, 45.00, 25.43,
1982,48, 0.017,258.04,  6.59, 33.06, 19.83,
1982,49, 0.016,257.52,  7.14, 27.32, 17.23,
1982,50, 0.015,256.82,  5.07, 24.96, 15.01,
1982,51, 0.016,256.24,  5.36, 22.95, 14.16,
1982,52, 0.017,255.18,  6.14, 23.48, 14.81,
