Mean data for KHM  Province= 2: Batdâmbâng,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.383,296.88, 71.77, 59.10, 65.43,
1982, 2, 0.365,297.55, 68.71, 55.69, 62.20,
1982, 3, 0.344,298.03, 65.70, 56.56, 61.13,
1982, 4, 0.321,298.60, 61.47, 56.69, 59.08,
1982, 5, 0.293,299.18, 54.87, 57.85, 56.36,
1982, 6, 0.266,299.38, 48.79, 62.86, 55.82,
1982, 7, 0.249,299.82, 46.97, 64.27, 55.62,
1982, 8, 0.243,300.63, 48.03, 60.23, 54.13,
1982, 9, 0.239,300.80, 48.17, 60.40, 54.28,
1982,10, 0.241,301.02, 49.66, 58.53, 54.09,
1982,11, 0.248,301.11, 52.42, 55.45, 53.93,
1982,12, 0.252,300.57, 54.54, 55.40, 54.97,
1982,13, 0.263,299.66, 59.79, 56.22, 58.01,
1982,14, 0.276,298.48, 63.83, 57.49, 60.66,
1982,15, 0.290,297.53, 66.48, 56.73, 61.61,
1982,16, 0.307,296.95, 69.94, 52.31, 61.12,
1982,17, 0.320,296.22, 71.50, 47.57, 59.54,
1982,18, 0.328,295.40, 71.17, 43.13, 57.15,
1982,19, 0.325,293.91, 66.82, 42.41, 54.61,
1982,20, 0.325,292.97, 63.53, 40.47, 52.00,
1982,21, 0.329,292.14, 62.68, 38.86, 50.77,
1982,22, 0.326,290.57, 59.55, 43.21, 51.38,
1982,23, 0.329,289.96, 59.25, 42.83, 51.04,
1982,24, 0.324,289.19, 56.42, 44.69, 50.56,
1982,25, 0.311,287.80, 50.50, 52.12, 51.31,
1982,26, 0.301,286.95, 46.89, 55.24, 51.07,
1982,27, 0.290,286.32, 43.35, 55.48, 49.42,
1982,28, 0.272,285.35, 37.64, 59.15, 48.40,
1982,29, 0.256,284.18, 33.20, 61.58, 47.39,
1982,30, 0.237,282.42, 27.56, 68.16, 47.86,
1982,31, 0.223,281.66, 24.26, 68.55, 46.40,
1982,32, 0.203,280.79, 18.28, 69.61, 43.95,
