Mean data for KHM  Province= 6: Kâmpóng Thum,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.385,297.21, 58.62, 51.77, 55.20,
1982, 2, 0.383,297.80, 58.09, 50.93, 54.51,
1982, 3, 0.375,298.20, 56.32, 54.54, 55.43,
1982, 4, 0.366,298.71, 54.61, 53.75, 54.18,
1982, 5, 0.355,299.21, 52.69, 54.37, 53.53,
1982, 6, 0.338,299.37, 48.21, 60.33, 54.27,
1982, 7, 0.324,299.47, 45.29, 65.37, 55.33,
1982, 8, 0.313,299.77, 44.06, 65.65, 54.86,
1982, 9, 0.306,300.05, 45.02, 63.47, 54.24,
1982,10, 0.300,300.04, 45.46, 62.06, 53.76,
1982,11, 0.294,299.78, 46.38, 61.03, 53.70,
1982,12, 0.289,299.18, 47.99, 62.67, 55.33,
1982,13, 0.288,298.42, 51.03, 63.54, 57.28,
1982,14, 0.285,297.50, 51.81, 65.04, 58.42,
1982,15, 0.285,297.05, 52.31, 61.62, 56.97,
1982,16, 0.285,296.33, 50.53, 59.91, 55.22,
1982,17, 0.289,295.54, 50.34, 59.46, 54.90,
1982,18, 0.294,295.29, 50.65, 53.57, 52.11,
1982,19, 0.292,294.41, 47.02, 53.06, 50.04,
1982,20, 0.291,293.57, 44.25, 53.53, 48.89,
1982,21, 0.292,293.03, 43.30, 50.62, 46.96,
1982,22, 0.290,292.03, 40.93, 54.02, 47.47,
1982,23, 0.285,291.18, 37.63, 56.48, 47.05,
1982,24, 0.276,290.19, 33.28, 59.68, 46.48,
1982,25, 0.269,289.13, 29.77, 64.00, 46.89,
1982,26, 0.268,288.60, 29.37, 64.95, 47.16,
1982,27, 0.266,288.35, 29.24, 64.81, 47.02,
1982,28, 0.266,288.67, 29.94, 60.69, 45.31,
1982,29, 0.264,288.13, 31.20, 60.66, 45.93,
1982,30, 0.267,287.84, 35.63, 56.96, 46.30,
1982,31, 0.272,288.41, 40.70, 44.12, 42.41,
1982,32, 0.262,287.76, 39.81, 42.86, 41.34,
1982,33, 0.254,287.42, 38.70, 41.86, 40.28,
1982,34, 0.250,287.44, 39.07, 38.21, 38.64,
1982,35, 0.241,287.26, 36.55, 37.27, 36.91,
1982,36, 0.235,287.36, 34.50, 35.72, 35.11,
1982,37, 0.239,287.74, 36.10, 32.34, 34.22,
1982,38, 0.250,288.38, 40.22, 28.99, 34.61,
1982,39, 0.265,289.52, 45.62, 24.50, 35.06,
1982,40, 0.278,290.62, 48.59, 21.38, 34.98,
1982,41, 0.292,291.60, 51.79, 20.99, 36.39,
1982,42, 0.307,292.14, 55.63, 24.82, 40.22,
1982,43, 0.323,293.07, 60.59, 24.68, 42.64,
1982,44, 0.335,293.95, 62.60, 23.59, 43.09,
1982,45, 0.343,294.35, 60.92, 27.81, 44.36,
1982,46, 0.351,294.92, 58.81, 29.88, 44.34,
1982,47, 0.358,295.41, 57.82, 30.64, 44.23,
1982,48, 0.363,295.62, 56.67, 34.35, 45.51,
1982,49, 0.368,295.74, 56.32, 38.03, 47.18,
1982,50, 0.375,296.17, 56.82, 40.02, 48.42,
1982,51, 0.377,296.53, 57.31, 42.78, 50.05,
1982,52, 0.379,296.86, 57.68, 48.10, 52.89,
1983, 1, 0.378,297.33, 52.37, 51.50, 51.94,
1983, 2, 0.372,297.79, 50.64, 52.32, 51.48,
1983, 3, 0.364,298.38, 49.03, 52.23, 50.63,
1983, 4, 0.357,299.15, 48.73, 47.56, 48.15,
1983, 5, 0.345,299.82, 45.96, 45.70, 45.83,
1983, 6, 0.332,300.47, 43.64, 43.96, 43.80,
1983, 7, 0.319,301.06, 41.47, 41.24, 41.35,
1983, 8, 0.309,301.64, 40.95, 38.13, 39.54,
1983, 9, 0.301,302.17, 41.09, 34.30, 37.70,
1983,10, 0.289,302.39, 38.27, 33.74, 36.00,
1983,11, 0.277,302.71, 34.81, 29.70, 32.25,
1983,12, 0.267,303.08, 33.63, 22.64, 28.14,
1983,13, 0.260,303.32, 33.50, 14.62, 24.06,
1983,14, 0.251,302.79, 31.30, 12.32, 21.81,
1983,15, 0.244,301.69, 28.80, 13.84, 21.32,
1983,16, 0.245,300.29, 28.29, 18.02, 23.16,
1983,17, 0.254,299.03, 31.13, 21.15, 26.14,
1983,18, 0.267,298.06, 35.69, 22.13, 28.91,
1983,19, 0.281,296.95, 41.22, 23.18, 32.20,
1983,20, 0.296,296.22, 46.98, 22.84, 34.91,
1983,21, 0.309,295.69, 52.55, 20.49, 36.52,
1983,22, 0.319,295.11, 56.20, 19.52, 37.86,
1983,23, 0.326,294.45, 58.57, 21.04, 39.80,
1983,24, 0.328,293.58, 59.35, 24.68, 42.02,
1983,25, 0.331,293.07, 59.91, 24.92, 42.42,
1983,26, 0.329,292.62, 59.45, 25.25, 42.35,
1983,27, 0.318,291.42, 54.93, 34.04, 44.48,
1983,28, 0.307,290.49, 50.40, 42.09, 46.24,
1983,29, 0.297,289.72, 47.82, 45.23, 46.53,
1983,30, 0.283,288.61, 44.31, 49.63, 46.97,
1983,31, 0.270,287.73, 40.43, 49.36, 44.89,
1983,32, 0.255,286.52, 36.75, 50.99, 43.87,
1983,33, 0.252,286.22, 37.32, 48.87, 43.10,
1983,34, 0.260,287.12, 43.50, 39.73, 41.62,
1983,35, 0.270,287.88, 49.44, 33.38, 41.41,
1983,36, 0.276,288.41, 53.00, 29.66, 41.33,
1983,37, 0.271,288.14, 51.25, 30.48, 40.87,
1983,38, 0.264,287.72, 47.55, 32.97, 40.26,
1983,39, 0.262,287.20, 44.87, 36.38, 40.62,
1983,40, 0.261,286.59, 41.95, 42.25, 42.10,
1983,41, 0.273,287.12, 43.86, 44.82, 44.34,
1983,42, 0.292,288.26, 49.47, 44.34, 46.90,
1983,43, 0.306,289.21, 54.12, 44.61, 49.36,
1983,44, 0.319,290.17, 57.00, 44.52, 50.76,
1983,45, 0.328,290.55, 55.86, 52.52, 54.19,
1983,46, 0.337,291.31, 54.27, 57.76, 56.01,
1983,47, 0.349,292.67, 56.12, 53.83, 54.98,
1983,48, 0.358,293.61, 57.18, 52.73, 54.96,
1983,49, 0.365,294.24, 57.50, 52.43, 54.97,
1983,50, 0.372,294.75, 57.56, 55.50, 56.53,
1983,51, 0.379,295.36, 60.35, 57.03, 58.69,
1983,52, 0.384,295.83, 63.18, 61.83, 62.51,
1984, 1, 0.384,296.23, 58.95, 67.34, 63.15,
1984, 2, 0.382,296.68, 58.38, 68.98, 63.68,
1984, 3, 0.376,297.25, 58.46, 69.63, 64.04,
1984, 4, 0.367,297.83, 56.37, 67.15, 61.76,
1984, 5, 0.361,298.58, 57.12, 63.56, 60.34,
1984, 6, 0.356,299.12, 59.83, 63.52, 61.68,
1984, 7, 0.349,299.73, 61.43, 60.36, 60.90,
1984, 8, 0.344,300.46, 63.33, 54.39, 58.86,
1984, 9, 0.337,300.73, 64.22, 52.88, 58.55,
1984,10, 0.332,300.72, 65.34, 52.92, 59.13,
1984,11, 0.329,300.58, 68.05, 51.73, 59.89,
1984,12, 0.323,300.03, 68.70, 53.27, 60.98,
1984,13, 0.320,299.15, 69.30, 55.61, 62.45,
1984,14, 0.319,298.22, 70.06, 57.43, 63.74,
1984,15, 0.321,297.32, 71.06, 58.75, 64.91,
1984,16, 0.328,296.66, 73.12, 56.40, 64.76,
1984,17, 0.335,295.75, 74.69, 57.17, 65.93,
1984,18, 0.341,294.71, 75.74, 59.85, 67.79,
1984,19, 0.344,293.53, 74.76, 62.57, 68.66,
1984,20, 0.348,292.82, 74.38, 61.44, 67.91,
1984,21, 0.348,291.89, 72.89, 62.45, 67.67,
1984,22, 0.347,291.13, 71.13, 62.93, 67.03,
1984,23, 0.349,290.75, 70.39, 60.46, 65.43,
1984,24, 0.349,290.19, 69.56, 59.53, 64.54,
1984,25, 0.345,289.61, 67.09, 59.46, 63.28,
1984,26, 0.339,289.06, 64.08, 59.85, 61.96,
1984,27, 0.330,288.56, 60.89, 61.22, 61.06,
1984,28, 0.323,288.26, 57.99, 62.04, 60.01,
1984,29, 0.308,287.24, 52.86, 64.84, 58.85,
1984,30, 0.293,286.13, 48.23, 66.85, 57.54,
1984,31, 0.276,285.05, 42.51, 65.73, 54.12,
1984,32, 0.261,283.67, 39.10, 66.17, 52.64,
1984,33, 0.258,283.14, 40.63, 63.15, 51.89,
1984,34, 0.257,283.09, 43.00, 57.73, 50.37,
1984,35, 0.259,283.26, 45.86, 52.46, 49.16,
1984,36, 0.265,283.57, 49.19, 47.42, 48.30,
1984,37, 0.265,282.85, 49.23, 47.88, 48.56,
1984,38, 0.273,283.21, 51.83, 44.84, 48.33,
1984,39, 0.282,284.19, 54.81, 41.29, 48.05,
1984,40, 0.289,285.22, 55.28, 40.39, 47.84,
1984,41, 0.293,286.13, 54.13, 43.92, 49.02,
1984,42, 0.294,286.91, 51.37, 50.57, 50.97,
1984,43, 0.301,288.28, 51.49, 51.15, 51.32,
1984,44, 0.306,289.74, 49.52, 51.29, 50.41,
1984,45, 0.313,290.83, 47.16, 54.44, 50.80,
1984,46, 0.317,291.78, 43.33, 57.35, 50.34,
1984,47, 0.319,292.33, 38.88, 60.90, 49.89,
1984,48, 0.315,292.43, 33.35, 68.04, 50.70,
1984,49, 0.311,292.63, 28.58, 71.14, 49.86,
1984,50,-1.000, -1.00, -1.00, -1.00, -1.00,
1984,51,-1.000, -1.00, -1.00, -1.00, -1.00,
1984,52,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 1,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 2,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 3,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 4,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 5,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 6,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 7,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 8,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 9, 0.272,296.35, 26.72, 90.70, 58.71,
1985,10, 0.279,297.24, 34.09, 84.33, 59.21,
1985,11, 0.282,298.39, 38.90, 72.75, 55.83,
1985,12, 0.281,299.18, 42.46, 62.28, 52.37,
1985,13, 0.277,299.56, 43.77, 52.53, 48.15,
1985,14, 0.273,299.08, 43.59, 49.85, 46.72,
1985,15, 0.271,298.20, 43.07, 50.59, 46.83,
1985,16, 0.276,297.24, 44.06, 50.91, 47.49,
1985,17, 0.286,296.19, 47.21, 52.62, 49.92,
1985,18, 0.295,295.02, 49.22, 56.27, 52.75,
1985,19, 0.305,293.97, 52.21, 57.51, 54.86,
1985,20, 0.315,293.34, 55.50, 55.92, 55.71,
1985,21, 0.327,292.84, 60.44, 52.43, 56.44,
1985,22, 0.333,291.93, 62.59, 54.51, 58.55,
1985,23, 0.333,290.67, 61.90, 61.30, 61.60,
1985,24, 0.336,289.99, 63.25, 61.35, 62.30,
1985,25, 0.336,289.59, 63.36, 59.37, 61.37,
1985,26, 0.339,289.67, 65.14, 54.43, 59.79,
1985,27, 0.345,290.31, 68.75, 45.56, 57.15,
1985,28, 0.351,291.06, 72.30, 36.72, 54.51,
1985,29, 0.351,291.20, 73.93, 31.13, 52.53,
1985,30, 0.340,290.40, 71.70, 33.42, 52.56,
1985,31, 0.329,289.66, 68.72, 33.44, 51.08,
1985,32, 0.322,289.38, 68.20, 30.48, 49.34,
1985,33, 0.315,288.93, 66.21, 30.83, 48.52,
1985,34, 0.306,288.35, 63.64, 31.49, 47.56,
1985,35, 0.298,287.83, 61.31, 32.68, 46.99,
1985,36, 0.297,287.74, 61.63, 31.74, 46.68,
1985,37, 0.301,287.99, 63.05, 28.53, 45.79,
1985,38, 0.303,288.14, 62.79, 27.85, 45.32,
