Mean data for KHM  Province= 19: Prey Vêng,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.233,297.29, 65.55, 40.87, 53.21,
1982, 2, 0.228,298.07, 62.90, 41.96, 52.43,
1982, 3, 0.219,298.23, 58.51, 52.73, 55.62,
1982, 4, 0.212,298.65, 56.90, 58.69, 57.80,
1982, 5, 0.204,299.12, 54.96, 62.72, 58.84,
1982, 6, 0.191,298.89, 50.40, 71.60, 61.00,
1982, 7, 0.179,298.85, 47.23, 76.88, 62.06,
1982, 8, 0.171,299.11, 47.37, 77.37, 62.37,
1982, 9, 0.165,299.29, 49.45, 77.15, 63.30,
1982,10, 0.160,299.29, 51.55, 75.05, 63.30,
1982,11, 0.156,299.19, 52.80, 73.15, 62.98,
1982,12, 0.152,298.83, 53.45, 73.07, 63.26,
1982,13, 0.151,297.92, 56.15, 72.75, 64.45,
1982,14, 0.152,297.01, 58.74, 70.12, 64.43,
1982,15, 0.156,296.83, 61.95, 60.94, 61.44,
1982,16, 0.160,296.39, 64.57, 53.38, 58.97,
1982,17, 0.163,295.44, 65.65, 51.41, 58.53,
1982,18, 0.162,294.69, 63.71, 47.34, 55.52,
1982,19, 0.159,293.65, 58.75, 44.10, 51.42,
1982,20, 0.156,292.87, 52.89, 42.20, 47.54,
1982,21, 0.153,291.76, 49.33, 42.73, 46.03,
1982,22, 0.149,290.25, 46.30, 46.51, 46.40,
1982,23, 0.145,289.27, 44.22, 47.90, 46.06,
1982,24, 0.140,288.24, 40.86, 50.13, 45.49,
1982,25, 0.128,286.98, 33.72, 53.50, 43.61,
1982,26, 0.118,285.96, 27.91, 55.79, 41.85,
1982,27, 0.111,285.80, 25.06, 53.33, 39.20,
1982,28, 0.109,286.20, 24.95, 48.64, 36.80,
1982,29, 0.110,286.14, 26.46, 44.59, 35.53,
1982,30, 0.110,286.12, 29.33, 38.24, 33.79,
1982,31, 0.111,286.56, 32.81, 30.57, 31.69,
1982,32, 0.107,286.37, 33.41, 24.54, 28.97,
1982,33, 0.102,285.75, 31.85, 22.41, 27.13,
1982,34, 0.095,284.85, 28.70, 22.95, 25.82,
1982,35, 0.089,283.83, 26.02, 24.59, 25.30,
1982,36, 0.091,283.84, 26.59, 25.23, 25.91,
1982,37, 0.098,284.63, 29.16, 24.66, 26.91,
1982,38, 0.109,285.97, 32.66, 22.15, 27.40,
1982,39, 0.122,287.86, 36.22, 18.26, 27.24,
1982,40, 0.137,289.58, 39.90, 15.12, 27.51,
1982,41, 0.153,290.65, 42.37, 15.46, 28.92,
1982,42, 0.170,291.62, 44.61, 15.32, 29.96,
1982,43, 0.189,292.67, 48.13, 14.03, 31.08,
1982,44, 0.207,293.50, 51.46, 13.70, 32.58,
1982,45, 0.220,294.03, 54.74, 14.85, 34.79,
1982,46, 0.229,294.39, 55.49, 17.82, 36.65,
1982,47, 0.232,294.68, 53.04, 22.42, 37.73,
1982,48, 0.235,295.12, 51.87, 26.23, 39.05,
1982,49, 0.237,295.63, 53.14, 27.35, 40.24,
1982,50, 0.236,296.30, 56.81, 27.50, 42.16,
1982,51, 0.231,296.84, 55.73, 28.55, 42.14,
1982,52, 0.222,297.36, 51.69, 30.81, 41.25,
1983, 1, 0.212,297.85, 45.47, 35.65, 40.56,
1983, 2, 0.202,298.48, 41.09, 38.11, 39.60,
1983, 3, 0.192,299.02, 36.67, 44.68, 40.67,
1983, 4, 0.184,299.89, 36.42, 46.00, 41.21,
1983, 5, 0.176,300.78, 35.92, 45.88, 40.90,
1983, 6, 0.167,301.36, 33.86, 46.95, 40.40,
1983, 7, 0.156,301.79, 31.07, 47.63, 39.35,
1983, 8, 0.146,302.32, 29.31, 45.02, 37.17,
