Mean data for LKA  Province= 2: Anuradhapura,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.432,296.61, 87.59,  5.33, 46.46,
1982, 2, 0.428,297.19, 84.57,  5.88, 45.22,
1982, 3, 0.428,298.11, 81.80,  5.46, 43.63,
1982, 4, 0.433,299.55, 81.04,  2.13, 41.58,
1982, 5, 0.430,300.66, 78.23,  1.53, 39.88,
1982, 6, 0.421,301.48, 74.04,  2.52, 38.28,
1982, 7, 0.412,302.35, 68.90,  2.85, 35.87,
1982, 8, 0.401,303.10, 58.76,  3.63, 31.20,
1982, 9, 0.385,303.51, 45.07,  5.52, 25.30,
1982,10, 0.368,303.37, 35.08, 10.73, 22.90,
1982,11, 0.352,302.97, 30.80, 17.00, 23.90,
1982,12, 0.346,302.64, 30.92, 19.89, 25.40,
1982,13, 0.343,301.99, 32.36, 22.66, 27.51,
1982,14, 0.341,300.89, 34.80, 31.12, 32.96,
1982,15, 0.345,299.85, 41.08, 36.40, 38.74,
1982,16, 0.352,299.00, 48.28, 36.59, 42.43,
1982,17, 0.362,298.07, 53.49, 36.86, 45.17,
1982,18, 0.364,296.78, 52.66, 43.28, 47.97,
1982,19, 0.364,295.49, 47.81, 58.17, 52.99,
1982,20, 0.367,294.57, 48.57, 63.33, 55.95,
1982,21, 0.365,293.90, 49.67, 65.11, 57.39,
1982,22, 0.357,293.47, 50.33, 63.14, 56.73,
1982,23, 0.348,293.24, 51.18, 61.18, 56.18,
1982,24, 0.338,293.35, 50.54, 58.14, 54.34,
1982,25, 0.335,294.16, 53.61, 48.88, 51.24,
1982,26, 0.325,294.78, 53.00, 40.88, 46.94,
1982,27, 0.308,294.91, 47.58, 38.83, 43.20,
1982,28, 0.292,295.15, 42.80, 38.24, 40.52,
1982,29, 0.278,295.58, 39.44, 36.11, 37.78,
1982,30, 0.267,295.98, 38.13, 32.53, 35.33,
1982,31, 0.249,296.12, 32.96, 27.72, 30.34,
1982,32, 0.231,296.03, 27.24, 30.59, 28.92,
1982,33, 0.225,296.63, 26.19, 28.73, 27.46,
1982,34, 0.218,296.86, 24.73, 27.96, 26.35,
1982,35, 0.207,296.55, 21.84, 29.58, 25.71,
1982,36, 0.199,296.02, 19.62, 32.65, 26.14,
1982,37, 0.184,294.08, 13.19, 48.71, 30.95,
1982,38, 0.179,292.54, 10.49, 59.63, 35.06,
1982,39, 0.180,291.87,  9.92, 59.85, 34.88,
1982,40, 0.173,290.15,  7.78, 65.05, 36.42,
1982,41, 0.172,288.72,  7.23, 70.58, 38.90,
1982,42, 0.183,288.33,  8.39, 71.35, 39.87,
1982,43, 0.204,288.84, 13.19, 63.03, 38.11,
1982,44, 0.218,288.44, 15.93, 62.34, 39.13,
1982,45, 0.220,287.71, 12.93, 60.07, 36.50,
1982,46, 0.229,287.95, 14.45, 47.45, 30.95,
1982,47, 0.242,288.55, 19.74, 38.32, 29.03,
1982,48, 0.251,288.79, 22.13, 34.39, 28.26,
1982,49, 0.269,289.35, 28.01, 36.06, 32.03,
1982,50, 0.294,289.57, 41.05, 48.13, 44.59,
1982,51, 0.329,291.16, 55.84, 34.04, 44.94,
1982,52, 0.356,293.23, 64.38, 23.81, 44.09,
1983, 1, 0.364,294.00, 66.24, 21.02, 43.63,
1983, 2, 0.377,294.77, 68.08, 20.50, 44.29,
1983, 3, 0.395,296.33, 70.40, 16.65, 43.53,
1983, 4, 0.410,298.01, 72.02, 11.78, 41.90,
1983, 5, 0.413,298.77, 71.37, 11.85, 41.61,
1983, 6, 0.406,299.50, 68.10, 12.64, 40.37,
1983, 7, 0.406,300.71, 66.65, 11.28, 38.96,
1983, 8, 0.398,301.42, 57.63, 13.44, 35.53,
1983, 9, 0.383,301.92, 44.05, 16.40, 30.22,
1983,10, 0.370,302.45, 36.92, 18.02, 27.47,
1983,11, 0.361,303.01, 37.04, 16.90, 26.97,
1983,12, 0.349,303.21, 33.04, 15.41, 24.23,
1983,13, 0.336,303.17, 27.49, 11.56, 19.52,
1983,14, 0.325,302.88, 24.78,  9.74, 17.26,
1983,15, 0.315,302.35, 22.72,  8.53, 15.63,
1983,16, 0.307,301.46, 21.34,  8.43, 14.88,
1983,17, 0.303,300.30, 19.13,  9.94, 14.53,
1983,18, 0.305,298.84, 17.21, 16.33, 16.77,
1983,19, 0.316,297.97, 18.75, 23.85, 21.30,
1983,20, 0.336,297.78, 30.10, 22.02, 26.06,
1983,21, 0.342,297.09, 36.31, 25.39, 30.85,
1983,22, 0.336,296.32, 38.92, 28.89, 33.90,
1983,23, 0.322,295.34, 36.65, 36.30, 36.48,
1983,24, 0.310,294.70, 34.93, 41.78, 38.36,
1983,25, 0.298,294.76, 33.51, 41.33, 37.42,
1983,26, 0.288,295.20, 32.28, 35.26, 33.77,
1983,27, 0.273,294.70, 27.59, 40.98, 34.29,
1983,28, 0.258,294.12, 22.87, 49.83, 36.35,
1983,29, 0.246,293.69, 21.36, 55.59, 38.47,
1983,30, 0.231,292.70, 18.50, 64.53, 41.52,
1983,31, 0.220,291.75, 17.64, 70.67, 44.16,
1983,32, 0.213,291.68, 17.81, 70.84, 44.32,
1983,33, 0.215,292.71, 20.29, 66.31, 43.30,
1983,34, 0.211,292.84, 20.54, 67.78, 44.16,
1983,35, 0.202,291.60, 18.64, 76.86, 47.75,
1983,36, 0.197,290.80, 18.12, 81.54, 49.83,
1983,37, 0.199,291.07, 19.70, 76.64, 48.17,
1983,38, 0.200,291.35, 20.02, 70.52, 45.27,
1983,39, 0.208,292.50, 22.54, 55.70, 39.12,
1983,40, 0.207,292.28, 22.58, 50.48, 36.53,
1983,41, 0.207,291.93, 21.51, 49.27, 35.39,
1983,42, 0.210,291.24, 19.84, 51.61, 35.72,
1983,43, 0.209,289.03, 15.19, 60.85, 38.02,
1983,44, 0.217,288.20, 15.59, 63.06, 39.33,
1983,45, 0.241,289.83, 22.27, 46.16, 34.21,
1983,46, 0.263,291.29, 29.33, 29.26, 29.29,
1983,47, 0.276,291.53, 34.05, 23.64, 28.84,
1983,48, 0.281,290.54, 34.43, 26.45, 30.44,
1983,49, 0.287,290.46, 34.87, 30.45, 32.66,
1983,50, 0.287,289.87, 38.30, 46.10, 42.20,
1983,51, 0.283,288.29, 40.10, 51.21, 45.65,
1983,52, 0.295,288.28, 44.60, 52.87, 48.74,
1984, 1, 0.313,288.99, 50.22, 49.83, 50.03,
1984, 2, 0.319,288.62, 49.89, 55.30, 52.59,
1984, 3, 0.304,286.97, 39.49, 71.53, 55.51,
1984, 4, 0.283,284.71, 23.76, 89.93, 56.85,
1984, 5, 0.253,281.50,  9.64, 98.63, 54.14,
1984, 6, 0.245,280.80,  5.74, 99.51, 52.63,
1984, 7, 0.257,281.94,  4.28, 99.82, 52.05,
1984, 8, 0.295,285.34,  6.61, 99.97, 53.29,
1984, 9, 0.341,288.97, 18.41,100.00, 59.21,
1984,10, 0.375,291.59, 39.75, 99.81, 69.78,
1984,11, 0.395,293.23, 57.93, 98.63, 78.28,
1984,12, 0.408,293.99, 71.60, 96.99, 84.29,
1984,13, 0.418,294.82, 80.85, 93.85, 87.35,
1984,14, 0.425,295.71, 87.00, 87.50, 87.25,
1984,15, 0.421,295.56, 86.57, 83.80, 85.19,
1984,16, 0.416,295.36, 86.07, 77.56, 81.82,
1984,17, 0.415,295.50, 84.32, 68.21, 76.27,
1984,18, 0.402,295.17, 75.10, 65.59, 70.34,
1984,19, 0.388,294.59, 62.16, 73.19, 67.67,
1984,20, 0.373,294.32, 51.34, 69.52, 60.43,
1984,21, 0.363,294.25, 48.02, 63.30, 55.66,
1984,22, 0.350,293.71, 46.17, 62.18, 54.18,
1984,23, 0.345,293.84, 49.55, 54.95, 52.25,
1984,24, 0.348,294.27, 56.17, 46.80, 51.48,
1984,25, 0.343,294.11, 58.74, 48.70, 53.72,
1984,26, 0.326,293.33, 54.14, 57.27, 55.70,
1984,27, 0.310,292.49, 48.64, 65.94, 57.29,
1984,28, 0.299,291.86, 46.71, 74.59, 60.65,
1984,29, 0.294,291.65, 48.81, 77.58, 63.20,
1984,30, 0.292,291.90, 51.14, 73.64, 62.39,
1984,31, 0.294,292.54, 55.91, 64.87, 60.39,
1984,32, 0.292,292.07, 57.65, 71.13, 64.39,
1984,33, 0.283,291.68, 53.97, 78.19, 66.08,
1984,34, 0.278,292.43, 52.67, 72.70, 62.68,
1984,35, 0.274,293.03, 53.33, 63.85, 58.59,
1984,36, 0.269,293.54, 52.20, 56.57, 54.38,
1984,37, 0.265,293.43, 49.65, 55.15, 52.40,
1984,38, 0.264,292.75, 47.64, 57.77, 52.70,
1984,39, 0.270,292.24, 49.03, 56.55, 52.79,
1984,40, 0.280,291.66, 52.79, 54.01, 53.40,
1984,41, 0.300,291.14, 59.41, 54.31, 56.86,
1984,42, 0.316,290.58, 63.81, 56.30, 60.05,
1984,43, 0.321,289.95, 64.55, 56.24, 60.39,
1984,44, 0.312,288.17, 57.91, 64.09, 61.00,
1984,45, 0.273,282.61, 36.21, 89.31, 62.76,
1984,46, 0.239,277.62, 18.65, 95.77, 57.21,
