Mean data for MMR  Province= ,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.342,297.71, 37.31, 85.03, 61.17,
1982, 2, 0.322,298.56, 34.67, 82.02, 58.34,
1982, 3, 0.307,299.47, 32.83, 78.44, 55.64,
1982, 4, 0.296,300.57, 32.80, 74.13, 53.47,
1982, 5, 0.285,301.56, 32.90, 69.93, 51.41,
1982, 6, 0.276,302.32, 33.93, 68.73, 51.33,
1982, 7, 0.271,302.93, 36.12, 69.70, 52.91,
1982, 8, 0.267,303.55, 38.44, 68.80, 53.62,
1982, 9, 0.262,304.17, 41.17, 66.05, 53.61,
1982,10, 0.253,304.53, 41.96, 65.78, 53.87,
1982,11, 0.243,304.62, 42.71, 67.60, 55.15,
1982,12, 0.234,304.62, 45.00, 69.25, 57.13,
1982,13, 0.224,304.29, 46.19, 70.36, 58.27,
1982,14, 0.209,302.87, 43.43, 78.54, 60.99,
1982,15, 0.198,302.09, 40.97, 79.82, 60.39,
1982,16, 0.194,301.94, 40.73, 73.95, 57.34,
1982,17, 0.191,300.30, 37.24, 77.81, 57.53,
1982,18, 0.189,298.52, 32.09, 77.50, 54.80,
1982,19, 0.193,296.81, 30.13, 76.17, 53.15,
1982,20, 0.200,294.56, 24.65, 80.32, 52.49,
1982,21, 0.212,292.44, 22.68, 84.74, 53.71,
1982,22, 0.228,290.93, 20.38, 86.73, 53.56,
1982,23, 0.250,290.46, 20.33, 84.92, 52.63,
1982,24, 0.282,291.06, 23.18, 79.55, 51.36,
1982,25, 0.317,291.81, 27.86, 73.85, 50.85,
1982,26, 0.345,292.64, 32.38, 67.91, 50.15,
1982,27, 0.363,292.66, 34.49, 66.05, 50.27,
1982,28, 0.371,293.65, 34.53, 55.36, 44.94,
1982,29, 0.376,294.88, 33.32, 45.90, 39.61,
1982,30, 0.372,294.71, 29.53, 50.12, 39.83,
1982,31, 0.367,294.89, 27.04, 48.39, 37.72,
1982,32, 0.367,295.56, 28.66, 39.68, 34.17,
1982,33, 0.359,295.67, 27.10, 37.67, 32.38,
1982,34, 0.353,295.72, 25.89, 36.41, 31.15,
1982,35, 0.354,295.67, 26.61, 33.09, 29.85,
1982,36, 0.348,295.02, 25.96, 33.22, 29.59,
1982,37, 0.347,294.42, 26.72, 34.10, 30.41,
