Mean data for MMR  Province= 2: Bago,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.440,297.29, 66.32, 85.34, 75.83,
1982, 2, 0.433,298.02, 65.50, 81.67, 73.59,
1982, 3, 0.422,298.60, 63.80, 80.58, 72.19,
1982, 4, 0.410,299.29, 62.17, 78.33, 70.25,
1982, 5, 0.397,300.14, 61.44, 74.77, 68.10,
1982, 6, 0.387,301.09, 62.53, 71.44, 66.98,
1982, 7, 0.375,302.03, 63.24, 69.06, 66.15,
1982, 8, 0.360,302.99, 62.93, 66.68, 64.81,
1982, 9, 0.345,304.03, 62.06, 62.34, 62.20,
1982,10, 0.328,304.93, 60.81, 57.39, 59.10,
1982,11, 0.310,305.33, 59.28, 56.88, 58.08,
1982,12, 0.295,305.46, 59.48, 57.59, 58.54,
1982,13, 0.280,305.35, 59.20, 57.17, 58.19,
1982,14, 0.265,304.49, 56.85, 61.30, 59.08,
1982,15, 0.251,303.26, 52.83, 63.46, 58.14,
1982,16, 0.241,302.04, 48.69, 62.37, 55.53,
1982,17, 0.236,300.57, 46.50, 61.21, 53.86,
1982,18, 0.227,298.27, 42.76, 61.04, 51.90,
1982,19, 0.217,295.74, 39.35, 60.81, 50.08,
1982,20, 0.206,292.91, 36.41, 59.06, 47.74,
1982,21, 0.194,290.04, 33.97, 55.94, 44.95,
1982,22, 0.175,286.63, 28.28, 56.01, 42.14,
1982,23, 0.151,283.16, 20.90, 56.55, 38.73,
1982,24, 0.134,280.58, 16.88, 55.63, 36.25,
1982,25, 0.133,279.79, 17.84, 50.83, 34.33,
1982,26, 0.133,279.47, 19.04, 46.14, 32.59,
1982,27, 0.134,279.63, 20.19, 42.34, 31.27,
1982,28, 0.135,279.77, 20.16, 40.39, 30.28,
1982,29, 0.138,279.97, 20.90, 39.77, 30.34,
1982,30, 0.138,279.51, 18.79, 42.70, 30.74,
1982,31, 0.137,278.94, 15.72, 46.21, 30.96,
1982,32, 0.136,278.72, 12.54, 50.94, 31.74,
1982,33, 0.152,279.75, 12.75, 52.83, 32.79,
1982,34, 0.183,281.68, 15.88, 50.83, 33.36,
1982,35, 0.215,283.34, 19.25, 50.80, 35.03,
1982,36, 0.246,284.84, 21.86, 53.57, 37.71,
1982,37, 0.276,286.26, 24.14, 57.19, 40.67,
1982,38, 0.311,287.96, 28.90, 56.96, 42.93,
1982,39, 0.346,289.59, 34.51, 55.63, 45.07,
1982,40, 0.378,291.30, 41.06, 50.16, 45.61,
1982,41, 0.408,293.05, 49.05, 40.64, 44.84,
