Mean data for MMR  Province= 11: Sagaing,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.443,293.70, 59.58, 59.99, 59.78,
1982, 2, 0.433,294.04, 57.71, 60.04, 58.87,
1982, 3, 0.423,294.40, 56.99, 62.19, 59.59,
1982, 4, 0.412,294.86, 56.87, 63.93, 60.40,
1982, 5, 0.402,295.49, 58.14, 64.57, 61.36,
1982, 6, 0.391,296.19, 59.42, 64.91, 62.16,
1982, 7, 0.377,296.96, 59.45, 64.81, 62.13,
1982, 8, 0.365,297.87, 61.05, 61.73, 61.39,
1982, 9, 0.351,298.71, 63.55, 59.11, 61.33,
1982,10, 0.338,299.41, 66.14, 57.78, 61.96,
1982,11, 0.323,299.96, 65.69, 57.23, 61.46,
1982,12, 0.306,300.22, 63.01, 59.72, 61.36,
1982,13, 0.289,300.13, 58.42, 63.28, 60.85,
1982,14, 0.276,300.00, 54.01, 64.12, 59.07,
1982,15, 0.264,299.60, 48.30, 65.60, 56.95,
1982,16, 0.258,299.14, 44.13, 64.13, 54.13,
1982,17, 0.255,298.92, 41.00, 55.75, 48.37,
1982,18, 0.250,298.54, 36.19, 47.55, 41.87,
1982,19, 0.242,297.86, 31.07, 42.59, 36.83,
1982,20, 0.232,296.41, 28.31, 43.98, 36.14,
1982,21, 0.221,294.45, 26.00, 48.42, 37.21,
1982,22, 0.209,292.14, 23.80, 53.53, 38.66,
1982,23, 0.200,290.14, 23.17, 53.87, 38.52,
1982,24, 0.195,288.68, 23.65, 51.75, 37.70,
1982,25, 0.199,287.84, 26.42, 47.20, 36.81,
1982,26, 0.208,287.43, 31.18, 40.18, 35.68,
1982,27, 0.218,287.26, 35.73, 33.51, 34.62,
1982,28, 0.227,286.96, 39.19, 31.22, 35.20,
1982,29, 0.245,287.22, 45.20, 28.91, 37.05,
1982,30, 0.260,287.62, 48.06, 27.52, 37.79,
1982,31, 0.275,288.28, 49.99, 25.58, 37.79,
1982,32, 0.288,288.89, 51.04, 25.76, 38.40,
1982,33, 0.305,289.50, 52.98, 26.46, 39.72,
1982,34, 0.329,290.69, 58.36, 21.75, 40.06,
1982,35, 0.350,291.62, 63.66, 16.89, 40.28,
1982,36, 0.365,292.19, 65.32, 15.76, 40.54,
1982,37, 0.376,292.53, 64.15, 19.25, 41.70,
1982,38, 0.385,292.82, 61.63, 24.98, 43.30,
1982,39, 0.399,293.33, 61.23, 26.99, 44.11,
1982,40, 0.415,293.80, 61.62, 28.10, 44.86,
1982,41, 0.433,294.26, 62.75, 31.18, 46.96,
1982,42, 0.449,294.63, 60.85, 34.86, 47.86,
1982,43, 0.454,294.58, 57.70, 43.65, 50.67,
1982,44, 0.455,294.44, 53.10, 52.19, 52.65,
1982,45, 0.452,294.05, 48.62, 65.05, 56.83,
1982,46, 0.448,293.88, 44.58, 71.38, 57.98,
1982,47, 0.447,294.11, 44.26, 65.82, 55.04,
1982,48, 0.443,294.12, 44.90, 62.20, 53.55,
1982,49, 0.438,294.05, 44.35, 61.20, 52.77,
1982,50, 0.432,293.89, 45.70, 63.07, 54.39,
1982,51, 0.429,293.75, 47.28, 62.29, 54.79,
1982,52, 0.428,293.77, 50.61, 60.99, 55.80,
1983, 1, 0.424,293.94, 50.26, 60.10, 55.18,
1983, 2, 0.418,294.10, 51.62, 61.91, 56.76,
1983, 3, 0.408,294.34, 51.47, 65.37, 58.42,
1983, 4, 0.395,294.58, 49.76, 70.24, 60.00,
1983, 5, 0.379,294.91, 47.63, 75.23, 61.43,
1983, 6, 0.364,295.43, 46.06, 77.78, 61.92,
1983, 7, 0.345,295.96, 42.79, 80.22, 61.51,
1983, 8, 0.326,296.44, 40.06, 82.51, 61.28,
1983, 9, 0.308,297.01, 39.30, 82.98, 61.14,
1983,10, 0.292,297.66, 39.22, 81.04, 60.13,
1983,11, 0.276,298.06, 38.24, 81.37, 59.81,
1983,12, 0.268,298.56, 38.59, 81.11, 59.85,
1983,13, 0.263,299.00, 39.88, 78.47, 59.17,
1983,14, 0.262,299.37, 41.46, 72.96, 57.21,
1983,15, 0.259,299.32, 41.70, 69.33, 55.51,
1983,16, 0.260,299.09, 42.34, 65.28, 53.81,
1983,17, 0.265,298.81, 43.99, 57.61, 50.80,
1983,18, 0.269,298.28, 45.02, 50.09, 47.55,
1983,19, 0.276,297.99, 48.52, 40.92, 44.72,
1983,20, 0.283,297.59, 53.18, 33.05, 43.11,
1983,21, 0.290,296.72, 56.97, 29.95, 43.46,
1983,22, 0.294,295.57, 59.83, 28.24, 44.03,
1983,23, 0.289,293.63, 59.86, 29.55, 44.70,
1983,24, 0.282,291.83, 59.08, 30.41, 44.75,
1983,25, 0.279,290.93, 59.06, 26.58, 42.82,
1983,26, 0.274,289.83, 58.03, 23.98, 41.00,
1983,27, 0.261,288.20, 53.38, 26.88, 40.13,
1983,28, 0.248,286.68, 47.41, 32.42, 39.92,
1983,29, 0.242,285.80, 43.32, 36.23, 39.77,
1983,30, 0.237,284.87, 38.68, 42.56, 40.62,
1983,31, 0.231,283.98, 33.49, 50.15, 41.82,
1983,32, 0.238,284.18, 32.80, 53.00, 42.90,
1983,33, 0.256,285.19, 35.23, 52.72, 43.98,
1983,34, 0.268,285.89, 35.20, 53.94, 44.57,
1983,35, 0.275,286.23, 33.94, 55.87, 44.91,
1983,36, 0.287,286.48, 33.27, 59.65, 46.46,
1983,37, 0.309,287.58, 36.18, 61.06, 48.62,
1983,38, 0.336,289.24, 40.84, 58.88, 49.86,
1983,39, 0.364,290.49, 45.35, 58.44, 51.90,
1983,40, 0.394,291.38, 51.40, 60.37, 55.88,
1983,41, 0.422,292.35, 57.00, 61.17, 59.09,
1983,42, 0.447,293.23, 59.84, 59.56, 59.70,
1983,43, 0.456,293.19, 59.25, 69.41, 64.33,
1983,44, 0.462,293.11, 56.93, 77.22, 67.08,
1983,45, 0.471,293.23, 59.50, 78.52, 69.01,
1983,46, 0.477,293.22, 62.11, 79.83, 70.97,
1983,47, 0.477,292.91, 61.68, 84.11, 72.90,
1983,48, 0.476,292.65, 62.91, 84.77, 73.84,
1983,49, 0.475,292.52, 64.68, 85.26, 74.97,
1983,50, 0.472,292.39, 69.56, 88.44, 79.00,
1983,51, 0.462,292.15, 67.56, 90.61, 79.08,
1983,52, 0.455,292.08, 67.47, 91.53, 79.50,
1984, 1, 0.451,292.25, 67.28, 91.25, 79.26,
1984, 2, 0.446,292.53, 68.72, 90.37, 79.55,
1984, 3, 0.441,292.94, 71.15, 89.53, 80.34,
1984, 4, 0.435,293.49, 73.91, 87.91, 80.91,
1984, 5, 0.429,294.28, 76.57, 84.95, 80.76,
1984, 6, 0.423,295.20, 79.87, 80.90, 80.39,
1984, 7, 0.415,296.32, 82.62, 74.63, 78.63,
1984, 8, 0.404,297.52, 84.04, 67.25, 75.64,
1984, 9, 0.387,298.51, 84.13, 62.80, 73.46,
1984,10, 0.366,299.25, 82.59, 60.92, 71.76,
1984,11, 0.344,299.87, 79.81, 59.11, 69.46,
1984,12, 0.319,300.13, 73.57, 61.44, 67.50,
1984,13, 0.300,300.06, 67.76, 64.87, 66.31,
1984,14, 0.289,300.04, 64.39, 64.82, 64.61,
1984,15, 0.283,299.46, 61.68, 68.38, 65.03,
1984,16, 0.279,298.23, 58.56, 76.11, 67.33,
1984,17, 0.274,296.54, 54.38, 83.82, 69.10,
1984,18, 0.268,294.57, 49.32, 88.79, 69.05,
1984,19, 0.265,292.73, 47.43, 90.39, 68.91,
1984,20, 0.264,290.97, 47.65, 89.12, 68.39,
1984,21, 0.260,289.24, 47.24, 86.72, 66.98,
1984,22, 0.265,288.43, 51.10, 79.93, 65.51,
1984,23, 0.270,287.87, 55.09, 71.06, 63.08,
1984,24, 0.272,287.19, 57.87, 63.04, 60.46,
1984,25, 0.275,286.74, 60.36, 54.40, 57.38,
1984,26, 0.278,286.09, 62.37, 48.42, 55.40,
1984,27, 0.285,286.11, 65.93, 40.55, 53.24,
1984,28, 0.291,285.96, 68.32, 36.96, 52.64,
1984,29, 0.302,286.15, 70.74, 34.42, 52.58,
1984,30, 0.317,286.87, 73.60, 30.99, 52.30,
1984,31, 0.331,287.59, 75.47, 29.07, 52.27,
1984,32, 0.340,288.21, 75.11, 28.77, 51.94,
1984,33, 0.346,288.47, 73.44, 31.61, 52.52,
1984,34, 0.348,288.24, 70.47, 37.05, 53.76,
1984,35, 0.355,288.62, 69.45, 37.04, 53.25,
1984,36, 0.364,289.18, 68.45, 36.98, 52.72,
1984,37, 0.378,290.10, 68.70, 37.12, 52.91,
1984,38, 0.403,291.50, 72.26, 35.17, 53.71,
1984,39, 0.425,292.48, 74.67, 35.42, 55.04,
1984,40, 0.439,293.04, 74.97, 37.74, 56.36,
1984,41, 0.451,293.38, 73.33, 44.69, 59.01,
1984,42, 0.465,293.86, 70.72, 48.44, 59.58,
1984,43, 0.478,294.35, 71.67, 48.33, 60.00,
1984,44, 0.486,294.67, 71.73, 48.43, 60.08,
1984,45, 0.487,294.74, 69.39, 51.17, 60.28,
1984,46, 0.489,294.73, 69.38, 52.83, 61.10,
1984,47, 0.490,294.59, 69.98, 53.61, 61.79,
1984,48, 0.489,294.40, 71.59, 52.72, 62.15,
1984,49, 0.493,294.28, 76.42, 51.91, 64.16,
1984,50,-1.000, -1.00, -1.00, -1.00, -1.00,
1984,51,-1.000, -1.00, -1.00, -1.00, -1.00,
1984,52,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 1,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 2,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 3,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 4,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 5,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 6,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 7,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 8,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 9, 0.268,300.72, 20.57, 29.16, 24.86,
1985,10, 0.263,301.36, 25.70, 28.92, 27.31,
1985,11, 0.261,301.71, 31.12, 31.56, 31.34,
1985,12, 0.259,301.85, 34.19, 35.35, 34.77,
1985,13, 0.257,301.70, 36.83, 40.30, 38.57,
1985,14, 0.256,301.42, 39.15, 44.04, 41.59,
1985,15, 0.258,301.07, 41.93, 46.02, 43.97,
1985,16, 0.261,300.52, 44.03, 47.10, 45.57,
1985,17, 0.268,300.06, 46.98, 43.65, 45.32,
1985,18, 0.273,299.13, 48.91, 41.85, 45.38,
1985,19, 0.271,297.51, 47.05, 45.76, 46.41,
1985,20, 0.263,295.49, 44.73, 51.24, 47.99,
1985,21, 0.256,293.18, 42.83, 57.69, 50.26,
1985,22, 0.249,291.19, 41.77, 60.83, 51.30,
1985,23, 0.244,289.48, 41.96, 59.87, 50.91,
1985,24, 0.237,287.84, 41.15, 59.15, 50.15,
1985,25, 0.235,286.79, 41.25, 55.48, 48.37,
1985,26, 0.237,286.25, 43.25, 49.00, 46.12,
1985,27, 0.232,285.13, 41.67, 47.96, 44.81,
1985,28, 0.234,284.59, 42.15, 46.10, 44.13,
1985,29, 0.242,285.00, 44.15, 41.83, 42.99,
1985,30, 0.255,285.53, 46.48, 38.99, 42.73,
1985,31, 0.269,286.21, 49.05, 36.65, 42.85,
1985,32, 0.277,286.54, 48.31, 38.03, 43.17,
1985,33, 0.291,287.41, 49.20, 37.71, 43.46,
1985,34, 0.309,288.48, 51.66, 35.22, 43.44,
1985,35, 0.324,289.31, 52.89, 32.87, 42.88,
1985,36, 0.341,290.12, 54.71, 30.89, 42.80,
1985,37, 0.361,290.98, 57.34, 31.28, 44.31,
