Mean data for NPL  Province= 1: Central,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.306,291.43, 52.80, 34.73, 43.76,
1982, 2, 0.297,291.48, 50.70, 34.85, 42.77,
1982, 3, 0.289,291.53, 49.63, 37.51, 43.57,
1982, 4, 0.284,291.69, 50.22, 40.00, 45.11,
1982, 5, 0.279,291.99, 49.77, 42.53, 46.15,
1982, 6, 0.275,292.40, 50.70, 45.23, 47.96,
1982, 7, 0.271,292.90, 50.84, 48.50, 49.67,
1982, 8, 0.269,293.55, 51.81, 51.60, 51.70,
1982, 9, 0.264,294.12, 51.19, 56.40, 53.80,
1982,10, 0.257,294.76, 50.89, 59.77, 55.33,
1982,11, 0.250,295.65, 50.75, 57.86, 54.31,
1982,12, 0.239,296.48, 47.32, 56.20, 51.76,
1982,13, 0.228,297.10, 44.07, 57.07, 50.57,
1982,14, 0.217,297.66, 40.53, 56.78, 48.65,
1982,15, 0.205,297.81, 36.21, 58.63, 47.42,
1982,16, 0.198,297.80, 32.11, 56.92, 44.51,
1982,17, 0.195,297.75, 30.08, 51.65, 40.87,
1982,18, 0.198,298.14, 30.38, 39.52, 34.95,
1982,19, 0.200,298.34, 29.83, 28.96, 29.40,
1982,20, 0.200,297.89, 31.88, 28.91, 30.40,
1982,21, 0.200,296.93, 32.76, 29.32, 31.04,
1982,22, 0.199,295.39, 33.04, 33.39, 33.21,
1982,23, 0.200,293.86, 35.56, 35.73, 35.65,
1982,24, 0.201,292.51, 38.14, 35.90, 37.02,
1982,25, 0.203,291.31, 41.19, 34.10, 37.64,
1982,26, 0.207,290.17, 45.54, 31.24, 38.39,
1982,27, 0.210,289.41, 49.68, 26.48, 38.08,
1982,28, 0.213,288.69, 52.67, 24.89, 38.78,
1982,29, 0.219,287.93, 55.08, 24.87, 39.98,
1982,30, 0.222,287.16, 54.90, 25.77, 40.33,
1982,31, 0.229,287.11, 54.51, 25.15, 39.83,
1982,32, 0.237,287.19, 53.84, 25.06, 39.45,
1982,33, 0.244,287.36, 52.84, 26.17, 39.51,
1982,34, 0.254,287.82, 52.87, 26.50, 39.68,
1982,35, 0.266,288.31, 53.12, 28.00, 40.56,
1982,36, 0.281,289.02, 53.57, 28.96, 41.27,
1982,37, 0.295,289.92, 53.18, 29.17, 41.18,
1982,38, 0.308,290.77, 51.73, 30.17, 40.95,
1982,39, 0.319,291.40, 49.67, 32.06, 40.87,
1982,40, 0.334,292.13, 49.60, 32.39, 40.99,
1982,41, 0.340,292.52, 46.38, 36.76, 41.57,
1982,42, 0.341,292.67, 40.96, 41.78, 41.37,
1982,43, 0.335,292.41, 35.29, 52.24, 43.76,
1982,44, 0.323,292.20, 28.66, 59.40, 44.03,
1982,45, 0.308,291.84, 23.78, 63.35, 43.57,
1982,46, 0.298,291.53, 23.07, 64.08, 43.58,
1982,47, 0.292,291.43, 24.49, 60.26, 42.38,
1982,48, 0.291,291.26, 28.65, 56.68, 42.66,
1982,49, 0.290,291.10, 33.49, 52.35, 42.92,
1982,50, 0.289,290.82, 35.25, 49.44, 42.34,
1982,51, 0.289,290.54, 40.84, 48.11, 44.47,
1982,52, 0.289,290.60, 45.10, 44.29, 44.69,
1983, 1, 0.290,290.66, 44.48, 44.75, 44.62,
1983, 2, 0.289,290.57, 47.94, 47.60, 47.77,
1983, 3, 0.289,290.84, 51.56, 47.47, 49.51,
1983, 4, 0.291,291.27, 55.27, 46.14, 50.70,
1983, 5, 0.287,291.67, 55.14, 46.76, 50.95,
1983, 6, 0.282,292.23, 54.82, 46.80, 50.81,
1983, 7, 0.276,292.91, 53.73, 47.94, 50.84,
1983, 8, 0.266,293.60, 49.11, 50.62, 49.87,
1983, 9, 0.253,294.26, 42.76, 54.76, 48.76,
1983,10, 0.236,294.98, 35.47, 57.81, 46.64,
1983,11, 0.222,295.63, 30.40, 60.40, 45.40,
1983,12, 0.209,296.21, 26.09, 62.31, 44.20,
1983,13, 0.194,296.76, 20.60, 63.01, 41.80,
1983,14, 0.185,296.98, 18.33, 64.67, 41.50,
1983,15, 0.178,296.93, 17.29, 67.69, 42.49,
1983,16, 0.176,296.61, 16.21, 69.41, 42.81,
1983,17, 0.179,296.10, 18.61, 69.70, 44.16,
