Mean data for PAK  Province= 7: Punjab,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.148,295.26, 32.47, 44.03, 38.25,
1982, 2, 0.157,294.79, 30.90, 51.65, 41.27,
1982, 3, 0.168,294.43, 30.24, 61.45, 45.84,
1982, 4, 0.181,294.40, 30.65, 66.42, 48.53,
1982, 5, 0.192,294.25, 29.81, 74.88, 52.34,
1982, 6, 0.202,294.21, 28.63, 83.49, 56.06,
1982, 7, 0.212,294.53, 28.84, 87.38, 58.11,
1982, 8, 0.222,295.10, 30.61, 88.75, 59.68,
1982, 9, 0.230,295.93, 32.82, 89.27, 61.04,
1982,10, 0.234,296.79, 35.02, 89.46, 62.24,
1982,11, 0.233,298.19, 36.98, 86.22, 61.60,
1982,12, 0.228,299.86, 39.99, 80.74, 60.37,
1982,13, 0.219,301.46, 43.42, 76.88, 60.15,
1982,14, 0.205,302.93, 46.27, 76.37, 61.32,
1982,15, 0.185,304.10, 46.93, 77.95, 62.44,
1982,16, 0.162,305.16, 43.97, 80.42, 62.20,
1982,17, 0.141,305.82, 39.87, 84.47, 62.17,
1982,18, 0.124,306.15, 36.53, 88.72, 62.62,
1982,19, 0.111,307.04, 36.15, 88.74, 62.44,
1982,20, 0.104,308.41, 41.80, 84.04, 62.92,
1982,21, 0.098,309.48, 45.34, 77.39, 61.37,
1982,22, 0.092,310.22, 45.57, 67.11, 56.34,
1982,23, 0.087,310.53, 43.47, 56.05, 49.76,
1982,24, 0.082,310.56, 41.11, 44.93, 43.02,
1982,25, 0.078,309.36, 37.80, 40.52, 39.16,
1982,26, 0.075,307.89, 33.97, 37.75, 35.86,
1982,27, 0.075,306.45, 30.78, 36.00, 33.39,
1982,28, 0.077,304.56, 27.34, 37.41, 32.38,
1982,29, 0.080,302.08, 24.49, 42.12, 33.31,
1982,30, 0.084,299.37, 21.59, 47.15, 34.37,
1982,31, 0.093,297.89, 20.62, 49.56, 35.09,
1982,32, 0.106,298.11, 22.12, 47.56, 34.84,
1982,33, 0.124,299.53, 26.16, 42.33, 34.24,
1982,34, 0.141,301.42, 29.64, 36.33, 32.98,
1982,35, 0.153,302.81, 30.33, 33.15, 31.74,
1982,36, 0.161,304.07, 29.45, 31.46, 30.46,
1982,37, 0.162,304.79, 26.72, 34.40, 30.56,
1982,38, 0.159,304.53, 22.23, 45.18, 33.70,
1982,39, 0.153,304.45, 18.22, 51.36, 34.79,
1982,40, 0.151,304.47, 17.62, 50.55, 34.08,
1982,41, 0.149,304.46, 18.01, 47.11, 32.56,
1982,42, 0.144,304.24, 18.60, 44.00, 31.30,
1982,43, 0.141,303.77, 21.31, 42.17, 31.74,
1982,44, 0.139,303.29, 24.28, 39.72, 32.00,
1982,45, 0.135,302.51, 26.94, 38.84, 32.89,
1982,46, 0.130,301.19, 27.09, 41.97, 34.53,
1982,47, 0.125,299.73, 27.60, 46.86, 37.23,
1982,48, 0.124,298.30, 28.93, 51.97, 40.45,
1982,49, 0.124,297.30, 30.02, 55.62, 42.82,
1982,50, 0.125,296.60, 30.04, 41.89, 35.96,
1982,51, 0.127,295.94, 28.85, 44.29, 36.57,
1982,52, 0.129,295.42, 26.75, 46.84, 36.79,
1983, 1, 0.137,295.09, 23.81, 47.22, 35.51,
1983, 2, 0.145,295.11, 22.44, 46.21, 34.32,
1983, 3, 0.152,294.88, 20.63, 53.00, 36.82,
1983, 4, 0.166,294.92, 22.11, 57.29, 39.70,
1983, 5, 0.183,295.34, 25.13, 57.84, 41.48,
1983, 6, 0.199,295.97, 27.85, 57.84, 42.85,
1983, 7, 0.214,296.55, 30.80, 59.58, 45.19,
1983, 8, 0.226,297.15, 33.61, 62.35, 47.98,
1983, 9, 0.235,298.15, 36.73, 61.95, 49.34,
1983,10, 0.239,299.32, 38.62, 60.95, 49.79,
1983,11, 0.238,300.26, 40.92, 65.48, 53.20,
1983,12, 0.231,300.94, 41.53, 71.06, 56.29,
1983,13, 0.216,301.18, 39.86, 79.42, 59.64,
1983,14, 0.197,301.92, 38.06, 84.62, 61.34,
1983,15, 0.179,303.39, 39.83, 83.29, 61.56,
1983,16, 0.161,304.89, 41.23, 81.61, 61.42,
1983,17, 0.146,306.27, 44.02, 80.21, 62.12,
1983,18, 0.133,307.54, 45.99, 78.08, 62.04,
1983,19, 0.121,308.76, 46.39, 75.95, 61.17,
1983,20, 0.110,309.06, 48.12, 77.95, 63.03,
1983,21, 0.103,309.12, 50.02, 78.39, 64.21,
1983,22, 0.099,309.28, 51.57, 73.06, 62.31,
1983,23, 0.094,308.72, 50.81, 68.68, 59.75,
1983,24, 0.091,307.82, 50.69, 63.79, 57.24,
1983,25, 0.090,306.82, 50.33, 57.84, 54.09,
1983,26, 0.089,304.79, 48.55, 57.54, 53.04,
1983,27, 0.091,303.02, 46.77, 58.42, 52.59,
1983,28, 0.095,301.07, 44.70, 61.46, 53.08,
1983,29, 0.103,298.94, 45.18, 65.69, 55.43,
1983,30, 0.112,296.65, 45.42, 70.01, 57.72,
1983,31, 0.124,295.12, 46.16, 72.70, 59.43,
1983,32, 0.136,294.68, 45.69, 73.49, 59.59,
1983,33, 0.149,295.08, 45.44, 73.45, 59.44,
1983,34, 0.164,296.30, 47.55, 71.67, 59.61,
1983,35, 0.178,297.93, 48.81, 69.95, 59.38,
1983,36, 0.188,298.97, 49.90, 73.29, 61.59,
1983,37, 0.195,300.43, 50.36, 75.34, 62.85,
1983,38, 0.199,301.81, 50.61, 75.03, 62.82,
1983,39, 0.197,302.47, 49.43, 74.99, 62.21,
1983,40, 0.192,302.95, 46.97, 69.72, 58.35,
1983,41, 0.185,303.01, 45.39, 65.17, 55.28,
1983,42, 0.180,302.86, 46.86, 61.12, 53.99,
1983,43, 0.171,302.35, 47.21, 59.46, 53.33,
1983,44, 0.164,301.53, 47.78, 61.18, 54.48,
1983,45, 0.154,300.57, 46.45, 64.07, 55.26,
1983,46, 0.143,299.54, 43.02, 65.29, 54.15,
1983,47, 0.135,298.45, 39.84, 66.31, 53.08,
1983,48, 0.129,297.25, 36.79, 68.76, 52.77,
1983,49, 0.127,296.15, 35.89, 72.86, 54.37,
1983,50, 0.128,295.14, 35.78, 70.52, 53.15,
1983,51, 0.130,294.35, 35.73, 74.62, 55.18,
1983,52, 0.135,293.95, 35.69, 73.59, 54.64,
1984, 1, 0.142,293.68, 33.28, 75.05, 54.17,
1984, 2, 0.151,293.60, 32.31, 75.12, 53.71,
1984, 3, 0.161,293.95, 32.12, 72.09, 52.10,
1984, 4, 0.171,294.19, 31.05, 72.76, 51.91,
1984, 5, 0.183,294.56, 31.12, 72.95, 52.03,
1984, 6, 0.196,295.23, 31.44, 70.26, 50.85,
1984, 7, 0.205,296.22, 31.23, 64.63, 47.93,
1984, 8, 0.215,297.65, 32.33, 55.27, 43.80,
1984, 9, 0.220,298.77, 32.35, 52.63, 42.49,
1984,10, 0.223,299.88, 32.85, 51.69, 42.27,
1984,11, 0.221,301.21, 33.40, 51.87, 42.63,
1984,12, 0.214,302.31, 34.13, 54.15, 44.14,
1984,13, 0.204,303.43, 36.48, 57.00, 46.74,
1984,14, 0.191,304.55, 39.81, 61.48, 50.64,
1984,15, 0.176,305.94, 44.07, 62.39, 53.23,
1984,16, 0.158,307.78, 45.31, 59.34, 52.33,
1984,17, 0.143,309.38, 47.08, 57.45, 52.26,
1984,18, 0.131,310.95, 50.96, 53.96, 52.46,
1984,19, 0.120,311.95, 52.34, 53.19, 52.76,
1984,20, 0.110,312.32, 54.62, 54.65, 54.64,
1984,21, 0.102,312.48, 55.74, 54.31, 55.03,
1984,22, 0.092,311.71, 50.77, 55.80, 53.28,
1984,23, 0.083,310.23, 43.80, 58.34, 51.07,
1984,24, 0.077,308.49, 39.50, 59.72, 49.61,
1984,25, 0.074,305.79, 36.77, 64.20, 50.48,
1984,26, 0.074,302.93, 35.86, 69.17, 52.52,
1984,27, 0.076,300.17, 35.35, 74.55, 54.95,
1984,28, 0.083,298.34, 36.50, 76.36, 56.43,
1984,29, 0.093,297.49, 38.35, 74.61, 56.48,
1984,30, 0.105,296.52, 40.63, 72.86, 56.74,
1984,31, 0.118,295.81, 42.20, 71.86, 57.03,
1984,32, 0.131,295.42, 42.16, 72.17, 57.16,
1984,33, 0.144,295.60, 42.70, 72.28, 57.49,
1984,34, 0.159,296.72, 44.30, 71.43, 57.87,
1984,35, 0.173,298.07, 45.73, 72.20, 58.96,
1984,36, 0.183,299.45, 46.47, 71.13, 58.80,
1984,37, 0.194,301.04, 48.89, 69.38, 59.13,
1984,38, 0.202,302.34, 52.30, 67.21, 59.75,
1984,39, 0.206,303.63, 54.98, 58.75, 56.87,
1984,40, 0.206,304.62, 56.41, 45.66, 51.04,
1984,41, 0.202,305.76, 56.99, 29.85, 43.42,
1984,42, 0.194,306.59, 56.56, 17.53, 37.04,
1984,43, 0.180,306.54, 53.59, 12.50, 33.04,
1984,44, 0.166,305.89, 48.81, 10.67, 29.74,
1984,45, 0.152,304.90, 43.84,  9.98, 26.91,
1984,46, 0.145,303.81, 43.01,  8.75, 25.88,
1984,47, 0.142,302.75, 44.38,  7.94, 26.16,
1984,48, 0.143,301.89, 47.51,  6.39, 26.95,
1984,49, 0.145,301.66, 49.60,  3.35, 26.48,
1984,50,-1.000, -1.00, -1.00, -1.00, -1.00,
1984,51,-1.000, -1.00, -1.00, -1.00, -1.00,
1984,52,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 1,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 2,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 3,-1.000, -1.00, -1.00, -1.00, -1.00,
