Mean data for PHL  Province= 44: Isabela,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.275,291.39, 53.53, 34.90, 44.21,
1982, 2, 0.286,292.03, 55.61, 33.57, 44.59,
1982, 3, 0.290,292.38, 54.14, 34.70, 44.42,
1982, 4, 0.293,292.68, 51.44, 37.95, 44.70,
1982, 5, 0.302,293.16, 49.59, 40.93, 45.26,
1982, 6, 0.319,293.91, 51.09, 38.79, 44.94,
1982, 7, 0.335,294.79, 55.05, 32.80, 43.93,
1982, 8, 0.352,295.78, 57.92, 28.65, 43.29,
1982, 9, 0.367,296.69, 59.26, 26.57, 42.92,
1982,10, 0.375,297.27, 57.56, 29.18, 43.37,
1982,11, 0.374,297.34, 53.44, 37.70, 45.57,
1982,12, 0.363,296.99, 48.39, 51.21, 49.80,
1982,13, 0.343,296.27, 40.60, 66.77, 53.69,
1982,14, 0.331,295.85, 35.32, 75.67, 55.50,
1982,15, 0.330,296.07, 36.57, 75.36, 55.96,
1982,16, 0.339,296.45, 41.37, 69.28, 55.32,
1982,17, 0.350,296.76, 46.43, 62.28, 54.36,
1982,18, 0.352,296.96, 48.80, 55.24, 52.02,
1982,19, 0.346,296.54, 47.48, 55.14, 51.31,
1982,20, 0.345,296.45, 46.12, 51.49, 48.81,
1982,21, 0.352,296.81, 46.34, 42.12, 44.23,
1982,22, 0.365,296.96, 48.16, 33.02, 40.59,
1982,23, 0.378,296.70, 52.08, 27.36, 39.72,
1982,24, 0.383,295.97, 53.40, 29.63, 41.51,
1982,25, 0.388,294.95, 54.88, 36.84, 45.86,
1982,26, 0.380,293.34, 52.55, 45.94, 49.24,
1982,27, 0.369,292.14, 49.42, 47.06, 48.24,
1982,28, 0.360,291.47, 46.58, 45.27, 45.93,
1982,29, 0.355,290.46, 44.75, 48.16, 46.46,
1982,30, 0.349,289.44, 42.49, 51.87, 47.18,
1982,31, 0.338,288.67, 38.06, 54.34, 46.20,
1982,32, 0.326,287.64, 34.86, 56.99, 45.92,
1982,33, 0.329,287.98, 36.36, 52.87, 44.61,
1982,34, 0.335,288.94, 37.85, 45.91, 41.88,
1982,35, 0.341,289.64, 39.27, 41.91, 40.59,
1982,36, 0.346,290.09, 40.87, 40.43, 40.65,
1982,37, 0.343,290.23, 40.02, 42.04, 41.03,
1982,38, 0.344,290.53, 41.41, 44.16, 42.78,
1982,39, 0.342,290.76, 43.11, 44.79, 43.95,
1982,40, 0.338,291.52, 45.48, 40.06, 42.77,
1982,41, 0.335,292.33, 47.24, 34.81, 41.03,
1982,42, 0.325,292.54, 46.74, 33.97, 40.35,
1982,43, 0.318,292.90, 49.13, 29.10, 39.12,
1982,44, 0.312,292.98, 51.62, 28.23, 39.93,
1982,45, 0.300,292.66, 52.21, 29.58, 40.90,
1982,46, 0.288,292.49, 51.97, 28.57, 40.27,
1982,47, 0.269,292.04, 48.47, 30.29, 39.38,
1982,48, 0.248,291.39, 44.39, 33.09, 38.74,
1982,49, 0.225,290.60, 39.26, 36.68, 37.97,
1982,50, 0.211,290.30, 35.75, 36.76, 36.25,
1982,51, 0.215,290.77, 37.06, 34.90, 35.98,
1982,52, 0.222,291.28, 38.75, 34.33, 36.54,
1983, 1, 0.228,291.57, 39.32, 34.68, 37.00,
1983, 2, 0.240,291.81, 41.53, 36.11, 38.82,
1983, 3, 0.264,292.69, 45.60, 33.91, 39.76,
1983, 4, 0.295,293.84, 50.77, 30.64, 40.70,
1983, 5, 0.327,294.88, 55.85, 28.65, 42.25,
1983, 6, 0.353,295.55, 60.41, 27.14, 43.78,
1983, 7, 0.373,296.26, 65.83, 23.48, 44.66,
1983, 8, 0.383,296.90, 67.08, 21.99, 44.54,
1983, 9, 0.384,297.27, 64.52, 23.32, 43.92,
1983,10, 0.379,297.36, 58.07, 29.14, 43.60,
1983,11, 0.381,298.15, 53.97, 31.12, 42.54,
1983,12, 0.386,299.22, 54.50, 29.60, 42.05,
1983,13, 0.386,299.65, 54.50, 31.26, 42.88,
1983,14, 0.390,300.06, 56.02, 30.63, 43.33,
1983,15, 0.395,300.54, 59.08, 26.75, 42.91,
1983,16, 0.394,300.72, 58.49, 25.22, 41.85,
1983,17, 0.395,300.71, 58.33, 23.89, 41.11,
1983,18, 0.391,300.19, 57.96, 24.60, 41.28,
1983,19, 0.391,299.56, 58.38, 25.90, 42.14,
1983,20, 0.393,299.13, 58.39, 24.93, 41.66,
1983,21, 0.397,298.84, 58.20, 21.83, 40.02,
1983,22, 0.404,298.65, 58.96, 15.95, 37.45,
1983,23, 0.406,298.40, 58.93, 11.34, 35.13,
1983,24, 0.404,298.11, 57.95, 10.75, 34.35,
1983,25, 0.403,298.03, 57.22,  9.99, 33.60,
1983,26, 0.397,297.66, 56.51,  8.54, 32.52,
1983,27, 0.390,296.21, 55.57, 13.83, 34.70,
1983,28, 0.377,294.74, 51.26, 20.43, 35.84,
