Mean data for PHL  Province= 62: Nueva Ecija,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.327,295.80, 60.91, 40.26, 50.59,
1982, 2, 0.317,295.95, 55.37, 41.21, 48.29,
1982, 3, 0.316,296.20, 52.90, 42.86, 47.88,
1982, 4, 0.319,296.62, 50.37, 43.10, 46.73,
1982, 5, 0.322,297.09, 47.23, 41.96, 44.60,
1982, 6, 0.325,297.51, 44.67, 39.91, 42.29,
1982, 7, 0.329,297.97, 43.61, 37.37, 40.49,
1982, 8, 0.338,298.58, 44.65, 34.87, 39.76,
1982, 9, 0.347,299.03, 46.02, 34.83, 40.43,
1982,10, 0.354,299.32, 47.30, 37.62, 42.46,
1982,11, 0.358,299.39, 48.27, 44.39, 46.33,
1982,12, 0.357,299.04, 46.31, 56.62, 51.46,
1982,13, 0.350,298.31, 42.89, 68.57, 55.73,
1982,14, 0.346,297.82, 42.56, 73.15, 57.85,
1982,15, 0.340,297.86, 44.01, 69.27, 56.64,
1982,16, 0.336,297.73, 46.31, 65.85, 56.08,
1982,17, 0.332,297.53, 48.68, 62.28, 55.48,
1982,18, 0.318,297.22, 47.51, 56.48, 51.99,
1982,19, 0.297,296.07, 42.70, 60.51, 51.61,
1982,20, 0.284,295.34, 39.45, 62.54, 51.00,
1982,21, 0.282,295.68, 38.85, 53.01, 45.93,
1982,22, 0.279,295.65, 37.10, 43.39, 40.25,
1982,23, 0.271,295.12, 34.88, 35.79, 35.33,
1982,24, 0.257,293.98, 31.91, 35.66, 33.78,
1982,25, 0.240,291.90, 26.27, 43.93, 35.10,
1982,26, 0.216,289.01, 18.35, 55.58, 36.96,
1982,27, 0.197,287.62, 13.30, 56.57, 34.93,
1982,28, 0.173,286.48,  8.39, 55.82, 32.10,
1982,29, 0.157,284.76,  6.37, 57.95, 32.16,
1982,30, 0.153,283.38,  6.20, 60.04, 33.12,
1982,31, 0.150,282.32,  6.29, 57.60, 31.95,
1982,32, 0.145,280.39,  7.43, 59.73, 33.58,
1982,33, 0.158,280.22, 10.26, 58.22, 34.24,
1982,34, 0.184,281.20, 14.91, 55.43, 35.17,
1982,35, 0.220,283.62, 22.19, 49.34, 35.77,
1982,36, 0.258,285.81, 29.59, 43.02, 36.30,
1982,37, 0.299,287.84, 39.27, 37.62, 38.45,
1982,38, 0.341,289.44, 50.77, 33.73, 42.25,
1982,39, 0.378,290.95, 61.51, 29.35, 45.43,
1982,40, 0.406,292.96, 70.17, 17.48, 43.83,
1982,41, 0.421,294.27, 74.74, 14.42, 44.58,
1982,42, 0.425,294.71, 76.62, 19.46, 48.04,
1982,43, 0.426,295.50, 78.26, 16.06, 47.16,
1982,44, 0.414,295.90, 74.21, 18.68, 46.45,
1982,45, 0.391,295.82, 65.69, 25.38, 45.53,
1982,46, 0.366,296.07, 57.05, 23.97, 40.51,
1982,47, 0.335,295.96, 46.25, 27.62, 36.93,
1982,48, 0.299,295.49, 34.92, 34.27, 34.59,
1982,49, 0.273,295.05, 27.99, 37.47, 32.73,
1982,50, 0.258,295.16, 20.71, 37.03, 28.87,
1982,51, 0.252,295.50, 20.20, 36.63, 28.42,
1982,52, 0.252,295.91, 20.77, 36.60, 28.68,
1983, 1, 0.254,296.40, 23.93, 34.41, 29.17,
1983, 2, 0.259,297.04, 26.99, 30.34, 28.67,
1983, 3, 0.266,297.77, 29.34, 26.73, 28.03,
1983, 4, 0.278,298.30, 31.12, 25.21, 28.17,
1983, 5, 0.291,298.57, 32.83, 25.71, 29.27,
1983, 6, 0.307,298.82, 35.98, 25.79, 30.89,
1983, 7, 0.323,299.16, 39.77, 25.10, 32.43,
1983, 8, 0.336,299.33, 42.36, 27.17, 34.76,
1983, 9, 0.345,299.29, 43.98, 32.00, 37.99,
1983,10, 0.352,299.31, 45.39, 37.57, 41.48,
1983,11, 0.361,299.85, 47.93, 38.73, 43.33,
1983,12, 0.367,300.44, 49.61, 38.70, 44.15,
1983,13, 0.373,300.80, 51.93, 37.29, 44.61,
1983,14, 0.377,301.01, 55.46, 34.37, 44.91,
1983,15, 0.375,301.13, 59.10, 31.58, 45.34,
1983,16, 0.370,301.02, 60.50, 31.04, 45.77,
1983,17, 0.364,300.83, 61.79, 29.65, 45.72,
1983,18, 0.351,300.56, 61.76, 24.97, 43.37,
1983,19, 0.335,300.28, 59.25, 20.77, 40.01,
1983,20, 0.320,300.17, 54.57, 17.06, 35.82,
1983,21, 0.313,299.92, 51.33, 12.98, 32.15,
1983,22, 0.313,299.52, 50.85,  9.33, 30.09,
1983,23, 0.315,298.96, 53.24,  5.57, 29.41,
1983,24, 0.318,298.22, 58.05,  5.39, 31.72,
1983,25, 0.321,297.31, 61.09,  7.05, 34.07,
1983,26, 0.321,296.55, 63.10,  5.18, 34.14,
1983,27, 0.324,295.54, 66.31,  5.60, 35.96,
1983,28, 0.323,294.22, 67.68,  9.47, 38.58,
1983,29, 0.314,292.62, 65.83, 14.67, 40.25,
1983,30, 0.296,290.45, 60.09, 22.70, 41.39,
1983,31, 0.273,288.04, 52.10, 29.96, 41.03,
1983,32, 0.253,285.76, 45.72, 35.99, 40.85,
1983,33, 0.250,284.89, 43.24, 37.32, 40.28,
1983,34, 0.255,284.94, 40.42, 37.78, 39.10,
1983,35, 0.270,285.86, 41.15, 37.26, 39.20,
1983,36, 0.294,287.11, 43.60, 35.39, 39.50,
1983,37, 0.319,288.33, 46.66, 34.39, 40.52,
1983,38, 0.338,289.12, 47.35, 35.91, 41.63,
1983,39, 0.357,290.23, 50.82, 34.94, 42.88,
1983,40, 0.367,290.55, 52.55, 38.86, 45.71,
1983,41, 0.382,291.05, 57.33, 45.32, 51.33,
1983,42, 0.391,291.66, 61.88, 52.09, 56.98,
1983,43, 0.399,292.10, 65.94, 55.77, 60.85,
1983,44, 0.405,292.24, 70.74, 59.87, 65.30,
1983,45, 0.405,292.40, 73.60, 61.45, 67.52,
1983,46, 0.398,292.64, 74.67, 59.02, 66.85,
1983,47, 0.386,292.97, 73.68, 57.84, 65.76,
1983,48, 0.367,292.92, 70.63, 59.12, 64.88,
1983,49, 0.350,293.09, 67.21, 55.35, 61.28,
1983,50, 0.328,293.49, 58.43, 53.21, 55.82,
1983,51, 0.308,293.90, 49.37, 52.23, 50.80,
1983,52, 0.293,294.29, 41.21, 52.89, 47.05,
1984, 1, 0.277,294.38, 34.53, 55.11, 44.82,
1984, 2, 0.264,294.91, 28.74, 52.45, 40.60,
1984, 3, 0.259,295.56, 25.03, 50.52, 37.78,
1984, 4, 0.257,296.02, 21.81, 50.47, 36.14,
1984, 5, 0.266,296.68, 22.39, 47.20, 34.80,
1984, 6, 0.278,297.52, 24.17, 40.38, 32.27,
1984, 7, 0.285,298.06, 25.36, 36.54, 30.95,
1984, 8, 0.289,298.46, 25.50, 35.53, 30.51,
1984, 9, 0.288,298.43, 23.85, 39.74, 31.79,
1984,10, 0.288,298.48, 22.74, 45.04, 33.89,
1984,11, 0.287,298.21, 21.31, 56.27, 38.79,
1984,12, 0.289,298.04, 21.23, 66.66, 43.94,
1984,13, 0.294,298.25, 22.30, 66.99, 44.65,
1984,14, 0.292,297.78, 22.20, 71.50, 46.85,
1984,15, 0.285,296.83, 22.70, 78.97, 50.84,
1984,16, 0.276,295.60, 23.02, 86.24, 54.63,
1984,17, 0.277,294.28, 26.67, 92.08, 59.38,
1984,18, 0.288,292.99, 35.39, 94.35, 64.87,
1984,19, 0.306,292.17, 47.29, 94.89, 71.09,
1984,20, 0.337,292.52, 62.51, 87.09, 74.80,
1984,21, 0.363,293.08, 74.03, 76.34, 75.19,
1984,22, 0.373,292.93, 78.58, 67.43, 73.00,
1984,23, 0.368,292.36, 78.83, 57.68, 68.25,
1984,24, 0.348,290.56, 73.28, 60.36, 66.82,
1984,25, 0.319,288.22, 62.58, 68.38, 65.48,
1984,26, 0.301,286.72, 56.63, 69.70, 63.17,
1984,27, 0.288,286.42, 52.74, 63.18, 57.96,
1984,28, 0.280,286.28, 51.48, 55.90, 53.69,
1984,29, 0.263,284.40, 46.83, 58.67, 52.75,
1984,30, 0.242,282.02, 39.91, 65.27, 52.59,
1984,31, 0.205,277.36, 26.66, 76.77, 51.72,
1984,32, 0.182,274.41, 20.31, 79.71, 50.01,
1984,33, 0.188,273.89, 20.56, 78.42, 49.49,
1984,34, 0.218,276.67, 27.34, 69.50, 48.42,
