Mean data for PHL  Province= 68: Pangasinan,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.355,297.82, 65.26, 41.57, 53.42,
1982, 2, 0.345,298.13, 60.99, 42.67, 51.83,
1982, 3, 0.340,298.58, 58.69, 43.33, 51.01,
1982, 4, 0.334,299.19, 56.09, 42.26, 49.18,
1982, 5, 0.327,299.76, 52.53, 41.57, 47.05,
1982, 6, 0.318,300.19, 48.14, 41.94, 45.04,
1982, 7, 0.309,300.70, 44.29, 39.93, 42.11,
1982, 8, 0.305,301.36, 43.17, 37.59, 40.38,
1982, 9, 0.301,301.75, 43.12, 38.10, 40.61,
1982,10, 0.294,301.90, 42.37, 42.64, 42.51,
1982,11, 0.289,301.79, 41.94, 50.25, 46.10,
1982,12, 0.283,301.23, 40.06, 60.35, 50.21,
1982,13, 0.275,300.24, 37.44, 72.22, 54.83,
1982,14, 0.275,299.57, 38.63, 76.90, 57.76,
1982,15, 0.277,299.21, 41.17, 73.66, 57.42,
1982,16, 0.283,298.86, 45.22, 70.24, 57.73,
1982,17, 0.292,298.56, 49.53, 64.90, 57.21,
1982,18, 0.289,297.86, 48.95, 59.67, 54.31,
1982,19, 0.279,296.19, 45.01, 63.61, 54.31,
1982,20, 0.274,294.99, 42.55, 65.53, 54.04,
1982,21, 0.280,295.27, 43.89, 51.94, 47.91,
1982,22, 0.283,295.08, 44.30, 41.41, 42.85,
1982,23, 0.273,293.85, 40.08, 38.00, 39.04,
1982,24, 0.257,292.57, 35.67, 36.13, 35.90,
1982,25, 0.242,291.01, 30.55, 39.55, 35.05,
1982,26, 0.219,288.38, 22.17, 48.28, 35.23,
1982,27, 0.202,286.78, 17.33, 50.11, 33.72,
1982,28, 0.178,285.19, 12.19, 49.37, 30.78,
1982,29, 0.163,283.83, 10.21, 50.85, 30.53,
1982,30, 0.162,283.13, 11.29, 51.59, 31.44,
1982,31, 0.161,282.48, 12.93, 46.41, 29.67,
1982,32, 0.156,280.89, 13.43, 48.72, 31.08,
1982,33, 0.166,280.91, 13.66, 50.37, 32.01,
1982,34, 0.188,282.16, 15.62, 51.38, 33.50,
1982,35, 0.218,284.40, 21.87, 48.06, 34.96,
1982,36, 0.256,286.61, 31.27, 43.11, 37.19,
1982,37, 0.291,288.84, 40.49, 35.47, 37.98,
1982,38, 0.325,290.79, 49.36, 29.01, 39.19,
1982,39, 0.351,291.91, 55.98, 28.62, 42.30,
1982,40, 0.373,293.80, 63.39, 19.88, 41.63,
1982,41, 0.385,295.10, 66.70, 16.74, 41.72,
1982,42, 0.382,295.08, 63.30, 26.95, 45.13,
1982,43, 0.383,295.90, 63.65, 24.04, 43.85,
1982,44, 0.375,296.70, 61.92, 22.63, 42.27,
1982,45, 0.360,296.72, 55.59, 29.47, 42.53,
