Mean data for PHL  Province= 2: Tarlac,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.366,296.08, 79.34, 47.16, 63.25,
1982, 2, 0.348,296.14, 70.00, 51.09, 60.54,
1982, 3, 0.336,296.40, 61.99, 55.96, 58.97,
1982, 4, 0.327,296.83, 56.40, 60.54, 58.47,
1982, 5, 0.318,297.22, 51.90, 64.15, 58.03,
1982, 6, 0.310,297.66, 48.92, 62.94, 55.93,
1982, 7, 0.300,298.22, 46.12, 59.96, 53.04,
1982, 8, 0.296,298.87, 46.24, 57.74, 51.99,
1982, 9, 0.295,299.37, 48.22, 57.06, 52.64,
1982,10, 0.289,299.63, 47.98, 61.08, 54.53,
1982,11, 0.282,299.57, 45.31, 67.90, 56.61,
1982,12, 0.272,299.11, 41.72, 73.57, 57.64,
1982,13, 0.262,298.33, 38.43, 80.16, 59.29,
1982,14, 0.258,297.81, 39.00, 80.52, 59.76,
1982,15, 0.254,297.74, 40.45, 72.60, 56.53,
1982,16, 0.263,297.68, 46.24, 64.37, 55.30,
1982,17, 0.280,297.63, 55.00, 56.70, 55.85,
1982,18, 0.282,297.24, 56.50, 53.24, 54.87,
1982,19, 0.274,295.97, 52.50, 53.33, 52.91,
1982,20, 0.273,295.13, 46.69, 51.40, 49.04,
1982,21, 0.277,295.18, 45.69, 42.12, 43.90,
1982,22, 0.277,294.68, 43.10, 34.66, 38.88,
1982,23, 0.265,293.87, 38.11, 27.92, 33.01,
1982,24, 0.255,292.92, 35.10, 27.38, 31.24,
1982,25, 0.251,291.43, 32.95, 33.24, 33.10,
1982,26, 0.239,289.57, 29.46, 38.50, 33.98,
1982,27, 0.227,288.39, 24.56, 38.95, 31.75,
1982,28, 0.210,287.12, 19.52, 39.84, 29.68,
1982,29, 0.202,285.70, 19.91, 40.71, 30.31,
1982,30, 0.197,284.24, 19.93, 41.99, 30.96,
1982,31, 0.187,283.05, 19.61, 40.73, 30.17,
1982,32, 0.180,281.20, 19.52, 43.67, 31.59,
1982,33, 0.197,281.32, 22.92, 43.32, 33.12,
1982,34, 0.228,282.81, 29.95, 40.91, 35.43,
1982,35, 0.253,284.44, 36.03, 38.54, 37.29,
