Mean data for THA  Province= 17: Ang Thong,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.291,298.15, 56.83, 69.87, 63.35,
1982, 2, 0.261,299.26, 42.27, 59.86, 51.07,
1982, 3, 0.233,300.04, 33.31, 56.74, 45.03,
1982, 4, 0.210,300.82, 27.54, 52.67, 40.11,
1982, 5, 0.190,301.44, 22.86, 51.10, 36.98,
1982, 6, 0.174,302.12, 20.31, 48.63, 34.47,
1982, 7, 0.162,302.98, 19.57, 42.33, 30.95,
1982, 8, 0.153,303.67, 18.92, 37.78, 28.35,
1982, 9, 0.145,304.11, 17.40, 32.75, 25.08,
1982,10, 0.141,304.50, 16.44, 27.67, 22.06,
1982,11, 0.139,304.34, 15.41, 28.88, 22.15,
1982,12, 0.141,303.62, 15.17, 35.94, 25.55,
1982,13, 0.145,302.26, 13.44, 47.73, 30.58,
1982,14, 0.153,300.93, 13.85, 57.44, 35.64,
1982,15, 0.165,299.35, 21.49, 70.72, 46.10,
1982,16, 0.184,298.31, 29.81, 76.10, 52.96,
1982,17, 0.211,298.09, 41.07, 68.63, 54.85,
1982,18, 0.229,296.93, 45.27, 66.44, 55.86,
1982,19, 0.237,295.01, 44.65, 71.21, 57.93,
1982,20, 0.244,293.01, 43.03, 76.61, 59.82,
1982,21, 0.251,291.10, 43.07, 81.20, 62.13,
1982,22, 0.252,289.21, 40.97, 84.58, 62.77,
1982,23, 0.250,287.93, 37.75, 84.30, 61.03,
1982,24, 0.247,286.72, 35.79, 84.54, 60.16,
1982,25, 0.253,286.46, 38.65, 80.41, 59.53,
1982,26, 0.261,286.82, 43.19, 71.10, 57.14,
1982,27, 0.258,286.86, 44.85, 64.84, 54.85,
1982,28, 0.244,285.54, 41.31, 70.33, 55.82,
1982,29, 0.225,284.63, 36.65, 77.77, 57.21,
1982,30, 0.202,284.23, 29.00, 78.61, 53.81,
1982,31, 0.183,284.10, 20.98, 77.61, 49.29,
1982,32, 0.162,283.87, 12.38, 77.75, 45.06,
1982,33, 0.154,284.76,  9.37, 75.95, 42.66,
1982,34, 0.158,286.00,  8.54, 72.65, 40.60,
1982,35, 0.162,286.90,  6.59, 70.02, 38.31,
1982,36, 0.168,287.45,  5.69, 68.49, 37.09,
1982,37, 0.179,287.62,  5.75, 68.59, 37.17,
1982,38, 0.202,288.62, 11.50, 64.73, 38.11,
1982,39, 0.232,290.04, 26.12, 56.26, 41.19,
