Mean data for THA  Province= 1: Chai Nat,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.297,298.57, 72.30, 74.13, 73.22,
1982, 2, 0.269,299.69, 60.31, 64.39, 62.35,
1982, 3, 0.243,300.52, 49.53, 61.60, 55.56,
1982, 4, 0.219,301.33, 41.20, 59.55, 50.37,
1982, 5, 0.201,302.12, 36.26, 56.22, 46.24,
1982, 6, 0.188,302.97, 33.92, 51.59, 42.76,
1982, 7, 0.182,304.14, 33.90, 44.49, 39.20,
1982, 8, 0.180,305.24, 34.97, 37.71, 36.34,
1982, 9, 0.180,305.62, 35.60, 35.35, 35.47,
1982,10, 0.181,305.88, 35.82, 32.17, 33.99,
1982,11, 0.182,305.79, 35.81, 30.99, 33.40,
1982,12, 0.186,305.24, 37.54, 33.97, 35.75,
1982,13, 0.194,304.04, 41.28, 41.22, 41.25,
1982,14, 0.209,302.61, 47.03, 49.93, 48.48,
1982,15, 0.227,301.79, 52.99, 55.37, 54.18,
1982,16, 0.245,300.99, 56.27, 58.31, 57.29,
1982,17, 0.261,299.75, 59.39, 60.59, 59.99,
1982,18, 0.274,298.87, 60.40, 55.37, 57.88,
1982,19, 0.277,297.51, 56.43, 49.99, 53.21,
1982,20, 0.275,296.21, 51.17, 45.05, 48.11,
1982,21, 0.272,295.09, 47.16, 39.44, 43.30,
1982,22, 0.266,293.43, 43.72, 40.10, 41.91,
1982,23, 0.252,291.77, 38.34, 41.24, 39.79,
1982,24, 0.235,290.17, 33.25, 43.03, 38.14,
1982,25, 0.225,289.22, 31.81, 44.32, 38.07,
1982,26, 0.220,288.88, 33.22, 42.51, 37.87,
1982,27, 0.215,288.78, 33.26, 42.22, 37.74,
1982,28, 0.207,288.60, 31.88, 43.14, 37.51,
1982,29, 0.201,287.99, 30.42, 46.30, 38.36,
1982,30, 0.196,287.10, 29.48, 51.09, 40.29,
1982,31, 0.196,286.85, 28.81, 51.49, 40.15,
1982,32, 0.190,286.28, 24.76, 55.25, 40.01,
1982,33, 0.193,286.56, 22.58, 54.77, 38.68,
1982,34, 0.208,287.88, 22.85, 50.61, 36.73,
1982,35, 0.220,288.50, 21.01, 54.10, 37.55,
1982,36, 0.233,288.75, 20.15, 58.20, 39.17,
1982,37, 0.247,288.99, 19.16, 61.29, 40.23,
1982,38, 0.273,289.79, 24.09, 63.11, 43.60,
1982,39, 0.306,290.53, 34.32, 63.32, 48.82,
1982,40, 0.336,291.67, 46.05, 58.21, 52.13,
1982,41, 0.363,292.69, 56.79, 53.17, 54.98,
1982,42, 0.386,293.38, 62.70, 51.10, 56.90,
1982,43, 0.405,294.14, 68.09, 50.56, 59.32,
1982,44, 0.418,294.97, 71.58, 48.29, 59.93,
1982,45, 0.413,295.19, 68.77, 54.15, 61.46,
1982,46, 0.401,295.88, 64.74, 52.26, 58.50,
1982,47, 0.385,296.72, 59.55, 48.33, 53.94,
1982,48, 0.364,296.88, 53.61, 56.76, 55.19,
1982,49, 0.343,297.37, 48.68, 59.91, 54.29,
1982,50, 0.321,298.38, 48.01, 52.42, 50.21,
1982,51, 0.299,299.46, 45.79, 43.93, 44.86,
1982,52, 0.272,300.45, 39.83, 39.04, 39.44,
1983, 1, 0.245,301.66, 35.10, 30.72, 32.91,
1983, 2, 0.220,303.20, 28.04, 18.33, 23.18,
1983, 3, 0.201,304.45, 24.18, 13.65, 18.91,
1983, 4, 0.187,305.44, 23.11, 12.80, 17.95,
1983, 5, 0.173,306.07, 21.30, 14.85, 18.08,
1983, 6, 0.160,306.58, 19.04, 16.94, 17.99,
1983, 7, 0.147,307.13, 16.80, 17.92, 17.36,
1983, 8, 0.139,307.47, 14.88, 19.10, 16.99,
1983, 9, 0.130,307.46, 11.28, 20.90, 16.09,
1983,10, 0.123,307.52,  7.07, 19.92, 13.50,
1983,11, 0.119,307.73,  4.38, 16.88, 10.63,
1983,12, 0.118,307.37,  3.22, 18.16, 10.69,
1983,13, 0.121,307.00,  3.39, 18.62, 11.01,
1983,14, 0.130,306.63,  5.13, 17.36, 11.25,
1983,15, 0.140,305.45,  7.72, 24.30, 16.01,
1983,16, 0.156,303.62, 11.95, 35.61, 23.78,
1983,17, 0.178,301.89, 19.65, 41.62, 30.64,
1983,18, 0.205,300.40, 28.11, 41.19, 34.65,
1983,19, 0.231,298.84, 34.49, 37.77, 36.13,
1983,20, 0.259,297.58, 42.19, 33.23, 37.71,
1983,21, 0.284,296.53, 50.56, 27.97, 39.27,
1983,22, 0.296,295.70, 56.08, 22.49, 39.29,
1983,23, 0.300,294.85, 60.59, 18.44, 39.52,
1983,24, 0.305,294.21, 67.13, 14.59, 40.86,
1983,25, 0.308,293.70, 72.06, 14.04, 43.05,
1983,26, 0.303,293.53, 71.66, 12.82, 42.24,
1983,27, 0.295,293.37, 68.40, 12.08, 40.24,
1983,28, 0.288,292.67, 66.46, 14.96, 40.71,
1983,29, 0.294,292.41, 68.87, 16.49, 42.68,
1983,30, 0.302,292.31, 71.94, 16.76, 44.35,
1983,31, 0.304,291.74, 72.40, 20.18, 46.29,
1983,32, 0.301,290.80, 70.43, 25.94, 48.18,
1983,33, 0.306,290.58, 71.19, 27.67, 49.43,
1983,34, 0.312,290.31, 70.15, 33.15, 51.65,
1983,35, 0.316,290.08, 67.73, 41.02, 54.37,
1983,36, 0.325,289.96, 67.72, 46.10, 56.91,
1983,37, 0.336,290.06, 68.05, 49.76, 58.90,
1983,38, 0.347,290.14, 66.15, 58.24, 62.19,
1983,39, 0.357,290.32, 64.94, 65.23, 65.08,
1983,40, 0.373,290.76, 67.62, 69.53, 68.58,
1983,41, 0.385,291.02, 69.05, 74.97, 72.01,
1983,42, 0.394,291.74, 68.04, 73.69, 70.87,
1983,43, 0.402,292.53, 67.94, 74.04, 70.99,
1983,44, 0.409,293.03, 69.78, 77.02, 73.40,
1983,45, 0.414,293.48, 72.50, 79.11, 75.80,
1983,46, 0.417,294.13, 75.82, 78.21, 77.01,
1983,47, 0.413,294.62, 76.94, 80.17, 78.56,
1983,48, 0.401,295.00, 76.32, 86.35, 81.34,
1983,49, 0.383,295.52, 73.06, 89.73, 81.40,
1983,50, 0.358,295.95, 72.46, 91.74, 82.10,
1983,51, 0.328,296.06, 65.56, 95.43, 80.50,
1983,52, 0.302,296.46, 60.48, 96.21, 78.35,
1984, 1, 0.274,296.92, 56.10, 97.28, 76.69,
1984, 2, 0.242,297.12, 43.00, 97.96, 70.48,
1984, 3, 0.215,297.51, 33.28, 98.08, 65.68,
