Mean data for THA  Province= 21: Lop Buri,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.250,300.04, 45.52, 73.67, 59.59,
1982, 2, 0.223,301.12, 39.30, 64.92, 52.11,
1982, 3, 0.199,301.88, 34.20, 62.42, 48.31,
1982, 4, 0.177,302.62, 29.23, 60.75, 44.99,
1982, 5, 0.154,303.24, 22.30, 60.25, 41.28,
1982, 6, 0.137,303.89, 18.66, 57.29, 37.97,
1982, 7, 0.126,304.92, 18.58, 50.49, 34.54,
1982, 8, 0.121,306.03, 21.37, 42.64, 32.00,
1982, 9, 0.117,306.56, 22.73, 37.62, 30.18,
1982,10, 0.114,307.08, 24.42, 31.35, 27.88,
1982,11, 0.113,307.20, 26.17, 28.83, 27.50,
1982,12, 0.111,306.66, 25.22, 31.01, 28.12,
1982,13, 0.109,305.34, 23.59, 38.53, 31.06,
1982,14, 0.113,303.85, 24.46, 44.50, 34.48,
1982,15, 0.119,303.14, 27.07, 44.08, 35.58,
1982,16, 0.127,302.60, 29.31, 43.55, 36.43,
1982,17, 0.136,301.29, 29.55, 45.71, 37.63,
1982,18, 0.143,300.35, 29.03, 43.80, 36.41,
1982,19, 0.146,298.76, 26.67, 43.65, 35.16,
1982,20, 0.149,297.05, 24.57, 44.53, 34.55,
1982,21, 0.155,295.29, 24.03, 47.21, 35.62,
1982,22, 0.162,293.22, 23.62, 49.84, 36.73,
1982,23, 0.168,291.66, 23.82, 50.41, 37.11,
1982,24, 0.174,289.84, 24.26, 55.58, 39.92,
1982,25, 0.185,288.44, 26.38, 57.95, 42.16,
1982,26, 0.195,287.76, 30.91, 56.29, 43.60,
1982,27, 0.201,287.25, 34.03, 54.11, 44.07,
1982,28, 0.192,286.05, 30.95, 56.13, 43.54,
1982,29, 0.181,284.77, 26.11, 60.96, 43.53,
1982,30, 0.166,283.22, 19.58, 67.64, 43.61,
1982,31, 0.159,282.87, 16.34, 68.89, 42.62,
1982,32, 0.154,282.76, 12.22, 73.26, 42.74,
1982,33, 0.158,283.47, 10.02, 74.00, 42.01,
1982,34, 0.171,284.92,  9.21, 69.58, 39.40,
1982,35, 0.184,286.14,  8.33, 66.09, 37.21,
1982,36, 0.197,286.84,  7.84, 65.50, 36.67,
