Mean data for THA  Province= 29: Nakhon Sawan,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.270,298.74, 51.02, 79.46, 65.24,
1982, 2, 0.249,299.87, 47.84, 71.44, 59.64,
1982, 3, 0.230,300.74, 44.88, 67.59, 56.24,
1982, 4, 0.211,301.60, 41.76, 65.07, 53.42,
1982, 5, 0.195,302.46, 39.26, 60.84, 50.05,
1982, 6, 0.186,303.48, 39.53, 54.58, 47.06,
1982, 7, 0.178,304.74, 40.13, 47.48, 43.80,
1982, 8, 0.172,305.82, 40.26, 42.20, 41.23,
1982, 9, 0.166,306.41, 39.64, 38.68, 39.16,
1982,10, 0.161,306.95, 38.91, 34.04, 36.48,
1982,11, 0.155,306.87, 37.22, 33.69, 35.46,
1982,12, 0.149,306.22, 35.04, 38.60, 36.82,
1982,13, 0.145,304.94, 33.12, 46.96, 40.04,
1982,14, 0.146,303.52, 33.15, 54.38, 43.77,
1982,15, 0.149,302.70, 34.04, 54.82, 44.43,
1982,16, 0.153,301.86, 33.59, 53.67, 43.63,
1982,17, 0.156,300.59, 31.91, 54.21, 43.06,
1982,18, 0.155,299.54, 28.29, 51.55, 39.92,
1982,19, 0.151,297.73, 23.38, 52.98, 38.18,
1982,20, 0.147,295.75, 18.60, 57.17, 37.89,
1982,21, 0.145,293.75, 15.87, 59.90, 37.88,
1982,22, 0.144,291.73, 14.17, 62.30, 38.23,
1982,23, 0.147,290.29, 14.45, 61.27, 37.86,
1982,24, 0.151,288.74, 16.26, 60.72, 38.49,
1982,25, 0.158,287.44, 19.22, 60.10, 39.66,
1982,26, 0.169,287.25, 23.85, 54.37, 39.11,
1982,27, 0.179,287.22, 27.67, 50.81, 39.24,
1982,28, 0.182,287.11, 28.99, 47.56, 38.28,
1982,29, 0.186,286.66, 30.84, 46.93, 38.89,
1982,30, 0.187,286.01, 30.43, 49.22, 39.83,
1982,31, 0.190,286.03, 29.89, 49.13, 39.51,
1982,32, 0.194,285.86, 27.89, 51.90, 39.90,
1982,33, 0.203,286.13, 26.07, 52.71, 39.39,
1982,34, 0.218,287.02, 25.15, 50.43, 37.79,
1982,35, 0.232,287.90, 24.04, 50.38, 37.21,
1982,36, 0.250,288.77, 26.01, 49.50, 37.75,
1982,37, 0.270,289.36, 29.98, 49.69, 39.84,
1982,38, 0.292,290.23, 35.50, 47.56, 41.53,
1982,39, 0.314,291.45, 40.69, 41.51, 41.10,
1982,40, 0.333,292.70, 44.87, 34.47, 39.67,
1982,41, 0.351,293.59, 48.94, 31.46, 40.20,
1982,42, 0.367,294.14, 52.06, 33.94, 43.00,
1982,43, 0.379,294.67, 55.40, 38.92, 47.16,
1982,44, 0.387,295.22, 57.76, 42.00, 49.88,
1982,45, 0.387,295.69, 58.34, 44.27, 51.31,
1982,46, 0.378,296.24, 57.14, 45.67, 51.41,
1982,47, 0.365,296.74, 54.52, 47.83, 51.17,
1982,48, 0.351,296.96, 52.87, 56.15, 54.51,
1982,49, 0.338,297.43, 51.64, 60.91, 56.28,
1982,50, 0.324,298.38, 55.59, 54.37, 54.98,
1982,51, 0.309,299.38, 56.19, 48.88, 52.54,
1982,52, 0.289,300.33, 53.38, 44.53, 48.95,
1983, 1, 0.267,301.43, 49.89, 37.37, 43.63,
1983, 2, 0.244,302.85, 45.86, 26.98, 36.42,
1983, 3, 0.225,304.19, 43.12, 20.09, 31.60,
1983, 4, 0.210,305.20, 42.43, 18.23, 30.33,
1983, 5, 0.195,305.78, 40.54, 20.29, 30.41,
1983, 6, 0.181,306.38, 38.03, 22.02, 30.03,
1983, 7, 0.167,307.08, 34.56, 23.89, 29.23,
1983, 8, 0.155,307.64, 31.70, 25.63, 28.66,
1983, 9, 0.143,307.85, 27.01, 26.69, 26.85,
1983,10, 0.132,308.23, 21.43, 24.03, 22.73,
1983,11, 0.124,308.89, 17.94, 18.70, 18.32,
1983,12, 0.116,308.92, 14.47, 18.42, 16.44,
1983,13, 0.109,308.71, 11.00, 19.30, 15.15,
1983,14, 0.105,308.26,  9.16, 19.46, 14.31,
1983,15, 0.102,307.17,  8.20, 22.97, 15.58,
1983,16, 0.104,305.55,  8.33, 28.12, 18.22,
1983,17, 0.112,303.90, 10.33, 31.38, 20.86,
1983,18, 0.126,302.37, 14.11, 31.74, 22.93,
1983,19, 0.144,300.86, 20.63, 30.41, 25.52,
1983,20, 0.168,299.54, 30.66, 29.13, 29.90,
1983,21, 0.191,298.27, 40.02, 27.89, 33.96,
1983,22, 0.207,296.87, 45.80, 26.34, 36.07,
1983,23, 0.219,295.69, 49.69, 23.47, 36.58,
1983,24, 0.235,294.93, 55.67, 17.61, 36.64,
1983,25, 0.251,294.29, 61.47, 12.51, 36.99,
1983,26, 0.266,293.98, 66.03,  8.39, 37.21,
1983,27, 0.274,293.29, 68.09,  9.61, 38.85,
1983,28, 0.277,292.17, 69.40, 13.31, 41.35,
1983,29, 0.286,291.57, 72.77, 15.23, 44.00,
1983,30, 0.294,290.92, 75.28, 18.57, 46.93,
1983,31, 0.300,290.11, 76.71, 24.01, 50.36,
1983,32, 0.302,288.97, 75.48, 32.59, 54.03,
1983,33, 0.310,288.50, 74.21, 37.49, 55.85,
1983,34, 0.316,288.37, 70.47, 42.01, 56.24,
1983,35, 0.319,288.14, 64.90, 48.94, 56.92,
1983,36, 0.325,288.22, 61.51, 53.06, 57.28,
1983,37, 0.332,288.16, 59.68, 58.85, 59.27,
1983,38, 0.337,288.08, 56.43, 65.66, 61.05,
1983,39, 0.339,288.21, 52.77, 71.40, 62.08,
1983,40, 0.345,288.32, 50.55, 78.05, 64.30,
1983,41, 0.350,288.80, 49.03, 82.75, 65.89,
1983,42, 0.359,290.05, 48.35, 81.64, 64.99,
1983,43, 0.365,291.01, 48.49, 82.70, 65.59,
1983,44, 0.373,291.92, 50.79, 82.33, 66.56,
1983,45, 0.376,292.50, 52.96, 83.88, 68.42,
1983,46, 0.376,293.32, 56.21, 82.84, 69.53,
1983,47, 0.375,294.17, 59.88, 81.81, 70.85,
1983,48, 0.366,295.01, 62.01, 83.59, 72.80,
1983,49, 0.355,295.99, 62.33, 82.34, 72.34,
1983,50, 0.336,296.44, 63.30, 84.74, 74.02,
1983,51, 0.311,296.84, 58.07, 88.49, 73.28,
1983,52, 0.287,297.23, 52.12, 91.34, 71.73,
1984, 1, 0.265,297.71, 48.45, 93.86, 71.15,
1984, 2, 0.242,298.23, 43.87, 94.14, 69.00,
1984, 3, 0.221,298.73, 39.78, 93.82, 66.80,
1984, 4, 0.204,299.41, 37.96, 92.55, 65.25,
1984, 5, 0.190,299.93, 36.48, 90.94, 63.71,
1984, 6, 0.176,300.09, 33.59, 91.82, 62.71,
1984, 7, 0.166,300.45, 33.27, 90.06, 61.67,
1984, 8, 0.162,300.85, 34.53, 87.16, 60.85,
1984, 9, 0.159,301.19, 35.07, 82.57, 58.82,
1984,10, 0.161,301.62, 39.09, 76.54, 57.81,
1984,11, 0.165,301.89, 44.71, 71.59, 58.15,
1984,12, 0.168,302.19, 48.10, 69.20, 58.65,
1984,13, 0.167,301.71, 48.11, 70.80, 59.46,
1984,14, 0.169,300.90, 47.61, 73.30, 60.46,
1984,15, 0.173,299.89, 47.82, 74.10, 60.96,
1984,16, 0.181,298.91, 48.95, 73.09, 61.02,
1984,17, 0.196,298.18, 53.07, 69.91, 61.49,
1984,18, 0.211,297.01, 56.68, 68.54, 62.61,
1984,19, 0.222,295.72, 59.42, 67.33, 63.38,
1984,20, 0.235,295.03, 62.84, 62.21, 62.53,
1984,21, 0.240,293.37, 62.79, 62.34, 62.56,
1984,22, 0.241,291.60, 61.11, 63.36, 62.24,
1984,23, 0.243,290.32, 60.22, 61.30, 60.76,
1984,24, 0.244,289.04, 59.60, 59.38, 59.49,
1984,25, 0.245,288.10, 58.70, 56.38, 57.54,
1984,26, 0.248,287.29, 58.68, 55.00, 56.84,
1984,27, 0.257,287.44, 61.23, 50.87, 56.05,
1984,28, 0.267,287.61, 64.83, 46.32, 55.57,
1984,29, 0.274,287.26, 67.33, 45.13, 56.23,
1984,30, 0.281,287.28, 69.48, 42.49, 55.99,
1984,31, 0.279,286.48, 67.52, 46.99, 57.25,
1984,32, 0.279,285.72, 64.83, 53.76, 59.29,
1984,33, 0.281,285.23, 60.87, 60.13, 60.50,
1984,34, 0.283,284.68, 54.73, 67.39, 61.06,
1984,35, 0.292,285.30, 52.05, 69.00, 60.52,
1984,36, 0.304,286.34, 51.25, 66.84, 59.04,
1984,37, 0.314,287.35, 51.16, 64.31, 57.73,
1984,38, 0.323,288.31, 50.35, 62.78, 56.57,
1984,39, 0.337,289.46, 51.87, 59.69, 55.78,
1984,40, 0.352,290.82, 54.11, 53.47, 53.79,
1984,41, 0.359,291.73, 53.06, 52.06, 52.56,
1984,42, 0.365,292.79, 51.49, 50.17, 50.83,
1984,43, 0.376,294.46, 54.42, 41.36, 47.89,
1984,44, 0.381,295.60, 55.75, 36.93, 46.34,
1984,45, 0.378,296.23, 55.07, 37.53, 46.30,
1984,46, 0.377,297.17, 57.87, 33.77, 45.82,
1984,47, 0.377,297.94, 62.41, 32.30, 47.35,
1984,48, 0.373,298.58, 66.70, 34.03, 50.37,
1984,49, 0.381,299.58, 78.27, 29.72, 54.00,
1984,50,-1.000, -1.00, -1.00, -1.00, -1.00,
1984,51,-1.000, -1.00, -1.00, -1.00, -1.00,
1984,52,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 1,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 2,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 3,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 4,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 5,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 6,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 7,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 8,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 9, 0.136,308.13, 22.09, 25.16, 23.62,
1985,10, 0.127,307.37, 18.67, 30.86, 24.76,
1985,11, 0.128,307.94, 21.15, 25.69, 23.42,
1985,12, 0.131,308.23, 24.20, 23.58, 23.89,
1985,13, 0.137,308.27, 28.01, 22.62, 25.32,
1985,14, 0.143,307.74, 31.50, 23.55, 27.52,
1985,15, 0.150,306.51, 34.33, 27.74, 31.03,
1985,16, 0.158,304.59, 36.14, 35.08, 35.61,
1985,17, 0.167,302.08, 37.11, 44.40, 40.76,
1985,18, 0.174,299.39, 37.71, 52.95, 45.33,
1985,19, 0.179,296.08, 37.12, 64.87, 51.00,
1985,20, 0.188,293.50, 39.29, 73.49, 56.39,
