Mean data for THA  Province= 46: Phra Nakhon Si Ayutthaya,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.222,298.52, 48.34, 55.73, 52.04,
1982, 2, 0.207,299.31, 40.01, 50.20, 45.10,
1982, 3, 0.195,299.83, 34.10, 51.45, 42.78,
1982, 4, 0.189,300.30, 29.86, 53.45, 41.65,
1982, 5, 0.184,300.56, 27.32, 55.75, 41.53,
1982, 6, 0.186,300.83, 28.45, 57.32, 42.89,
1982, 7, 0.191,301.43, 32.16, 52.31, 42.24,
1982, 8, 0.195,302.15, 36.03, 46.20, 41.11,
1982, 9, 0.198,302.42, 37.99, 44.21, 41.10,
1982,10, 0.200,302.71, 40.56, 39.65, 40.10,
1982,11, 0.201,302.70, 42.25, 38.26, 40.25,
1982,12, 0.200,302.16, 43.17, 43.51, 43.34,
1982,13, 0.196,301.01, 43.78, 51.45, 47.61,
1982,14, 0.192,299.84, 45.85, 56.91, 51.38,
1982,15, 0.191,299.22, 50.35, 58.46, 54.40,
1982,16, 0.188,298.23, 52.33, 61.19, 56.76,
1982,17, 0.184,297.26, 51.14, 60.75, 55.95,
1982,18, 0.178,296.65, 45.87, 57.06, 51.47,
1982,19, 0.167,294.70, 38.61, 59.34, 48.97,
1982,20, 0.160,293.18, 32.59, 58.24, 45.41,
1982,21, 0.155,291.44, 27.25, 58.58, 42.91,
1982,22, 0.150,289.19, 23.81, 61.92, 42.87,
1982,23, 0.148,287.57, 22.41, 62.98, 42.70,
1982,24, 0.147,285.83, 22.30, 65.72, 44.01,
1982,25, 0.153,284.77, 24.55, 68.50, 46.52,
1982,26, 0.164,284.38, 27.82, 70.05, 48.94,
1982,27, 0.172,284.22, 29.63, 71.64, 50.63,
1982,28, 0.178,283.97, 30.17, 72.11, 51.14,
1982,29, 0.180,283.05, 27.97, 76.15, 52.06,
1982,30, 0.178,282.77, 26.17, 74.62, 50.39,
1982,31, 0.175,283.12, 23.70, 70.76, 47.23,
1982,32, 0.165,282.37, 18.56, 75.38, 46.97,
1982,33, 0.166,282.75, 16.50, 75.00, 45.75,
1982,34, 0.175,283.91, 16.97, 70.81, 43.89,
1982,35, 0.181,284.55, 17.61, 69.32, 43.47,
1982,36, 0.187,285.27, 22.40, 67.23, 44.81,
1982,37, 0.196,285.82, 28.44, 64.92, 46.68,
1982,38, 0.213,287.29, 38.13, 55.96, 47.05,
1982,39, 0.232,289.21, 48.63, 43.88, 46.26,
1982,40, 0.251,291.54, 57.54, 29.46, 43.50,
1982,41, 0.267,292.97, 63.86, 22.72, 43.29,
1982,42, 0.280,293.82, 66.43, 21.57, 44.00,
1982,43, 0.294,294.59, 68.68, 21.00, 44.84,
1982,44, 0.306,295.14, 70.57, 23.35, 46.96,
1982,45, 0.309,295.21, 69.47, 30.37, 49.92,
1982,46, 0.308,295.60, 68.55, 33.75, 51.15,
1982,47, 0.306,296.37, 67.89, 32.80, 50.34,
1982,48, 0.295,296.66, 64.20, 37.55, 50.87,
1982,49, 0.282,296.59, 58.97, 47.84, 53.41,
1982,50, 0.271,297.05, 61.47, 46.73, 54.10,
1982,51, 0.258,297.66, 61.03, 44.15, 52.59,
1982,52, 0.240,298.18, 57.46, 45.89, 51.67,
1983, 1, 0.219,298.77, 38.90, 50.48, 44.69,
1983, 2, 0.201,299.43, 28.62, 47.92, 38.27,
1983, 3, 0.190,300.44, 23.86, 41.43, 32.64,
1983, 4, 0.186,301.56, 23.35, 33.68, 28.52,
1983, 5, 0.185,302.21, 25.27, 30.95, 28.11,
1983, 6, 0.186,302.81, 26.85, 29.89, 28.37,
1983, 7, 0.185,303.24, 28.19, 29.83, 29.01,
1983, 8, 0.186,303.71, 30.48, 29.13, 29.81,
1983, 9, 0.185,303.97, 30.56, 28.73, 29.64,
1983,10, 0.181,304.17, 29.73, 26.24, 27.98,
1983,11, 0.178,304.14, 28.88, 25.03, 26.96,
1983,12, 0.171,304.09, 27.07, 25.37, 26.22,
1983,13, 0.165,304.61, 26.66, 20.69, 23.67,
1983,14, 0.155,304.27, 25.93, 21.01, 23.47,
1983,15, 0.143,302.91, 24.55, 29.81, 27.18,
1983,16, 0.134,301.68, 24.03, 35.58, 29.80,
1983,17, 0.131,300.98, 23.40, 33.20, 28.30,
1983,18, 0.131,299.64, 22.22, 34.33, 28.27,
1983,19, 0.133,297.78, 21.23, 36.01, 28.62,
1983,20, 0.140,295.99, 22.95, 35.75, 29.35,
1983,21, 0.156,294.91, 29.16, 33.16, 31.16,
1983,22, 0.170,293.85, 34.70, 30.28, 32.49,
1983,23, 0.187,293.01, 42.32, 27.65, 34.99,
1983,24, 0.207,291.66, 51.55, 28.41, 39.98,
1983,25, 0.232,291.60, 62.88, 24.15, 43.51,
1983,26, 0.259,292.09, 72.51, 19.54, 46.02,
1983,27, 0.274,291.52, 75.55, 22.05, 48.80,
1983,28, 0.284,290.26, 77.10, 29.62, 53.36,
1983,29, 0.296,289.99, 78.34, 32.12, 55.23,
1983,30, 0.300,290.00, 79.00, 29.74, 54.37,
1983,31, 0.303,289.80, 79.76, 29.13, 54.44,
1983,32, 0.297,289.13, 79.04, 31.89, 55.46,
1983,33, 0.297,289.05, 79.56, 32.59, 56.07,
1983,34, 0.299,289.24, 80.00, 34.29, 57.15,
1983,35, 0.291,288.91, 76.15, 40.17, 58.16,
1983,36, 0.287,288.92, 74.13, 42.87, 58.50,
1983,37, 0.282,288.75, 71.56, 45.05, 58.31,
1983,38, 0.273,287.84, 66.38, 52.43, 59.41,
1983,39, 0.263,286.87, 60.29, 61.52, 60.91,
1983,40, 0.249,286.04, 54.11, 70.76, 62.44,
1983,41, 0.246,286.14, 52.84, 74.03, 63.44,
1983,42, 0.246,287.09, 51.57, 73.86, 62.72,
1983,43, 0.246,287.75, 50.46, 72.67, 61.57,
1983,44, 0.253,289.02, 51.38, 71.10, 61.24,
1983,45, 0.258,289.80, 51.92, 72.69, 62.30,
1983,46, 0.268,290.80, 54.40, 73.54, 63.97,
1983,47, 0.281,292.10, 58.29, 71.69, 64.99,
1983,48, 0.283,293.00, 58.81, 74.58, 66.69,
1983,49, 0.282,294.15, 57.75, 75.25, 66.50,
1983,50, 0.272,295.01, 62.87, 72.46, 67.67,
1983,51, 0.253,295.46, 60.88, 74.98, 67.93,
1983,52, 0.231,295.90, 55.74, 81.59, 68.67,
1984, 1, 0.212,296.27, 41.56, 95.42, 68.49,
1984, 2, 0.194,296.72, 32.65, 95.85, 64.25,
1984, 3, 0.181,297.33, 26.50, 94.45, 60.48,
1984, 4, 0.179,298.03, 26.20, 90.70, 58.45,
1984, 5, 0.180,298.53, 29.02, 86.82, 57.92,
1984, 6, 0.184,298.64, 31.59, 88.10, 59.84,
1984, 7, 0.194,298.90, 37.30, 84.74, 61.02,
1984, 8, 0.205,299.14, 43.74, 79.94, 61.84,
1984, 9, 0.212,299.21, 47.92, 76.13, 62.03,
1984,10, 0.216,299.32, 50.70, 70.42, 60.56,
1984,11, 0.220,299.43, 53.42, 66.46, 59.94,
1984,12, 0.220,299.55, 54.12, 66.33, 60.22,
1984,13, 0.214,298.69, 53.06, 71.39, 62.22,
1984,14, 0.206,297.77, 51.35, 74.06, 62.71,
1984,15, 0.195,297.06, 49.66, 74.83, 62.24,
1984,16, 0.189,296.15, 49.81, 75.61, 62.71,
1984,17, 0.187,295.41, 50.17, 72.91, 61.54,
1984,18, 0.181,294.22, 45.82, 72.49, 59.15,
