Mean data for THA  Province= 63: Sing Buri,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.303,297.82, 77.83, 84.66, 81.24,
1982, 2, 0.265,298.80, 55.33, 76.06, 65.70,
1982, 3, 0.231,299.62, 39.26, 70.81, 55.03,
1982, 4, 0.202,300.36, 29.58, 67.57, 48.57,
1982, 5, 0.177,300.97, 22.50, 62.98, 42.74,
1982, 6, 0.161,301.61, 19.46, 57.63, 38.54,
1982, 7, 0.152,302.38, 18.86, 51.19, 35.03,
1982, 8, 0.148,303.09, 19.29, 44.52, 31.91,
1982, 9, 0.149,303.47, 19.63, 39.76, 29.70,
1982,10, 0.153,303.64, 19.70, 36.42, 28.06,
1982,11, 0.162,303.54, 20.47, 34.66, 27.57,
1982,12, 0.176,302.99, 22.91, 37.29, 30.10,
1982,13, 0.194,301.79, 27.99, 46.20, 37.09,
1982,14, 0.217,300.59, 34.81, 55.64, 45.22,
1982,15, 0.240,299.44, 41.34, 67.10, 54.22,
1982,16, 0.268,298.41, 51.14, 70.68, 60.91,
1982,17, 0.298,297.60, 59.53, 69.92, 64.72,
1982,18, 0.321,296.60, 62.84, 68.07, 65.46,
1982,19, 0.332,295.49, 61.40, 64.18, 62.79,
1982,20, 0.332,294.14, 55.67, 64.35, 60.01,
1982,21, 0.322,292.43, 51.64, 65.35, 58.49,
1982,22, 0.307,290.57, 48.57, 67.90, 58.23,
1982,23, 0.291,289.29, 46.07, 67.29, 56.68,
1982,24, 0.272,288.29, 43.17, 66.93, 55.05,
1982,25, 0.257,288.25, 42.41, 62.58, 52.49,
1982,26, 0.240,288.35, 42.12, 56.07, 49.09,
1982,27, 0.217,288.61, 37.24, 51.67, 44.45,
1982,28, 0.190,288.39, 26.90, 51.21, 39.06,
1982,29, 0.169,287.56, 18.57, 54.64, 36.60,
1982,30, 0.153,287.19, 13.00, 54.02, 33.51,
1982,31, 0.138,286.65,  6.67, 57.03, 31.85,
1982,32, 0.124,286.23,  3.74, 62.13, 32.94,
1982,33, 0.118,286.21,  2.84, 64.11, 33.47,
1982,34, 0.120,286.69,  2.66, 64.12, 33.39,
1982,35, 0.131,287.46,  2.66, 60.94, 31.80,
1982,36, 0.151,288.01,  3.85, 60.22, 32.03,
1982,37, 0.182,288.61,  9.02, 57.70, 33.36,
1982,38, 0.221,290.09, 23.89, 50.24, 37.07,
1982,39, 0.260,291.11, 38.24, 46.60, 42.42,
1982,40, 0.295,292.19, 48.17, 41.36, 44.77,
1982,41, 0.330,293.15, 57.41, 37.08, 47.25,
1982,42, 0.363,293.60, 64.11, 39.44, 51.78,
1982,43, 0.396,294.18, 71.19, 40.43, 55.81,
1982,44, 0.422,294.56, 77.52, 44.52, 61.02,
1982,45, 0.436,294.94, 81.94, 47.21, 64.57,
1982,46, 0.439,295.46, 84.82, 49.77, 67.30,
1982,47, 0.432,295.82, 84.74, 53.35, 69.05,
1982,48, 0.417,295.97, 82.12, 61.75, 71.93,
1982,49, 0.397,296.13, 77.50, 68.96, 73.23,
1982,50, 0.371,297.02, 75.32, 62.68, 69.00,
1982,51, 0.337,298.12, 70.30, 54.89, 62.59,
1982,52, 0.294,299.07, 58.93, 50.35, 54.64,
1983, 1, 0.248,300.26, 41.00, 44.02, 42.51,
1983, 2, 0.212,301.67, 24.39, 30.47, 27.43,
1983, 3, 0.184,303.13, 15.73, 18.60, 17.16,
1983, 4, 0.161,304.15, 11.29, 13.98, 12.63,
1983, 5, 0.143,304.69,  8.35, 13.64, 11.00,
1983, 6, 0.128,305.20,  6.77, 14.33, 10.55,
1983, 7, 0.118,305.68,  6.48, 16.21, 11.34,
1983, 8, 0.115,306.00,  7.39, 16.13, 11.76,
1983, 9, 0.115,305.92,  7.54, 17.65, 12.60,
1983,10, 0.118,305.76,  7.38, 18.48, 12.93,
1983,11, 0.129,305.80,  8.58, 15.71, 12.15,
1983,12, 0.145,305.33, 11.56, 17.22, 14.39,
1983,13, 0.168,304.82, 18.17, 19.44, 18.81,
1983,14, 0.198,304.21, 27.68, 21.61, 24.64,
1983,15, 0.229,303.13, 37.82, 30.86, 34.34,
1983,16, 0.265,301.82, 50.74, 38.10, 44.42,
