Mean data for THA  Province= 67: Suphan Buri,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.310,297.65, 63.09, 71.07, 67.08,
1982, 2, 0.287,298.72, 56.56, 64.02, 60.29,
1982, 3, 0.265,299.51, 51.20, 61.65, 56.43,
1982, 4, 0.245,300.30, 45.69, 59.22, 52.45,
1982, 5, 0.226,301.02, 40.49, 57.23, 48.86,
1982, 6, 0.211,301.81, 37.29, 53.92, 45.61,
1982, 7, 0.200,302.92, 35.31, 46.05, 40.68,
1982, 8, 0.191,303.95, 33.90, 39.12, 36.51,
1982, 9, 0.184,304.46, 32.57, 35.95, 34.26,
1982,10, 0.180,304.86, 32.38, 31.78, 32.08,
1982,11, 0.178,304.90, 31.86, 31.06, 31.46,
1982,12, 0.179,304.45, 31.67, 34.86, 33.27,
1982,13, 0.182,303.30, 32.39, 44.11, 38.25,
1982,14, 0.193,301.79, 36.43, 54.88, 45.66,
1982,15, 0.207,300.47, 42.05, 63.14, 52.60,
1982,16, 0.224,299.40, 47.28, 65.10, 56.19,
1982,17, 0.241,298.36, 52.83, 64.07, 58.45,
1982,18, 0.252,297.12, 55.03, 62.79, 58.91,
1982,19, 0.253,295.28, 52.29, 62.55, 57.42,
1982,20, 0.254,293.54, 47.41, 62.63, 55.02,
1982,21, 0.253,291.90, 43.52, 60.46, 51.99,
1982,22, 0.250,289.95, 38.96, 61.31, 50.14,
1982,23, 0.243,288.30, 34.45, 62.38, 48.42,
1982,24, 0.235,286.65, 30.70, 64.75, 47.72,
1982,25, 0.232,285.64, 30.09, 66.92, 48.51,
1982,26, 0.236,285.73, 32.91, 63.46, 48.19,
1982,27, 0.235,285.81, 34.12, 60.18, 47.15,
1982,28, 0.225,285.40, 32.06, 58.00, 45.03,
1982,29, 0.214,285.00, 29.62, 55.31, 42.46,
1982,30, 0.202,284.92, 27.48, 52.58, 40.03,
1982,31, 0.190,284.90, 24.28, 51.11, 37.69,
1982,32, 0.171,283.55, 17.18, 58.41, 37.79,
1982,33, 0.167,283.52, 14.78, 62.72, 38.75,
1982,34, 0.178,285.24, 16.55, 60.44, 38.49,
1982,35, 0.187,285.88, 16.44, 63.41, 39.93,
1982,36, 0.198,286.14, 16.43, 66.87, 41.65,
1982,37, 0.210,286.09, 17.28, 71.38, 44.33,
1982,38, 0.234,287.17, 22.69, 69.27, 45.98,
1982,39, 0.263,289.06, 32.09, 60.16, 46.12,
1982,40, 0.293,291.03, 42.38, 47.19, 44.78,
1982,41, 0.319,292.37, 51.11, 40.57, 45.84,
1982,42, 0.341,293.22, 56.20, 38.04, 47.12,
1982,43, 0.359,294.26, 61.19, 33.45, 47.32,
1982,44, 0.370,295.07, 63.88, 31.60, 47.74,
1982,45, 0.367,294.60, 61.50, 43.96, 52.73,
1982,46, 0.363,295.32, 58.91, 41.82, 50.37,
