Mean data for TUR  Province= 7: Ankara,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.092,275.83, 38.88, 25.24, 32.06,
1982, 2, 0.092,276.35, 41.97, 22.50, 32.23,
1982, 3, 0.092,276.70, 42.95, 22.96, 32.96,
1982, 4, 0.089,276.55, 41.43, 26.81, 34.12,
1982, 5, 0.092,277.59, 41.59, 24.88, 33.24,
1982, 6, 0.095,279.25, 41.80, 22.23, 32.02,
1982, 7, 0.098,280.77, 41.58, 23.56, 32.57,
1982, 8, 0.105,282.52, 42.27, 25.26, 33.77,
1982, 9, 0.113,283.84, 42.37, 30.33, 36.35,
1982,10, 0.121,285.21, 41.59, 35.05, 38.32,
1982,11, 0.130,286.16, 40.21, 44.23, 42.22,
1982,12, 0.142,287.67, 39.85, 49.48, 44.66,
1982,13, 0.154,289.23, 37.80, 55.59, 46.70,
1982,14, 0.166,290.53, 34.83, 59.38, 47.11,
1982,15, 0.177,291.71, 31.51, 60.20, 45.85,
1982,16, 0.192,292.78, 29.82, 61.94, 45.88,
1982,17, 0.211,293.66, 29.87, 66.78, 48.33,
1982,18, 0.228,294.57, 30.25, 71.99, 51.12,
1982,19, 0.241,295.92, 30.77, 73.35, 52.06,
1982,20, 0.247,296.58, 32.68, 78.80, 55.74,
1982,21, 0.251,297.30, 34.73, 80.73, 57.73,
1982,22, 0.253,298.16, 38.23, 82.76, 60.49,
1982,23, 0.254,299.29, 42.22, 83.99, 63.11,
1982,24, 0.251,300.70, 46.67, 84.26, 65.46,
1982,25, 0.244,302.10, 50.43, 82.41, 66.42,
1982,26, 0.230,303.04, 49.58, 84.02, 66.80,
1982,27, 0.214,304.04, 46.66, 84.42, 65.54,
1982,28, 0.194,304.68, 41.69, 85.95, 63.82,
1982,29, 0.180,305.24, 39.30, 86.69, 63.00,
1982,30, 0.173,306.10, 41.37, 83.01, 62.19,
1982,31, 0.165,306.73, 42.10, 78.70, 60.40,
1982,32, 0.157,307.01, 40.73, 75.03, 57.88,
1982,33, 0.149,306.67, 38.83, 74.53, 56.68,
1982,34, 0.143,306.11, 36.65, 74.51, 55.58,
1982,35, 0.139,305.30, 36.58, 73.68, 55.13,
1982,36, 0.136,304.47, 36.80, 70.23, 53.52,
1982,37, 0.133,303.67, 36.61, 65.28, 50.94,
1982,38, 0.129,302.33, 35.21, 62.38, 48.80,
1982,39, 0.127,301.20, 34.84, 54.14, 44.49,
1982,40, 0.123,299.86, 34.00, 44.42, 39.21,
1982,41, 0.119,297.75, 33.89, 38.05, 35.97,
1982,42, 0.117,295.23, 35.99, 39.29, 37.64,
1982,43, 0.114,292.59, 36.00, 38.35, 37.18,
1982,44, 0.110,290.25, 34.03, 34.38, 34.20,
1982,45, 0.107,287.91, 32.11, 32.31, 32.21,
1982,46, 0.101,285.02, 29.32, 37.68, 33.50,
1982,47, 0.095,282.61, 26.71, 40.07, 33.39,
1982,48, 0.088,280.40, 25.16, 41.86, 33.51,
1982,49, 0.082,278.60, 23.05, 40.37, 31.71,
1982,50, 0.075,277.01, 19.67, 36.55, 28.11,
1982,51, 0.064,274.29, 15.10, 41.54, 28.32,
1982,52, 0.053,271.75, 10.34, 46.35, 28.35,
1983, 1, 0.042,268.90,  5.82, 59.53, 32.67,
1983, 2, 0.035,267.09,  5.02, 66.42, 35.72,
1983, 3, 0.031,266.60,  4.25, 70.15, 37.20,
1983, 4, 0.029,267.51,  3.26, 68.55, 35.90,
1983, 5, 0.030,268.78,  2.30, 64.12, 33.21,
1983, 6, 0.031,269.98,  1.55, 63.83, 32.69,
1983, 7, 0.032,270.43,  1.04, 70.74, 35.89,
1983, 8, 0.034,271.78,  0.96, 76.90, 38.93,
1983, 9, 0.038,273.82,  1.27, 80.71, 40.99,
1983,10, 0.046,277.30,  2.11, 77.37, 39.74,
1983,11, 0.059,282.24,  3.97, 65.55, 34.76,
1983,12, 0.073,285.82,  4.99, 59.13, 32.06,
1983,13, 0.088,289.01,  4.55, 54.89, 29.72,
1983,14, 0.103,291.00,  3.44, 53.70, 28.57,
1983,15, 0.121,292.87,  4.51, 49.55, 27.03,
1983,16, 0.141,294.49,  5.91, 46.83, 26.37,
1983,17, 0.165,296.29,  8.30, 43.67, 25.98,
1983,18, 0.188,297.48, 10.83, 46.85, 28.84,
1983,19, 0.206,298.36, 13.35, 52.35, 32.85,
1983,20, 0.217,298.44, 18.07, 63.53, 40.80,
1983,21, 0.224,298.69, 21.27, 69.31, 45.29,
1983,22, 0.228,298.96, 25.18, 75.96, 50.57,
1983,23, 0.230,299.65, 29.75, 80.80, 55.27,
1983,24, 0.230,300.67, 34.66, 84.30, 59.48,
1983,25, 0.223,301.33, 37.72, 88.91, 63.31,
1983,26, 0.213,302.27, 38.30, 90.35, 64.32,
1983,27, 0.200,303.33, 37.74, 90.20, 63.97,
1983,28, 0.188,304.23, 37.11, 89.68, 63.40,
1983,29, 0.177,304.91, 36.78, 89.40, 63.09,
1983,30, 0.169,305.40, 37.55, 89.04, 63.29,
1983,31, 0.162,305.69, 37.71, 87.92, 62.82,
1983,32, 0.156,305.55, 38.23, 87.84, 63.03,
1983,33, 0.151,305.24, 38.57, 87.19, 62.88,
1983,34, 0.144,304.86, 36.08, 85.65, 60.87,
1983,35, 0.142,304.53, 37.20, 80.86, 59.03,
1983,36, 0.138,303.88, 36.82, 76.08, 56.45,
1983,37, 0.135,303.03, 36.92, 72.51, 54.72,
1983,38, 0.131,301.55, 34.39, 71.86, 53.12,
1983,39, 0.126,300.01, 31.84, 69.52, 50.68,
1983,40, 0.121,298.11, 29.71, 66.97, 48.34,
1983,41, 0.114,295.22, 25.36, 68.43, 46.90,
1983,42, 0.103,291.76, 18.91, 78.13, 48.52,
1983,43, 0.092,288.44, 13.36, 83.65, 48.50,
1983,44, 0.084,285.33, 10.36, 85.96, 48.16,
1983,45, 0.079,282.07,  9.62, 87.36, 48.49,
1983,46, 0.075,279.25, 10.00, 86.03, 48.01,
1983,47, 0.071,276.86, 10.69, 83.24, 46.97,
1983,48, 0.070,275.04, 12.93, 79.34, 46.13,
1983,49, 0.069,273.47, 14.27, 73.29, 43.78,
1983,50, 0.069,272.68, 15.35, 61.64, 38.50,
1983,51, 0.069,272.61, 17.67, 49.08, 33.38,
1983,52, 0.070,272.73, 21.17, 40.11, 30.64,
1984, 1, 0.072,273.08, 25.81, 36.83, 31.32,
1984, 2, 0.072,272.96, 29.04, 35.92, 32.48,
1984, 3, 0.070,272.95, 29.17, 37.27, 33.22,
1984, 4, 0.070,273.73, 29.03, 36.41, 32.72,
1984, 5, 0.072,275.67, 28.97, 31.05, 30.01,
1984, 6, 0.079,278.44, 31.13, 24.06, 27.60,
