Mean data for TUR  Province= 47: Konya,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.094,276.98, 42.09, 24.32, 33.21,
1982, 2, 0.093,277.15, 44.00, 23.06, 33.53,
1982, 3, 0.092,277.18, 44.08, 24.92, 34.50,
1982, 4, 0.087,276.71, 40.91, 29.60, 35.26,
1982, 5, 0.084,276.97, 37.90, 31.09, 34.50,
1982, 6, 0.083,277.46, 36.00, 32.96, 34.48,
1982, 7, 0.084,278.55, 35.69, 34.12, 34.90,
1982, 8, 0.090,280.62, 37.12, 32.21, 34.66,
1982, 9, 0.095,282.23, 37.86, 33.14, 35.50,
1982,10, 0.101,283.60, 37.09, 36.05, 36.57,
1982,11, 0.109,284.77, 34.39, 42.65, 38.52,
1982,12, 0.118,286.36, 31.30, 48.97, 40.13,
1982,13, 0.128,288.13, 28.80, 57.81, 43.31,
1982,14, 0.139,289.76, 26.66, 64.77, 45.72,
1982,15, 0.149,291.19, 24.85, 68.35, 46.60,
1982,16, 0.164,292.80, 24.66, 69.21, 46.94,
1982,17, 0.180,294.39, 25.01, 69.17, 47.09,
1982,18, 0.194,295.56, 25.62, 71.14, 48.38,
1982,19, 0.205,296.67, 26.48, 73.11, 49.79,
1982,20, 0.211,297.12, 27.03, 81.62, 54.32,
1982,21, 0.214,297.79, 27.20, 85.09, 56.14,
1982,22, 0.218,298.63, 28.75, 87.66, 58.20,
1982,23, 0.220,299.58, 31.82, 90.40, 61.11,
1982,24, 0.221,301.07, 37.58, 89.99, 63.78,
1982,25, 0.219,302.54, 42.96, 87.79, 65.38,
1982,26, 0.211,303.60, 45.28, 87.60, 66.44,
1982,27, 0.201,304.46, 44.60, 87.59, 66.09,
1982,28, 0.188,304.88, 40.90, 89.30, 65.10,
1982,29, 0.179,305.42, 39.40, 88.76, 64.08,
1982,30, 0.173,306.25, 40.32, 84.20, 62.26,
1982,31, 0.167,306.78, 40.21, 80.75, 60.48,
1982,32, 0.160,306.96, 38.09, 78.55, 58.32,
1982,33, 0.152,306.54, 35.10, 79.64, 57.37,
1982,34, 0.145,305.91, 32.01, 79.92, 55.97,
1982,35, 0.140,305.04, 30.82, 79.31, 55.07,
1982,36, 0.136,304.16, 30.18, 77.23, 53.70,
1982,37, 0.133,303.31, 30.38, 73.87, 52.12,
1982,38, 0.128,301.98, 28.98, 72.66, 50.82,
1982,39, 0.124,300.78, 28.32, 66.94, 47.63,
1982,40, 0.120,299.23, 27.77, 59.01, 43.39,
