Mean data for TUR  Province= 61: Sanliurfa,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.138,285.49, 40.95, 43.51, 42.23,
1982, 2, 0.146,285.22, 41.65, 44.08, 42.86,
1982, 3, 0.157,285.08, 43.96, 49.01, 46.49,
1982, 4, 0.171,285.65, 48.19, 48.49, 48.34,
1982, 5, 0.184,286.53, 50.72, 48.91, 49.82,
1982, 6, 0.195,287.40, 51.74, 50.24, 50.99,
1982, 7, 0.201,288.18, 50.27, 53.13, 51.70,
1982, 8, 0.211,288.92, 50.16, 56.31, 53.24,
1982, 9, 0.225,289.89, 51.92, 55.30, 53.61,
1982,10, 0.236,290.70, 51.03, 56.06, 53.54,
1982,11, 0.243,291.03, 47.67, 63.73, 55.70,
1982,12, 0.256,291.78, 47.22, 70.66, 58.94,
1982,13, 0.270,292.84, 47.46, 76.11, 61.78,
1982,14, 0.280,293.89, 46.88, 79.34, 63.11,
1982,15, 0.283,294.74, 44.96, 85.43, 65.19,
1982,16, 0.288,295.70, 45.40, 90.01, 67.70,
1982,17, 0.294,297.38, 49.50, 90.23, 69.87,
1982,18, 0.293,299.02, 53.75, 89.68, 71.72,
1982,19, 0.285,300.83, 57.43, 90.28, 73.85,
1982,20, 0.266,302.59, 58.52, 93.28, 75.90,
1982,21, 0.244,304.62, 59.27, 94.54, 76.91,
1982,22, 0.220,307.15, 60.60, 93.42, 77.01,
1982,23, 0.197,309.56, 60.23, 92.02, 76.13,
1982,24, 0.177,311.73, 58.70, 90.38, 74.54,
1982,25, 0.163,313.66, 59.60, 87.17, 73.38,
1982,26, 0.150,315.18, 56.53, 83.79, 70.16,
1982,27, 0.138,316.40, 51.90, 80.60, 66.25,
1982,28, 0.128,317.16, 46.19, 78.74, 62.47,
1982,29, 0.120,317.58, 40.74, 76.10, 58.42,
1982,30, 0.116,317.93, 38.18, 71.22, 54.70,
1982,31, 0.112,317.98, 35.30, 67.78, 51.54,
1982,32, 0.109,317.81, 33.49, 65.72, 49.60,
1982,33, 0.106,317.31, 31.94, 65.44, 48.69,
1982,34, 0.104,316.85, 31.02, 62.89, 46.95,
1982,35, 0.102,316.13, 30.80, 59.58, 45.19,
1982,36, 0.099,315.25, 29.65, 55.82, 42.74,
1982,37, 0.098,314.31, 31.31, 48.77, 40.04,
1982,38, 0.097,313.08, 34.28, 40.26, 37.27,
