Mean data for TUR  Province= 72: Yozgat,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.090,274.71, 39.33, 25.23, 32.28,
1982, 2, 0.090,275.37, 43.72, 21.23, 32.48,
1982, 3, 0.086,275.12, 44.85, 23.68, 34.27,
1982, 4, 0.080,274.60, 43.17, 27.85, 35.51,
1982, 5, 0.078,274.76, 41.10, 29.41, 35.26,
1982, 6, 0.077,275.27, 38.11, 32.66, 35.39,
1982, 7, 0.078,276.68, 35.16, 34.22, 34.69,
1982, 8, 0.082,278.85, 33.95, 31.68, 32.82,
1982, 9, 0.090,280.95, 34.10, 31.41, 32.76,
1982,10, 0.098,282.50, 32.07, 34.69, 33.38,
1982,11, 0.107,283.87, 30.18, 39.06, 34.62,
1982,12, 0.120,285.43, 30.06, 44.44, 37.25,
1982,13, 0.132,286.92, 27.57, 54.98, 41.28,
1982,14, 0.147,288.82, 25.43, 61.36, 43.40,
1982,15, 0.162,290.54, 24.64, 63.70, 44.17,
1982,16, 0.179,292.32, 23.14, 59.39, 41.27,
1982,17, 0.201,294.10, 23.78, 54.69, 39.24,
1982,18, 0.221,294.93, 23.54, 57.66, 40.60,
1982,19, 0.239,295.98, 23.72, 58.60, 41.16,
1982,20, 0.249,296.41, 21.44, 66.96, 44.20,
1982,21, 0.256,297.06, 20.51, 69.83, 45.17,
1982,22, 0.266,297.94, 22.65, 71.97, 47.31,
1982,23, 0.271,298.58, 24.84, 78.37, 51.60,
1982,24, 0.277,299.81, 29.27, 81.85, 55.56,
1982,25, 0.277,301.15, 33.56, 82.88, 58.22,
1982,26, 0.267,302.12, 33.67, 84.72, 59.20,
1982,27, 0.251,303.22, 32.19, 83.13, 57.66,
1982,28, 0.230,303.81, 27.96, 83.62, 55.79,
1982,29, 0.211,304.36, 24.29, 83.79, 54.04,
1982,30, 0.199,305.22, 25.22, 78.75, 51.99,
1982,31, 0.189,305.82, 25.55, 74.16, 49.85,
1982,32, 0.179,306.23, 24.90, 71.41, 48.16,
1982,33, 0.169,305.95, 22.80, 73.73, 48.26,
1982,34, 0.161,305.61, 21.78, 72.87, 47.32,
1982,35, 0.155,305.10, 21.22, 68.89, 45.06,
1982,36, 0.148,304.45, 20.07, 62.85, 41.46,
1982,37, 0.143,303.79, 20.60, 55.34, 37.97,
1982,38, 0.138,302.50, 21.10, 51.88, 36.49,
1982,39, 0.134,301.49, 21.95, 42.00, 31.97,
1982,40, 0.128,300.15, 19.99, 32.76, 26.37,
1982,41, 0.121,298.13, 19.38, 27.96, 23.67,
1982,42, 0.115,295.57, 21.17, 33.78, 27.48,
1982,43, 0.108,292.83, 21.56, 32.75, 27.16,
1982,44, 0.102,290.67, 21.53, 28.67, 25.10,
1982,45, 0.098,288.72, 22.58, 27.32, 24.95,
1982,46, 0.093,286.08, 22.80, 31.48, 27.14,
1982,47, 0.088,283.75, 22.37, 30.07, 26.22,
1982,48, 0.084,281.39, 22.71, 28.59, 25.65,
1982,49, 0.081,279.85, 23.38, 25.21, 24.29,
1982,50, 0.077,278.64, 23.48, 21.56, 22.52,
1982,51, 0.068,276.11, 20.47, 25.60, 23.03,
1982,52, 0.057,273.36, 16.37, 31.50, 23.93,
1983, 1, 0.044,268.84,  9.72, 45.75, 27.73,
1983, 2, 0.036,266.20,  8.15, 52.84, 30.49,
1983, 3, 0.031,265.37,  6.63, 57.57, 32.10,
1983, 4, 0.027,264.84,  4.72, 62.55, 33.63,
1983, 5, 0.026,265.15,  4.32, 64.15, 34.24,
1983, 6, 0.027,265.69,  4.13, 67.29, 35.71,
1983, 7, 0.027,265.91,  3.20, 72.53, 37.87,
1983, 8, 0.029,267.02,  2.31, 76.59, 39.45,
1983, 9, 0.031,268.47,  1.02, 81.36, 41.19,
1983,10, 0.039,272.49,  0.66, 77.61, 39.14,
1983,11, 0.051,278.77,  1.52, 61.50, 31.51,
1983,12, 0.066,283.96,  3.09, 50.74, 26.91,
1983,13, 0.084,288.08,  4.49, 45.55, 25.02,
1983,14, 0.103,289.90,  4.29, 51.30, 27.80,
1983,15, 0.125,291.96,  7.79, 49.90, 28.85,
1983,16, 0.149,294.19,  9.81, 41.59, 25.70,
1983,17, 0.174,295.31, 11.63, 43.34, 27.49,
1983,18, 0.199,296.27, 13.18, 45.45, 29.31,
1983,19, 0.219,296.90, 14.43, 50.08, 32.25,
1983,20, 0.237,297.27, 16.04, 59.54, 37.79,
1983,21, 0.252,297.83, 18.82, 63.18, 41.00,
1983,22, 0.264,298.11, 22.47, 70.27, 46.37,
1983,23, 0.275,299.23, 28.42, 72.49, 50.45,
1983,24, 0.282,300.70, 34.22, 73.23, 53.73,
1983,25, 0.281,301.78, 37.37, 76.36, 56.86,
1983,26, 0.271,303.04, 37.54, 74.94, 56.24,
1983,27, 0.254,304.15, 35.00, 72.97, 53.98,
1983,28, 0.234,305.08, 31.57, 70.16, 50.86,
1983,29, 0.217,305.87, 29.07, 67.95, 48.51,
1983,30, 0.202,306.30, 27.21, 67.43, 47.32,
1983,31, 0.189,306.51, 25.57, 66.93, 46.25,
1983,32, 0.178,306.20, 24.02, 71.40, 47.71,
1983,33, 0.170,305.72, 23.46, 75.72, 49.59,
1983,34, 0.162,305.25, 22.03, 76.34, 49.19,
1983,35, 0.157,304.51, 22.53, 75.24, 48.88,
1983,36, 0.152,303.72, 23.63, 71.63, 47.63,
1983,37, 0.151,302.87, 27.69, 67.06, 47.37,
1983,38, 0.146,301.44, 28.41, 66.57, 47.49,
1983,39, 0.140,299.73, 27.46, 66.82, 47.14,
1983,40, 0.135,297.81, 27.37, 64.35, 45.86,
1983,41, 0.129,295.06, 28.35, 65.85, 47.10,
1983,42, 0.122,291.93, 28.01, 73.20, 50.60,
1983,43, 0.114,288.96, 27.73, 74.09, 50.91,
1983,44, 0.110,286.07, 28.19, 75.66, 51.92,
1983,45, 0.111,283.31, 32.10, 74.89, 53.49,
1983,46, 0.114,281.20, 37.35, 66.57, 51.96,
1983,47, 0.116,279.09, 40.24, 56.27, 48.25,
1983,48, 0.118,277.79, 43.18, 45.36, 44.27,
1983,49, 0.120,277.41, 45.44, 35.81, 40.63,
1983,50, 0.118,276.72, 46.56, 29.55, 38.06,
1983,51, 0.116,276.33, 47.37, 24.64, 36.00,
1983,52, 0.114,276.32, 49.75, 20.42, 35.08,
1984, 1, 0.116,276.70, 53.58, 16.97, 35.28,
1984, 2, 0.114,276.93, 57.59, 14.62, 36.10,
1984, 3, 0.111,277.38, 60.26, 14.55, 37.40,
1984, 4, 0.111,278.32, 63.57, 13.51, 38.54,
1984, 5, 0.119,280.23, 69.63,  8.67, 39.15,
1984, 6, 0.132,282.95, 75.78,  4.12, 39.95,
1984, 7, 0.148,285.63, 79.82,  1.78, 40.80,
1984, 8, 0.161,286.53, 80.76,  1.91, 41.33,
1984, 9, 0.174,287.89, 80.49,  2.72, 41.60,
1984,10, 0.185,289.07, 78.70,  4.94, 41.82,
1984,11, 0.195,289.54, 76.04, 11.02, 43.53,
1984,12, 0.209,290.50, 74.67, 16.13, 45.40,
1984,13, 0.222,290.97, 71.13, 26.59, 48.86,
1984,14, 0.232,290.99, 65.91, 43.21, 54.56,
1984,15, 0.235,290.62, 57.88, 63.37, 60.63,
1984,16, 0.241,290.55, 51.00, 76.36, 63.68,
1984,17, 0.256,291.05, 48.83, 82.13, 65.48,
1984,18, 0.277,292.25, 50.44, 80.75, 65.60,
1984,19, 0.300,294.20, 55.29, 74.25, 64.77,
1984,20, 0.320,296.03, 59.85, 70.44, 65.14,
1984,21, 0.334,297.45, 64.74, 66.84, 65.79,
1984,22, 0.342,299.03, 68.38, 62.71, 65.54,
1984,23, 0.340,300.54, 69.01, 60.65, 64.83,
1984,24, 0.333,301.95, 67.13, 60.79, 63.96,
