Mean data for VNM  Province= 3: d?ng b?ng sông C?u Long,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.262,294.93, 46.55, 22.16, 34.35,
1982, 2, 0.253,295.39, 40.52, 24.19, 32.35,
1982, 3, 0.240,295.54, 34.31, 30.21, 32.26,
1982, 4, 0.231,295.95, 31.15, 33.13, 32.14,
1982, 5, 0.223,296.39, 29.53, 35.86, 32.70,
1982, 6, 0.213,296.36, 27.79, 43.25, 35.52,
1982, 7, 0.204,296.40, 26.69, 49.02, 37.85,
1982, 8, 0.198,296.83, 27.19, 48.91, 38.05,
1982, 9, 0.193,297.03, 28.10, 51.06, 39.58,
1982,10, 0.185,297.02, 28.49, 50.84, 39.66,
1982,11, 0.178,297.20, 28.80, 48.58, 38.69,
1982,12, 0.170,296.85, 28.30, 49.08, 38.69,
1982,13, 0.161,295.87, 27.65, 50.36, 39.00,
1982,14, 0.154,294.97, 28.51, 48.32, 38.42,
1982,15, 0.149,293.90, 30.40, 44.33, 37.37,
1982,16, 0.144,292.32, 31.32, 41.68, 36.50,
1982,17, 0.140,291.38, 30.90, 36.91, 33.90,
1982,18, 0.135,290.00, 28.93, 35.66, 32.30,
1982,19, 0.130,287.86, 26.24, 37.65, 31.95,
1982,20, 0.124,284.81, 21.25, 44.61, 32.93,
1982,21, 0.120,281.66, 17.69, 51.65, 34.67,
1982,22, 0.118,279.33, 15.04, 57.43, 36.23,
1982,23, 0.121,278.53, 13.80, 58.73, 36.26,
1982,24, 0.125,278.56, 13.18, 58.82, 36.00,
1982,25, 0.127,278.98, 12.57, 58.94, 35.75,
1982,26, 0.132,279.90, 13.55, 56.73, 35.14,
1982,27, 0.141,281.81, 16.52, 48.71, 32.61,
1982,28, 0.147,283.09, 19.17, 43.05, 31.11,
1982,29, 0.151,284.03, 22.02, 38.21, 30.12,
1982,30, 0.155,285.44, 25.98, 29.20, 27.59,
1982,31, 0.160,286.85, 30.49, 21.60, 26.05,
1982,32, 0.157,286.61, 32.01, 22.25, 27.13,
1982,33, 0.153,286.07, 32.77, 23.08, 27.93,
1982,34, 0.153,286.57, 35.06, 20.09, 27.57,
1982,35, 0.151,286.39, 36.79, 20.33, 28.56,
1982,36, 0.151,286.17, 40.09, 19.53, 29.81,
1982,37, 0.152,285.94, 43.67, 19.01, 31.34,
1982,38, 0.156,286.00, 46.42, 18.51, 32.46,
1982,39, 0.168,287.05, 50.85, 16.26, 33.56,
1982,40, 0.184,288.46, 55.83, 12.65, 34.24,
1982,41, 0.199,289.44, 59.38, 11.63, 35.51,
1982,42, 0.215,290.38, 60.55, 10.70, 35.63,
1982,43, 0.231,291.01, 63.90, 10.06, 36.98,
1982,44, 0.247,291.73, 67.01,  8.70, 37.86,
1982,45, 0.258,291.42, 68.62, 11.93, 40.27,
1982,46, 0.270,291.96, 70.05, 12.49, 41.27,
1982,47, 0.282,293.23, 71.67,  9.90, 40.79,
1982,48, 0.291,293.75, 72.83, 10.59, 41.71,
1982,49, 0.299,294.23, 73.62, 10.60, 42.11,
1982,50, 0.305,294.92, 73.60,  9.98, 41.79,
1982,51, 0.303,295.31, 69.61, 11.21, 40.41,
1982,52, 0.297,295.82, 63.57, 12.05, 37.81,
1983, 1, 0.287,296.42, 56.33, 12.32, 34.33,
1983, 2, 0.276,296.93, 49.43, 13.04, 31.23,
1983, 3, 0.265,297.46, 44.18, 13.96, 29.07,
1983, 4, 0.258,298.14, 42.09, 12.85, 27.47,
1983, 5, 0.250,298.74, 40.48, 12.81, 26.64,
1983, 6, 0.240,299.29, 39.03, 12.98, 26.00,
1983, 7, 0.229,299.86, 37.43, 11.95, 24.69,
1983, 8, 0.217,300.39, 35.36, 10.98, 23.17,
1983, 9, 0.204,300.82, 33.52, 10.69, 22.10,
1983,10, 0.190,301.05, 31.09, 11.39, 21.24,
1983,11, 0.178,301.31, 29.30, 11.70, 20.50,
1983,12, 0.168,301.61, 28.27,  9.10, 18.68,
1983,13, 0.159,301.87, 27.43,  5.71, 16.57,
1983,14, 0.146,300.91, 24.87,  7.30, 16.08,
1983,15, 0.132,299.67, 22.10,  9.14, 15.62,
1983,16, 0.123,298.68, 20.65,  9.16, 14.91,
1983,17, 0.118,297.24, 20.32, 10.43, 15.37,
1983,18, 0.116,296.02, 20.82, 10.95, 15.89,
1983,19, 0.117,294.36, 21.21, 12.46, 16.84,
1983,20, 0.121,292.84, 21.79, 14.69, 18.24,
1983,21, 0.125,290.99, 21.96, 17.75, 19.86,
