Mean data for VNM  Province= 4: Ð?ng B?ng Sông H?ng,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.076,290.88, 56.50, 34.60, 45.55,
1982, 2, 0.070,291.36, 60.52, 27.06, 43.79,
1982, 3, 0.058,290.78, 60.30, 28.12, 44.21,
1982, 4, 0.046,290.16, 56.16, 30.94, 43.55,
1982, 5, 0.036,289.31, 50.47, 37.03, 43.75,
1982, 6, 0.028,288.53, 45.22, 42.53, 43.88,
1982, 7, 0.022,287.80, 35.60, 49.31, 42.45,
1982, 8, 0.022,288.42, 27.78, 48.09, 37.94,
1982, 9, 0.024,288.75, 22.00, 47.83, 34.91,
1982,10, 0.029,289.33, 19.70, 42.46, 31.08,
1982,11, 0.040,289.66, 18.66, 41.92, 30.29,
1982,12, 0.059,289.99, 21.23, 43.35, 32.29,
1982,13, 0.084,290.34, 24.78, 45.56, 35.17,
1982,14, 0.119,291.26, 31.64, 43.17, 37.41,
1982,15, 0.150,292.01, 32.19, 39.44, 35.81,
1982,16, 0.178,292.42, 30.47, 43.31, 36.89,
1982,17, 0.205,292.77, 29.70, 48.37, 39.03,
1982,18, 0.227,293.18, 31.10, 50.17, 40.64,
1982,19, 0.234,292.44, 30.37, 59.28, 44.82,
1982,20, 0.231,291.91, 29.74, 63.50, 46.62,
1982,21, 0.218,292.15, 27.02, 58.59, 42.81,
1982,22, 0.197,292.11, 23.12, 53.04, 38.08,
1982,23, 0.177,291.71, 20.40, 47.03, 33.72,
1982,24, 0.164,291.17, 19.47, 42.33, 30.90,
1982,25, 0.156,290.59, 20.78, 39.66, 30.22,
1982,26, 0.150,290.63, 21.70, 34.82, 28.26,
1982,27, 0.152,291.59, 23.79, 27.11, 25.45,
1982,28, 0.157,291.98, 23.59, 24.40, 23.99,
1982,29, 0.162,291.79, 20.89, 26.99, 23.94,
1982,30, 0.175,291.73, 21.55, 30.70, 26.12,
1982,31, 0.197,292.03, 25.82, 32.64, 29.23,
1982,32, 0.213,291.48, 25.86, 41.21, 33.53,
1982,33, 0.233,291.18, 27.24, 48.74, 37.99,
1982,34, 0.255,291.91, 30.06, 47.79, 38.92,
1982,35, 0.275,292.90, 33.88, 45.67, 39.78,
1982,36, 0.289,293.37, 38.03, 46.30, 42.16,
1982,37, 0.297,293.60, 42.83, 47.12, 44.98,
1982,38, 0.300,293.38, 50.16, 51.11, 50.64,
1982,39, 0.293,293.06, 53.94, 60.30, 57.12,
1982,40, 0.281,293.42, 56.23, 61.66, 58.94,
1982,41, 0.261,293.30, 56.78, 64.84, 60.81,
1982,42, 0.237,293.06, 56.81, 58.68, 57.75,
1982,43, 0.215,293.08, 57.89, 55.61, 56.75,
1982,44, 0.189,292.55, 55.93, 62.15, 59.04,
1982,45, 0.153,291.51, 43.65, 72.38, 58.02,
1982,46, 0.122,290.71, 31.11, 72.87, 51.99,
1982,47, 0.102,290.32, 26.45, 69.20, 47.82,
1982,48, 0.092,289.58, 26.87, 65.91, 46.39,
1982,49, 0.094,289.36, 34.83, 58.39, 46.61,
1982,50, 0.096,289.84, 42.39, 70.25, 56.32,
1982,51, 0.089,289.09, 45.64, 72.29, 58.97,
1982,52, 0.072,287.79, 42.34, 72.36, 57.35,
1983, 1, 0.046,286.63, 29.46, 70.93, 50.19,
1983, 2, 0.027,285.56, 20.85, 71.84, 46.34,
1983, 3, 0.019,285.14, 20.43, 69.48, 44.95,
1983, 4, 0.016,285.21, 23.99, 65.07, 44.53,
1983, 5, 0.018,286.09, 29.57, 58.30, 43.93,
1983, 6, 0.014,286.42, 28.40, 55.84, 42.12,
1983, 7, 0.005,286.16, 17.60, 59.64, 38.62,
1983, 8, 0.004,286.09, 11.18, 62.35, 36.76,
1983, 9, 0.008,286.50,  9.80, 61.15, 35.47,
1983,10, 0.019,287.78, 12.02, 51.64, 31.83,
1983,11, 0.039,290.33, 17.54, 37.42, 27.48,
1983,12, 0.064,291.78, 23.80, 31.06, 27.43,
1983,13, 0.094,293.17, 30.88, 24.15, 27.52,
1983,14, 0.120,293.88, 32.83, 19.94, 26.39,
1983,15, 0.149,293.76, 32.98, 21.71, 27.34,
1983,16, 0.186,293.51, 34.90, 30.23, 32.56,
1983,17, 0.221,293.50, 38.80, 38.28, 38.54,
1983,18, 0.257,293.99, 47.68, 38.32, 43.00,
1983,19, 0.287,294.11, 59.81, 35.65, 47.73,
1983,20, 0.311,294.10, 72.30, 37.45, 54.88,
1983,21, 0.320,294.32, 79.54, 34.31, 56.93,
1983,22, 0.313,294.24, 81.00, 31.09, 56.05,
1983,23, 0.296,294.07, 80.66, 25.47, 53.07,
1983,24, 0.279,293.94, 81.26, 20.54, 50.90,
1983,25, 0.264,294.49, 83.23, 14.41, 48.82,
1983,26, 0.246,295.08, 82.74,  9.94, 46.34,
1983,27, 0.223,294.75, 74.51, 10.59, 42.55,
1983,28, 0.211,294.40, 63.52, 11.97, 37.74,
